year,dois_VERB aller_VERB
1800,1.0690159513160324e-07
1801,2.1192525423430197e-07
1802,1.4545960880241182e-07
1803,1.3457341196954076e-07
1804,1.7055771195373381e-07
1805,8.52863308864471e-08
1806,1.3255677799861587e-07
1807,1.4234775136401367e-08
1808,9.744118045773575e-08
1809,5.421673421324158e-08
1810,1.1700633706368535e-07
1811,7.270522672797597e-08
1812,1.3069320914382843e-07
1813,1.0352670187785407e-07
1814,9.125363931161701e-08
1815,5.3944472000466703e-08
1816,8.806894413737609e-08
1817,1.1365175822675155e-07
1818,1.3709353652302525e-07
1819,1.2835302243274782e-07
1820,1.2697134366135288e-07
1821,1.4693617345074017e-07
1822,1.4035862250239006e-07
1823,1.610877973234892e-07
1824,8.673745810483524e-08
1825,8.101007864524945e-08
1826,8.896063974361823e-08
1827,1.1613764172579977e-07
1828,1.1740545602378916e-07
1829,7.630126930280312e-08
1830,8.975678866818271e-08
1831,1.4343909526814969e-07
1832,1.352997003323253e-07
1833,1.01935931695607e-07
1834,1.2881652367013885e-07
1835,1.7092578730171226e-07
1836,1.344150035720304e-07
1837,1.3707045809496776e-07
1838,9.089512786886189e-08
1839,9.508406151326199e-08
1840,9.299745329371945e-08
1841,8.988767774553708e-08
1842,1.0062397848287219e-07
1843,1.3763103368091834e-07
1844,7.629100196027139e-08
1845,1.25555132513e-07
1846,1.2762812673372537e-07
1847,8.575225507456707e-08
1848,1.0458788324285706e-07
1849,9.21735647807509e-08
1850,7.400005586077896e-08
1851,7.28786559989203e-08
1852,7.552232972329875e-08
1853,1.3078530969323765e-07
1854,1.1742201877495972e-07
1855,1.8255863665217475e-07
1856,1.361600823202025e-07
1857,1.542556873346257e-07
1858,1.7274676622491825e-07
1859,1.4970989070661744e-07
1860,1.8857997474697186e-07
1861,1.245014402684319e-07
1862,1.2740721899717755e-07
1863,1.6881818964975537e-07
1864,1.6733601171381451e-07
1865,1.7838939925240993e-07
1866,1.0996285482178791e-07
1867,1.3684928035218036e-07
1868,1.0571330477660013e-07
1869,1.6994646045986883e-07
1870,1.4679164905828657e-07
1871,1.678146048789131e-07
1872,1.9049119259761937e-07
1873,1.652137200380821e-07
1874,1.3801347620301385e-07
1875,1.7107366545587865e-07
1876,1.3724454106522899e-07
1877,1.4781710433453554e-07
1878,1.0870359545833708e-07
1879,1.7778135941171058e-07
1880,1.296404974482357e-07
1881,1.3875289539555524e-07
1882,1.3111109353758366e-07
1883,1.2259518200608e-07
1884,1.3137376697613945e-07
1885,1.0764211566538506e-07
1886,1.0325542376676822e-07
1887,1.2666113491377473e-07
1888,9.764546859969414e-08
1889,1.2404970561874507e-07
1890,9.176140736144589e-08
1891,1.2365987345219764e-07
1892,1.3038506097018399e-07
1893,1.1762575269358422e-07
1894,1.1279755085524812e-07
1895,1.1254809351157746e-07
1896,1.2501701007749944e-07
1897,8.914872040577393e-08
1898,1.1090375551248144e-07
1899,1.4150600691209547e-07
1900,1.827250741825992e-07
1901,1.7325091050679475e-07
1902,1.311045849661241e-07
1903,1.0044409748388716e-07
1904,1.150169808283863e-07
1905,1.1663315291343679e-07
1906,1.12143219155314e-07
1907,1.8771378051951615e-07
1908,1.1247080777820884e-07
1909,1.4522596814003919e-07
1910,1.4108557877534622e-07
1911,1.4684232496620098e-07
