year,trois_DET aides_NOUN,trois_DET raids_NOUN
1800,5.345079490126636e-08,0.0
1801,2.619300909501021e-08,0.0
1802,8.951360541686881e-09,0.0
1803,3.705644502360883e-08,0.0
1804,4.202146608456303e-08,0.0
1805,4.548604315424143e-08,0.0
1806,8.645007376628655e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,1.8128592405020072e-08,0.0
1809,6.099382532376296e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,8.00162425207418e-09,0.0
1813,5.751483289628823e-09,0.0
1814,5.349351184236184e-08,0.0
1815,3.776112933451259e-08,0.0
1816,9.270415546325239e-08,0.0
1817,3.113746771532533e-08,0.0
1818,2.861082504246326e-08,0.0
1819,2.898294049202832e-08,0.0
1820,3.2039500830194356e-08,0.0
1821,3.0570614484304315e-08,0.0
1822,6.316138012607553e-08,0.0
1823,4.0519017030504756e-08,0.0
1824,7.242157096243318e-08,0.0
1825,2.8177417954466932e-08,0.0
1826,8.279505436803447e-08,0.0
1827,1.2904182333794978e-08,0.0
1828,2.109629271274116e-08,0.0
1829,3.6007340942223465e-08,0.0
1830,2.400472176589119e-08,0.0
1831,2.9623292041591753e-08,0.0
1832,4.735489111951097e-08,0.0
1833,3.127579673023462e-08,0.0
1834,4.667265329771908e-08,0.0
1835,2.4958190181223472e-08,0.0
1836,5.107770117973587e-08,0.0
1837,2.991893044423932e-08,0.0
1838,7.132742996240893e-08,0.0
1839,5.033862038317238e-08,0.0
1840,4.64987257586813e-08,0.0
1841,3.081863253484585e-08,0.0
1842,2.4820581590034863e-08,0.0
1843,4.5483214750063894e-08,0.0
1844,4.6652769203348043e-08,0.0
1845,4.9664029333484905e-08,0.0
1846,5.620321186228239e-08,0.0
1847,3.020205152637345e-08,0.0
1848,2.4135665688262975e-08,0.0
1849,2.513824526317876e-08,0.0
1850,4.412847331991543e-08,0.0
1851,6.384944395421144e-08,0.0
1852,2.7344291275710475e-08,0.0
1853,4.717826218580967e-08,0.0
1854,2.753702221802712e-08,0.0
