year,fus_VERB à_ADP,fus_VERB a_ADP
1800,5.407962930803478e-07,0.0
1801,8.119832841657626e-07,7.143547975374531e-09
1802,4.7665994884482643e-07,0.0
1803,2.9645156018887064e-07,1.950339223455444e-09
1804,5.487509042723104e-07,0.0
1805,3.5251684948889306e-07,0.0
1806,9.077257914213988e-07,2.881669125542885e-09
1807,1.6256113894996815e-06,2.8469551160981155e-09
1808,2.8325925427452603e-07,2.2660739951163578e-09
1809,3.569268187675334e-07,2.259030518203531e-09
1810,7.93302945112373e-07,0.0
1811,3.7606150726787746e-07,0.0
1812,3.707419580223359e-07,0.0
1813,3.4221326927763585e-07,2.8757416448144113e-09
1814,5.695485469914274e-07,0.0
1815,3.1018069535093673e-07,0.0
1816,2.9665329748240765e-07,0.0
1817,3.643083914539602e-07,1.556873407970727e-09
1818,3.5644319495986565e-07,0.0
1819,2.5567092620804033e-07,0.0
1820,5.173785666556796e-07,0.0
1821,3.806534607520007e-07,9.86148829262845e-10
1822,1.2110943998777657e-06,2.0051231786055723e-09
1823,1.0841307584996684e-06,9.882686891060644e-10
1824,7.39373717806302e-07,3.3684450784221553e-09
1825,1.0654586048985948e-06,1.7610886082763955e-09
1826,4.359952185950533e-07,8.807984341885344e-10
1827,3.3827393508545356e-07,0.0
1828,3.219477662241843e-07,1.8344602503717056e-09
1829,6.447028226830298e-07,8.57317605795771e-10
1830,6.27253825769003e-07,9.39315203396518e-09
1831,3.1806061429051624e-07,1.5591206103948707e-09
1832,3.801921479862358e-07,1.3529969367098715e-09
1833,6.174074087539339e-07,2.3167257001688313e-09
1834,3.7058086377328436e-07,1.8669061851994684e-09
1835,5.210967515267839e-07,1.0588323107185715e-08
1836,5.752962124461192e-07,2.688300027031687e-09
1837,5.454986649056082e-07,1.3915781860163179e-09
1838,7.442038736371615e-07,1.2624323808552163e-09
1839,3.558660921498813e-07,3.4957374772659477e-09
1840,4.0065341977424396e-07,6.369688665408546e-10
1841,2.9919755206719856e-07,6.420548537278137e-10
1842,3.709670579610247e-07,4.024959032733477e-09
1843,3.071593823733565e-07,1.1813822142769936e-09
1844,2.425944103379152e-07,1.097712254427563e-09
1845,1.975400749643086e-07,3.9061593959388574e-09
1846,2.1954379292310477e-07,4.6836010625384006e-09
1847,2.0278520196370664e-07,2.1572894581822766e-09
1848,2.6307876055398083e-07,4.02261068899179e-09
1849,1.8518507260978367e-07,2.513824481908955e-09
1850,4.0326636963072815e-07,3.394498016007219e-09
1851,2.431438304029143e-07,2.579775504329973e-09
1852,2.565154773037648e-07,3.906327261660181e-09
1853,2.657509696746274e-07,3.5831591027601917e-09
1854,4.1513359860800847e-07,4.676098175337984e-09
1855,2.6057060154016654e-07,6.368324534378189e-09
1856,2.4177472823794233e-07,3.1063134287023786e-09
1857,5.247622425486043e-07,3.905207268672939e-09
1858,5.030698844166182e-07,2.4468380654951716e-09
1859,3.289543997198052e-07,5.092173349652285e-10
1860,6.073922804716858e-07,3.204028820036342e-09
1861,7.073945766933321e-07,6.130752905342263e-09
1862,4.0571515569354233e-07,3.162590411776023e-09
