year,voulez_VERB ajouter_VERB,voulez_VERB rajouter_VERB
1800,2.5153315874604232e-08,0.0
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,1.755305234496518e-08,0.0
1804,0.0,0.0
1805,2.2743021688143017e-08,0.0
1806,1.152667650217154e-08,0.0
1807,5.693910232196231e-09,0.0
1808,1.1330369531492579e-08,0.0
1809,2.259030518203531e-09,0.0
1810,1.4040760554223652e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,0.0
1813,1.4378708002027452e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,1.8540831092650478e-08,0.0
1817,1.0898113522728181e-08,0.0
1818,2.6226590676969863e-08,0.0
1819,5.175524897538253e-09,0.0
1820,2.610625848831205e-08,0.0
1821,3.0570614484304315e-08,0.0
1822,3.5089655625597516e-08,0.0
1823,1.1859224713361982e-08,0.0
1824,1.0105335235266466e-08,0.0
1825,5.283265824829186e-09,0.0
1826,9.688783109140786e-09,0.0
1827,3.6869092667757286e-08,0.0
1828,2.109629271274116e-08,0.0
1829,1.5431716349212365e-08,0.0
1830,2.400472176589119e-08,0.0
1831,4.2096257146795324e-08,0.0
1832,2.841293600397421e-08,0.0
1833,0.0,0.0
1834,1.9602515166639023e-08,0.0
1835,1.5126175867408165e-08,0.0
1836,5.376600054063374e-09,0.0
1837,1.2524203896191466e-08,0.0
1838,9.468243078458727e-09,0.0
1839,1.2584655095793096e-08,0.0
1840,9.554533164646273e-09,0.0
1841,8.988767952189392e-09,0.0
1842,1.609983613093391e-08,0.0
1843,8.269675610961258e-09,0.0
1844,1.920996517412732e-08,0.0
1845,1.562463758375543e-08,0.0
1846,5.269050973311096e-09,0.0
1847,4.853901280910122e-09,0.0
1848,1.126331028444838e-08,0.0
1849,1.6758828991214614e-08,0.0
1850,1.2220192857625989e-08,0.0
1851,1.870337307252612e-08,0.0
1852,9.114764054629632e-09,0.0
1853,1.4332636411040767e-08,0.0
1854,6.234797567117312e-09,0.0
1855,1.326734277995456e-08,0.0
1856,2.0708757375587084e-08,0.0
1857,3.4170564155999728e-09,0.0
1858,3.4255731584664773e-09,0.0
1859,1.018434669930457e-08,0.0
1860,7.323494255473406e-09,0.0
1861,1.4619487842537637e-08,0.0
1862,2.6656119089807362e-08,0.0
1863,1.048870412745373e-08,0.0
1864,1.342523781033833e-08,0.0
1865,7.530950973944073e-09,0.0
1866,1.4596838404656864e-08,0.0
1867,1.0190904120577216e-08,0.0
1868,3.457911734727759e-09,0.0
1869,7.325278605918584e-09,0.0
1870,1.1468097582678638e-08,0.0
1871,5.3105884134652115e-09,0.0
1872,1.0885210954825197e-08,0.0
1873,1.9155214303623325e-08,0.0
1874,1.0156835372754358e-08,0.0
1875,2.460256709468922e-08,0.0
1876,2.6602464231473277e-08,0.0
1877,8.040260901509555e-09,0.0
1878,5.435179861734696e-09,0.0
1879,1.1607718342077078e-08,0.0
1880,2.0537108014195837e-08,0.0
1881,9.064259565150223e-09,0.0
1882,1.4641846846075168e-08,0.0
1883,9.479008689083912e-09,0.0
1884,8.582206056928499e-09,0.0
1885,1.0957580620640783e-08,0.0
1886,4.5174246565693466e-09,0.0
1887,7.834709769838355e-09,0.0
