year,voulez_VERB acheter_VERB,voulez_VERB racheter_VERB
1800,3.458580977167003e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,3.8043282302169246e-08,0.0
1803,1.950339223455444e-09,0.0
1804,2.2246657849223084e-08,0.0
1805,5.685755422035754e-09,0.0
1806,2.0171682990621775e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,1.4040760554223652e-08,0.0
1811,4.763445815569867e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,2.5881675469463516e-08,5.751483289628823e-09
1814,2.2026739543434815e-08,0.0
1815,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,0.0
1817,4.670620334934483e-09,0.0
1818,2.384235386898581e-08,0.0
1819,4.140420006848444e-09,0.0
1820,4.746592452420373e-09,0.0
1821,8.875339574387908e-09,5.9168927535324656e-09
1822,9.023054303725075e-09,0.0
1823,1.4824030003524058e-08,0.0
1824,3.3684450784221553e-09,0.0
1825,1.4088708866211164e-08,0.0
1826,1.2331177856594877e-08,0.0
1827,1.013900075008678e-08,0.0
1828,6.420610709767516e-09,0.0
1829,2.1432940755516938e-08,0.0
1830,5.218417697960831e-09,3.1310507520032616e-09
1831,1.091384405071949e-08,0.0
1832,9.470978667991403e-09,0.0
1833,3.4750886612755494e-09,6.950177322551099e-09
1834,1.6802156110884425e-08,0.0
1835,1.9664028627630614e-08,0.0
1836,1.6129799718100912e-08,0.0
1837,1.0436836284100082e-08,1.3915781860163179e-09
1838,2.7142295522253335e-08,0.0
1839,2.307186797168015e-08,6.9914751765765e-10
1840,2.293087852933695e-08,3.821813088222825e-09
1841,1.7977535904378783e-08,1.2841097074556274e-09
1842,8.720745015011744e-09,1.341653010911159e-09
1843,1.6539351221922516e-08,5.906910960362666e-09
1844,3.0187088384536764e-08,0.0
1845,2.5669049108500985e-08,0.0
1846,1.1709002656346001e-08,0.0
1847,1.7258315665458213e-08,1.0247124926365814e-08
1848,1.126331028444838e-08,6.43617736884039e-09
1849,1.256912263158938e-08,1.256912263158938e-08
1850,1.0183494048021657e-08,0.0
1851,6.449438760824933e-09,4.514607354622058e-09
1852,1.4323200403509873e-08,0.0
1853,1.0749477752369785e-08,4.180352064508952e-09
1854,1.8184826089395756e-08,5.195664454227256e-10
1855,7.429711956774554e-09,5.306937111981824e-10
1856,3.6240324075009767e-09,0.0
1857,8.78671624349181e-09,0.0
1858,7.829881631948865e-09,2.936205500958522e-09
1859,8.147477359443656e-09,1.018434669930457e-09
1860,1.327383358784573e-08,9.15436793036406e-09
1861,4.433005784676425e-08,2.357981809808507e-09
1862,1.1294965851504912e-08,2.710791813242963e-09
1863,1.5982786649715308e-08,5.494082966350788e-09
1864,1.6781548595190543e-08,0.0
1865,2.4946274379544775e-08,9.41368871743009e-10
1866,3.259960479340407e-08,2.432806400776144e-09
1867,4.85281148598915e-09,4.85281148598915e-10
1868,1.4819621974027086e-08,1.975949626142892e-09
1869,7.813630631403612e-09,9.767038289254515e-10
1870,1.4335121534259088e-08,2.8670243956696595e-09
1871,1.3807530230280918e-08,6.37270636261178e-09
1872,1.69325495846806e-08,6.047339295989218e-10
1873,5.9860045809045914e-09,4.788803575905831e-09
1874,7.169530746864439e-09,0.0
1875,2.5174719198162165e-08,5.721527140956084e-10
1876,4.232210137899983e-09,6.04601479992084e-10
