year,mais_CONJ envoyer_VERB,mais_CONJ renvoyer_VERB
1800,3.144164395507687e-08,0.0
1801,7.143547975374531e-09,3.5717737434382e-08
1802,6.713520406265161e-09,8.951360541686881e-09
1803,0.0,5.851017448321727e-09
1804,2.4718509905596875e-08,1.2359254952798437e-08
1805,0.0,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,5.693910232196231e-09
1808,4.5321479902327155e-09,6.798221985349073e-09
1809,0.0,2.259030518203531e-09
1810,0.0,2.3401267590372754e-09
1811,5.0141535368197765e-09,0.0
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,0.0,8.627225156487839e-09
1814,0.0,6.293354282149721e-09
1815,2.697223555614414e-09,0.0
1816,0.0,2.0858434979231788e-08
1817,0.0,0.0
1818,7.152706427149269e-09,1.3113294672351117e-08
1819,3.1053151161586356e-09,2.070210003424222e-09
1820,3.085285271708926e-08,1.779972080839798e-08
1821,2.5639868894700157e-08,2.2681423739179252e-08
1822,2.0051231786055723e-09,5.012807946513931e-09
1823,3.854248054047105e-08,2.964806067318193e-09
1824,1.6842225392110777e-09,0.0
1825,2.289415146350393e-08,8.805443041381977e-10
1826,3.082794464148719e-08,8.80798456392995e-09
1827,8.295545583791863e-09,2.949527377893446e-08
1828,1.926183179623564e-08,1.2841221419535032e-08
1829,1.714635211591542e-09,6.001223074036943e-09
1830,6.262101504006523e-09,2.0873671680021744e-09
1831,1.2472964883158966e-08,1.7150327380477393e-08
1832,0.0,4.058990810129615e-09
1833,5.791814139399776e-09,1.2741991461950875e-08
1834,2.8003592777992026e-09,6.534171426153534e-09
1835,1.9664028627630614e-08,1.4369867074037757e-08
1836,1.5457724877876444e-08,1.4113575197427508e-08
1837,2.0177884252348122e-08,2.852735292435682e-08
1838,2.7142295522253335e-08,1.893648637896206e-08
1839,7.690622361167243e-09,6.9914751765765004e-09
1840,1.1465439597735383e-08,1.7198158897002713e-08
1841,8.988767952189392e-09,8.346713542550788e-09
1842,2.0124795163667386e-09,1.6770663080478698e-08
1843,4.134837805480629e-09,4.134837805480629e-09
1844,3.841992946007622e-09,5.488561272137815e-09
1845,1.2276501148988928e-08,1.6740683173033233e-08
1846,1.7563504650652817e-08,2.634525531064469e-08
1847,1.1865092020002521e-08,1.833696128272777e-08
1848,1.045878850192139e-08,1.930853166243196e-08
1849,5.02764896381791e-09,1.256912263158938e-08
1850,8.146795238417326e-09,1.0183494048021657e-08
1851,2.579775504329973e-09,2.0638204922818204e-08
