year,mêmes_ADJ routes_NOUN
1800,1.3834323908668011e-07
1801,6.667310969987739e-08
1802,6.713520406265161e-08
1803,6.046051481689574e-08
1804,4.2021465418429216e-08
1805,8.528632911009026e-09
1806,1.729001475325731e-08
1807,2.8469550272802735e-08
1808,2.945896149242344e-08
1809,5.6475762733043666e-08
1810,1.0764583180389309e-07
1811,1.504245972228091e-08
1812,2.9339290108509886e-08
1813,1.4953856464217097e-07
1814,1.8565394555025705e-07
1815,3.776112933451259e-08
1816,2.3176038865813098e-08
1817,8.56280379935015e-08
1818,9.298518222067287e-08
1819,1.0247539705687814e-07
1820,7.475883023744245e-08
1821,1.1439326641493608e-07
1822,1.0627152846609533e-07
1823,7.510841726343642e-08
1824,1.1536924660049408e-07
1825,7.836844417852262e-08
1826,6.077509340229881e-08
1827,7.281645508783186e-08
1828,4.3109814384934e-08
1829,5.744027831156018e-08
1830,1.1376150865771706e-07
1831,1.0602020239502963e-07
1832,1.4071167697693454e-07
1833,7.992703388026712e-08
1834,9.614566920390644e-08
1835,9.302598158456021e-08
1836,6.317505096831155e-08
1837,5.844628248041772e-08
1838,7.069621688060579e-08
1839,4.194885150354821e-08
1840,6.815567132889555e-08
1841,3.9165346521485844e-08
1842,7.244926081284575e-08
1843,8.624090241937665e-08
1844,1.7508510552488588e-07
1845,3.0691253982695343e-07
1846,1.3816622868034756e-07
1847,9.869599182366073e-08
1848,6.999342616609283e-08
1849,6.368355087715827e-08
1850,4.820187271548093e-08
1851,9.674158008010636e-08
1852,1.40627776090696e-07
1853,1.4810390780439775e-07
1854,9.560022817822755e-08
1855,1.0879220724291372e-07
1856,9.888431407034659e-08
1857,7.810414359710194e-08
1858,6.997957058274551e-08
1859,5.601390640208592e-08
1860,4.7602711106264906e-08
1861,6.460870594082735e-08
1862,4.246907181482129e-08
1863,5.6439215967429845e-08
1864,7.911300770047092e-08
1865,5.742350239756888e-08
1866,5.838735361862746e-08
1867,5.483676801532056e-08
1868,7.261614598519373e-08
1869,8.692664010823137e-08
1870,1.8922360567330543e-08
1871,8.815577245968598e-08
1872,3.62840353318461e-08
1873,6.165584665041024e-08
1874,5.974609251779839e-08
1875,6.064819046969205e-08
1876,5.683254045152353e-08
1877,4.4530676035492434e-08
1878,4.9520526346213956e-08
1879,4.459807456669296e-08
1880,4.299957012676714e-08
1881,3.2770785196589713e-08
1882,2.1297232422057277e-08
1883,3.349249766415596e-08
1884,2.3105940272216685e-08
1885,3.4161868001092444e-08
1886,3.484870347847391e-08
1887,6.333056745688737e-08
1888,3.9311810695608074e-08
1889,6.327788071303075e-08
1890,2.6872983838188702e-08
1891,4.6531805963923034e-08
1892,2.9462007944403013e-08
1893,4.495644034818724e-08
1894,4.4740929183717526e-08
1895,3.4306101071024386e-08
1896,2.5357223876198987e-08
1897,3.437761009195128e-08
1898,4.130599151608294e-08
1899,3.592926134388108e-08
1900,5.813979697677496e-08
1901,2.794369535763508e-08
1902,3.879124221839447e-08
1903,5.2922157323109786e-08
1904,4.622177840474251e-08
1905,4.283430143914302e-08
1906,3.240836221607424e-08
1907,5.451413898072133e-08
1908,6.237463878733251e-08
1909,3.905698164885507e-08
1910,5.825124205216525e-08
1911,3.511446777793026e-08
1912,4.948950049765699e-08
1913,4.083302229673791e-08
1914,3.4153391226254826e-08
1915,4.005459075528961e-08
1916,5.6036057571873243e-08
1917,6.250861872558744e-08
1918,3.2161853624756986e-08
1919,5.340552178267899e-08
1920,7.117898093156327e-08
1921,5.14946840723951e-08
1922,6.49258353746518e-08
1923,3.8217415010421973e-08
1924,5.543398629015428e-08
