year,devons_VERB avoir_VERB
1800,4.244622004989651e-07
1801,8.548445293854456e-07
1802,3.9162202369880106e-07
1803,4.4077665961594903e-07
1804,5.19088700912107e-07
1805,4.292745359180117e-07
1806,6.022688694429235e-07
1807,4.811354301637039e-07
1808,3.603057621148764e-07
1809,7.093356089171721e-07
1810,6.903374014655128e-07
1811,5.289932119012519e-07
1812,5.227728365753137e-07
1813,3.594677195906115e-07
1814,4.688548926878866e-07
1815,3.560334960184264e-07
1816,8.088437652986613e-07
1817,4.997563678443839e-07
1818,5.340687607713335e-07
1819,6.873096936033107e-07
1820,4.4380638541952067e-07
1821,7.958221317494463e-07
1822,6.857521270831057e-07
1823,6.996942261139338e-07
1824,7.553738328169857e-07
1825,5.44176373296068e-07
1826,7.345859103224939e-07
1827,4.267597546459001e-07
1828,5.393313244894671e-07
1829,5.366808295548253e-07
1830,5.907248805669951e-07
1831,5.394557547333534e-07
1832,5.127858457854018e-07
1833,5.235800131231372e-07
1834,6.06744492870348e-07
1835,7.994183874870942e-07
1836,9.274635317524371e-07
1837,7.166627824517491e-07
1838,5.365337756302324e-07
1839,5.94974551404448e-07
1840,6.656324558207416e-07
1841,6.504015459540824e-07
1842,7.43275791137421e-07
1843,7.997957709449111e-07
1844,1.0389846920588752e-06
1845,8.833500828586693e-07
1846,5.819374564453028e-07
1847,5.414796646618925e-07
1848,5.655791142089583e-07
1849,4.85168129671365e-07
1850,5.553398523261421e-07
1851,4.20503397435823e-07
1852,6.2110603948895e-07
1853,6.300388122326694e-07
1854,7.757126923024771e-07
1855,6.554067226716143e-07
1856,8.469881436212745e-07
1857,5.730891530220106e-07
1858,6.15135093084973e-07
1859,4.5371265855465026e-07
1860,5.195103653932165e-07
1861,7.309743637051724e-07
1862,5.968259984001634e-07
1863,5.783770689049561e-07
1864,6.026972982908774e-07
1865,6.608409535147075e-07
1866,7.600087315040582e-07
1867,5.221625087870052e-07
1868,5.453620701700856e-07
1869,5.933475790698139e-07
1870,6.164102615002776e-07
1871,5.8522687140794e-07
1872,5.484936878019653e-07
1873,5.076131515124871e-07
1874,4.49290610049502e-07
1875,5.126488531459472e-07
1876,3.8754956221964676e-07
1877,4.731384137812711e-07
1878,5.163420837561716e-07
1879,5.431190288618382e-07
1880,4.806967126569361e-07
1881,4.099834427506721e-07
1882,5.171233965484134e-07
1883,4.6067981429587235e-07
1884,4.4099334672864643e-07
1885,3.693349128752743e-07
1886,4.5496921075027785e-07
1887,5.458181249196059e-07
1888,3.9819059338697116e-07
1889,3.8029381244086835e-07
1890,3.788435378737631e-07
1891,3.9775133586772426e-07
1892,5.365846504901128e-07
1893,3.9968122678146756e-07
1894,3.969969668560225e-07
1895,5.940372602708521e-07
1896,3.614878778535058e-07
1897,4.305941274651559e-07
1898,5.465971071316744e-07
1899,4.880851633970451e-07
1900,4.1216961221834936e-07
1901,3.9735934365126013e-07
1902,4.0313429394700506e-07
1903,4.320176287819777e-07
1904,5.197262566980498e-07
1905,4.5311463736652513e-07
1906,4.2336637307016645e-07
1907,4.1605602518757223e-07
1908,4.6756423444094253e-07
1909,4.747348896216863e-07
1910,4.6173462919796293e-07
1911,5.155442295290413e-07
1912,4.474892705275124e-07
1913,4.1681499851620174e-07
1914,4.2993093529730686e-07
1915,6.078873298065446e-07
1916,5.878292199668067e-07
1917,6.283761422309908e-07
1918,5.191841978557932e-07
1919,5.45104626326065e-07
1920,5.277845502860146e-07
1921,4.998013309887028e-07
1922,5.031752152717672e-07
1923,5.26551048096735e-07
1924,5.001950285077328e-07
1925,4.861194611294195e-07
1926,3.655933369373088e-07
1927,3.857631725168176e-07
1928,4.2504873931648035e-07
1929,3.8434401972153864e-07
1930,4.4640316332333896e-07
1931,4.24279278377071e-07
1932,4.0440690440846083e-07
1933,3.739435783245426e-07
1934,3.55852932898415e-07
1935,4.093153052053822e-07
1936,3.964781569720799e-07
1937,4.532802506673761e-07
1938,3.1894427365841693e-07
1939,4.374098523385328e-07
1940,3.854389944990544e-07
1941,3.158107801937149e-07
1942,3.853448902191303e-07
1943,4.209691155665496e-07
1944,6.426372465284658e-07
1945,5.293765070746304e-07
1946,4.426911175414716e-07
1947,5.340550046639692e-07
1948,4.642296005386015e-07
1949,4.869236249760434e-07
1950,5.051796847510559e-07
1951,4.360513230494689e-07
1952,4.080839062226005e-07
1953,4.923639380649547e-07
1954,4.329233433963964e-07
1955,3.829327965831908e-07
1956,3.9245136917998025e-07
1957,4.4881991811962507e-07
1958,4.458739226720354e-07
1959,4.77446064905962e-07
1960,4.180183452717756e-07
1961,5.051311973147676e-07
1962,4.965751827512577e-07
1963,3.5757273053604877e-07
1964,5.171373231860343e-07
1965,4.1149766616399575e-07
1966,3.4729998787952354e-07
1967,4.708470555669919e-07
1968,4.3970962337880337e-07
1969,4.787012812812463e-07
1970,4.5803301418345654e-07
1971,4.42929859900687e-07
1972,3.406417476981005e-07
1973,3.6717938201036304e-07
1974,3.836640019017068e-07
1975,3.7010391906733275e-07
1976,3.0510233273162157e-07
1977,3.767017062727973e-07
1978,3.005939106515143e-07
1979,3.476072265584662e-07
1980,3.5191081337870855e-07
1981,2.941380614629452e-07
1982,3.4824088857021707e-07
1983,3.3723787851158704e-07
1984,2.9980873250678997e-07
1985,3.0077791279836674e-07
1986,3.452823591487686e-07
1987,2.92097041665329e-07
1988,3.3280872457908117e-07
1989,3.4684933325479506e-07
1990,3.1929093324833957e-07
1991,3.581355372261896e-07
1992,2.7715017836271727e-07
1993,2.8914664085277764e-07
1994,3.713548437644931e-07
1995,3.7577584066639247e-07
1996,4.1583737697692413e-07
1997,4.1284042140432575e-07
1998,3.185110415415693e-07
1999,3.080315593706473e-07
2000,3.5476793414090935e-07
2001,3.198284730387968e-07
2002,3.075617485137627e-07
2003,3.26686745211191e-07
2004,3.2199022825807333e-07
2005,3.431857180657971e-07
2006,3.426084447255562e-07
2007,3.103710639607016e-07
2008,3.3676349175948417e-07
2009,3.380648365691741e-07
2010,3.292483654604439e-07
2011,3.246552182645246e-07
2012,3.4246781410729454e-07
2013,3.3190588055731496e-07
2014,3.220017106286832e-07
2015,3.7814777442690684e-07
2016,3.9438313592654595e-07
2017,3.8891352005521185e-07
2018,3.6088903243580717e-07
2019,3.9055623801687034e-07
