year,pouvais_VERB emporter_VERB,pouvais_VERB remporter_VERB
1881,6.9725074602899895e-09,0.0
1882,1.3310770263785798e-09,0.0
1883,1.3902545781263598e-08,0.0
1884,1.1222884843675729e-08,0.0
1885,7.7347630522695e-09,6.445635691854079e-10
1886,2.5813855497602844e-09,0.0
1887,1.3057849246322917e-09,0.0
1888,6.340614699951175e-10,1.9021844099853524e-09
1889,4.385595886446936e-09,0.0
1890,6.554386478008212e-10,0.0
1891,1.9122659011827636e-09,0.0
1892,4.387958441043338e-09,0.0
1893,6.158416554491453e-10,0.0
1894,5.041231432301174e-09,0.0
1895,2.4074457982692365e-09,0.0
1896,5.89702897624278e-10,5.89702897624278e-10
1897,5.2440420894583895e-09,5.826713556089658e-10
1898,5.6583548957434e-10,0.0
1899,5.527578395003729e-10,5.527578395003729e-10
1900,3.114631885736685e-09,0.0
1901,2.235495566438317e-09,0.0
1902,0.0,0.0
1903,1.6200660812870638e-09,0.0
1904,4.299700151477737e-09,0.0
1905,0.0,0.0
1906,6.173021205313489e-09,0.0
1907,5.65712765521198e-09,0.0
1908,2.9468334439286537e-09,0.0
1909,0.0,0.0
1910,5.34415089958884e-09,2.67207544979442e-09
1911,1.0640748282497725e-09,1.0640748282497725e-09
1912,3.125652625612929e-09,0.0
1913,3.181793939432964e-09,5.30298971401777e-10
1914,9.37544086809794e-09,6.696743715117748e-10
1915,0.0,0.0
1916,5.493730803607377e-09,0.0
1917,1.4256351654751143e-08,0.0
1918,1.1486376294556067e-09,0.0
1919,2.762354567309444e-09,0.0
1920,2.2716695191604686e-09,0.0
1921,4.543648568500203e-09,0.0
1922,7.377935484775833e-10,0.0
1923,5.307974060286824e-09,0.0
1924,0.0,0.0
1925,5.499089184013428e-09,0.0
1926,2.229227691330493e-09,0.0
1927,1.1149224876660924e-09,0.0
1928,3.4278122562625413e-09,0.0
1929,0.0,0.0
1930,5.2518016602221e-09,2.100720708497761e-09
1931,5.7026783295555106e-09,0.0
1932,2.1919073223131136e-09,0.0
1933,2.2941324395731044e-09,0.0
1934,1.1981580172459871e-09,0.0
1935,1.196828414151696e-09,0.0
1936,2.424942913137329e-09,0.0
1937,0.0,0.0
1938,2.5930428915188486e-09,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,1.1612940831184915e-08,0.0
1944,0.0,0.0
1945,2.178504043826024e-09,0.0
1946,1.3921104269343232e-09,0.0
1947,5.960435700558264e-09,0.0
1948,2.174377566888097e-09,0.0
1949,1.9634016634739737e-09,0.0
1950,1.1698897850465073e-08,0.0
1951,5.330700769690111e-09,0.0
1952,7.381362632230548e-09,0.0
1953,2.1547654771580937e-09,0.0
1954,4.886268278880834e-09,0.0
1955,2.815682353940474e-09,0.0
1956,8.72114158667614e-10,0.0
1957,3.534015080575159e-09,0.0
1958,5.790570245522986e-09,0.0
1959,7.750747821333448e-10,0.0
1960,5.536666680683311e-09,0.0
1961,6.25334317660986e-09,0.0
1962,4.43936931660005e-09,1.2683912808952869e-09
1963,2.5864212993553792e-09,0.0
1964,3.041984220075733e-09,0.0
1965,4.924839203113152e-09,1.0944086747954884e-09
1966,2.769537488234164e-09,0.0
1967,7.395503320850594e-09,0.0
1968,2.245707841908029e-09,0.0
1969,2.7250546263957176e-09,0.0
1970,3.6789800095249348e-09,0.0
1971,1.541519245584766e-09,0.0
1972,3.5911027485013847e-09,0.0
1973,4.9618833486420044e-09,0.0
1974,4.500457340128605e-09,0.0
1975,2.2845920710778955e-09,0.0
1976,1.7140580066410394e-09,0.0
1977,3.526069214387917e-09,5.876781838942691e-10
1978,7.128709622605811e-09,0.0
1979,5.851973350345929e-10,0.0
1980,4.548120546843393e-09,0.0
1981,1.8976649140967083e-09,0.0
1982,1.8622506869903077e-09,0.0
1983,3.157658134966823e-09,1.2630632095778083e-09
1984,1.739702604197646e-09,0.0
1985,3.0077789148208467e-09,0.0
1986,2.3977941854269602e-09,0.0
1987,1.2221633705067347e-09,0.0
1988,5.996553809062277e-10,0.0
1989,3.841685636274406e-09,0.0
1990,1.089730194969718e-09,5.44865097484859e-10
1991,2.344586080837985e-09,1.7584396161396398e-09
1992,4.4079553340736766e-09,5.509944167592096e-10
1993,5.539207315052863e-09,2.7696036575264316e-09
1994,1.5824779264761446e-09,0.0
1995,5.964695848348356e-09,5.422450821690461e-10
1996,3.2028553142993132e-09,0.0
1997,1.917957792585412e-09,0.0
1998,2.3840645013706308e-09,0.0
1999,3.656160929565999e-09,1.3710603763428253e-09
2000,5.3016377954406835e-09,8.836062992401139e-10
2001,4.8193329327261836e-09,0.0
2002,4.381221607729913e-09,0.0
2003,3.333538334260311e-09,0.0
2004,7.047666006343434e-09,0.0
2005,3.1526248278623825e-09,0.0
2006,4.117890028965121e-09,0.0
2007,3.994479413904628e-09,0.0
2008,2.1287198670449925e-09,8.514879357157668e-10
2009,2.384096253749135e-09,9.53638501499654e-10
2010,9.447585824773341e-09,9.447586046817946e-10
2011,4.971163480860241e-09,1.911985902935953e-09
2012,9.531907707582832e-09,3.063827413996023e-09
2013,9.204113027294625e-09,1.9523875849358774e-09
2014,9.744502982300673e-09,1.0827225782605865e-09
2015,9.309617077235544e-09,2.881548111233201e-09
2016,1.0149566520567532e-08,2.899876117012923e-09
2017,1.2074934829797712e-08,1.7609279590047322e-09
2018,1.1358453733123497e-08,3.872199894061623e-09
2019,1.0459049626376782e-08,1.2754939326953263e-09
