year,sans_ADP attraper_VERB,sans_ADP rattraper_VERB
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,7.801356893821776e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,1.4408345627714425e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,1.1700633351097167e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,1.622322720606917e-08,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,8.306536791735653e-09,0.0
1821,0.0,0.0
1822,1.0025615893027862e-09,0.0
1823,1.4824030003524058e-08,0.0
1824,5.052667617633233e-09,0.0
1825,0.0,0.0
1826,2.642395191543301e-09,0.0
1827,0.0,0.0
1828,1.8344602503717056e-09,0.0
1829,1.457439946506156e-08,0.0
1830,1.878630406793036e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,6.764984572527055e-09,0.0
1833,0.0,0.0
1834,8.401078055442213e-09,0.0
1835,0.0,0.0
1836,4.704525213838906e-09,0.0
1837,6.957891152126194e-09,0.0
1838,1.2624323808552163e-09,0.0
1839,2.7965900706306e-09,0.0
1840,6.369688665408546e-10,0.0
1841,3.852329122366882e-09,6.420548537278137e-10
1842,2.0124795163667386e-09,0.0
1843,8.269675610961258e-09,0.0
1844,2.195424508855126e-09,0.0
1845,7.812318791877715e-09,0.0
1846,8.196302303531411e-09,0.0
1847,7.550513103637968e-09,0.0
1848,1.045878850192139e-08,0.0
1849,2.513824481908955e-09,0.0
1850,6.788996032014438e-10,0.0
1851,1.9348316282474798e-09,0.0
1852,1.3021090872200602e-09,0.0
1853,2.388772735173461e-09,0.0
1854,8.313063126763609e-09,0.0
1855,1.6451505047143655e-08,0.0
1856,1.9155599773057475e-08,0.0
1857,5.369659827891837e-09,0.0
1858,4.893676130990343e-09,0.0
1859,4.582956236731661e-09,0.0
1860,4.119465657481669e-09,0.0
1861,3.3011746669586728e-09,9.431927461278633e-10
1862,8.132375661773494e-09,0.0
1863,4.994620828036034e-10,0.0
1864,1.4384183844029508e-09,0.0
1865,9.413688495385486e-09,0.0
1866,9.244664589402873e-09,0.0
1867,4.85281148598915e-09,0.0
1868,1.975949714960734e-08,0.0
1869,1.5138908793232986e-08,1.4650557433881772e-09
1870,1.0321287824410774e-08,0.0
1871,1.1683295220166201e-08,0.0
1872,5.442605477412599e-09,0.0
1873,4.788803575905831e-09,5.986004469882289e-10
1874,2.0911132381229436e-08,0.0
1875,5.149374260327022e-09,5.721527140956084e-10
1876,6.04601479992084e-10,0.0
1877,1.0514186854493346e-08,1.2369631985365004e-09
1878,3.0195443923020093e-09,0.0
1879,1.7717043832021773e-08,0.0
1880,7.701415505323439e-09,0.0
1881,8.367009307619355e-09,0.0
1882,5.989846840748214e-09,0.0
1883,1.2006744043446815e-08,1.2638677882037541e-09
1884,1.1883054540362536e-08,0.0
1885,4.511945039809007e-09,0.0
1886,7.098810428374236e-09,6.4534639854230136e-09
1887,8.48760173255414e-09,0.0
1888,6.340614699951175e-09,0.0
1889,1.2530273707511697e-08,0.0
1890,8.520702365899524e-09,6.554386478008212e-10
1891,2.5496880162734215e-09,3.824531802365527e-09
1892,1.191017329205124e-08,1.8805537127519756e-09
1893,8.005941687372342e-09,0.0
1894,6.9316934414587195e-09,0.0
1895,1.0833506536300774e-08,6.018614495673091e-10
1896,5.897029087265082e-09,0.0
1897,1.1070755867592652e-08,2.330685422435863e-09
1898,6.7900258748920805e-09,1.13167097914868e-09
1899,5.527578395003729e-09,5.527578395003729e-10
1900,8.824790675987515e-09,5.191053142894475e-10
1901,7.824234593556412e-09,3.353243460679778e-09
1902,4.910283735171106e-09,2.9461704187383475e-09
1903,5.940242076007962e-09,0.0
1904,3.2247751136083025e-09,0.0
