year,aurions_VERB envoyé_VERB,aurions_VERB renvoyé_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,8.951360541686881e-09
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,1.8880061958270744e-08,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,1.71256075987003e-08,0.0
1818,3.5763532135746345e-09,0.0
1819,8.280840013696888e-09,5.175524897538253e-09
1820,0.0,4.746592452420373e-09
1821,4.930744257336528e-09,2.9584463767662328e-09
1822,2.0051231786055723e-09,1.303330066093622e-08
1823,2.9648061783404955e-09,0.0
1824,8.421112696055388e-09,0.0
1825,0.0,0.0
1826,7.0463874735082754e-09,0.0
1827,3.6869092223668076e-09,6.452091305675367e-09
1828,1.7427371545863934e-08,4.586150570418113e-09
1829,1.457439946506156e-08,2.5719527840806222e-08
1830,6.262101504006523e-09,3.1310507520032616e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,0.0
1833,2.3167257001688313e-09,0.0
1834,0.0,0.0
1835,1.5126175867408165e-09,3.025235173481633e-09
1836,6.720750067579218e-10,2.688300027031687e-09
1837,4.174734336004349e-09,5.5663127440652715e-09
1838,6.312161904276081e-10,6.312161904276081e-10
1839,1.3982949909063791e-08,3.4957374772659477e-09
1840,3.05745047057826e-08,1.6561189752906103e-08
1841,3.146068650039524e-08,0.0
1842,1.408735705865638e-08,0.0
1843,1.2995204023980023e-08,4.134837805480629e-09
1844,7.1351298203126134e-09,2.7442805805577564e-09
1845,8.37034175305007e-09,1.1160455892778032e-09
1846,7.025401593807601e-09,4.0981511517657054e-09
1847,3.721324404182269e-08,5.393223645455691e-10
1848,1.850401076808339e-08,1.6090443422100975e-09
1849,1.005529792763582e-08,2.1786478399121734e-08
1850,4.073397619208663e-09,4.073397619208663e-09
1851,3.2247193804124663e-09,0.0
1852,1.8880582430824688e-08,0.0
1853,5.971931837933653e-09,6.569124799682413e-09
1854,1.558699391779328e-09,0.0
1855,4.2455496895854594e-09,2.653468555990912e-09
1856,2.5885945831305435e-08,1.346069211649592e-08
1857,6.8341128311999455e-09,4.881509085841174e-10
1858,1.5170396494568195e-08,4.893676019968041e-10
1859,7.638259802433822e-09,1.5276520048956854e-09
1860,9.154367819341758e-10,1.373155145145688e-09
1861,4.715963619617014e-09,2.1221836732365773e-08
1862,1.1294965851504912e-08,5.873382225018986e-09
1863,2.0477944673302773e-08,4.994620828036034e-10
1864,1.4384183844029508e-09,1.4384183844029508e-09
1865,1.97687466396701e-08,9.41368871743009e-10
1866,1.1190909532388105e-08,1.4596839292835284e-09
1867,9.7056229719783e-10,1.455843445796745e-09
1868,2.2723421366777075e-08,4.44588676984381e-09
1869,6.8369265804335555e-09,6.348574999037737e-09
1870,1.9495765002375265e-08,1.204150201772336e-08
1871,8.496941816815706e-09,2.1242354542039266e-09
1872,1.269941218851045e-08,0.0
1873,5.9860045809045914e-09,1.7958012854535355e-09
1874,2.3898436563030145e-09,3.5847653734322193e-09
1875,5.721527251978387e-09,5.721527140956084e-10
1876,9.673623679873344e-09,9.069021977836655e-09
1877,8.040260901509555e-09,2.4739263970730008e-09
1878,4.166971123709118e-08,1.2078177347163432e-09
1879,1.4051448005147904e-08,4.27652757650776e-09
1880,9.626769603698904e-09,6.417846254436199e-10
1881,4.8807553554297556e-09,6.972507571312292e-10
1882,2.6621540527571597e-09,5.324308105514319e-09
1883,2.1485751844352308e-08,4.423537092179686e-09
1884,9.902545450302114e-09,0.0
1885,0.0,1.2891271383708158e-09
1886,3.872078213618124e-09,3.872078213618124e-09
1887,2.6115698492645834e-09,6.528924623161458e-10
1888,8.242799331981132e-09,4.4384300679212174e-09
1889,4.385595886446936e-09,5.012109394186837e-09
1890,1.2453334363726754e-08,1.3108772956016423e-09
1891,8.286486163910922e-09,0.0
1892,5.641661360300532e-09,3.1342561879199593e-09
1893,1.1085149687062312e-08,5.542574843531156e-09
1894,9.452309157609307e-09,4.411077725308132e-09
1895,6.6204757231957956e-09,2.4074457982692365e-09
1896,4.717623180994224e-09,2.358811590497112e-09
1897,7.574727511894253e-09,1.7480140668268973e-09
1898,8.487532454637403e-09,4.52668391659472e-09
1899,6.080336234504102e-09,2.7637891975018647e-09
1900,5.191053142894475e-10,2.595526460424935e-09
1901,7.824234593556412e-09,1.676621730339889e-09
1902,1.276673788908056e-08,4.419255628107521e-09
1903,1.6200660812870638e-09,3.2401321625741275e-09
1904,7.524475265086039e-09,5.374625189347171e-10
1905,4.64468330463319e-09,1.5482277682110634e-09
1906,6.6874399351490865e-09,6.173021205313489e-09
1907,1.0285686968813934e-08,3.599990305858114e-09
1908,9.822778146428846e-09,9.822778146428846e-10
1909,7.151278680339601e-09,2.7504918342913243e-09
1910,2.137660271017694e-09,4.809735720812114e-09
1911,1.5961122423746588e-09,5.320374141248863e-10
1912,6.772247651554153e-09,3.125652625612929e-09
1913,3.181793939432964e-09,0.0
1914,4.68772043404897e-09,0.0
1915,1.8849219074468238e-08,0.0
1916,6.592477230782379e-09,4.394984820521586e-09
1917,7.676496771580332e-09,2.1932848870420685e-09
1918,4.594550517822427e-09,0.0
1919,9.207848705727883e-09,0.0
1920,9.086678076641874e-09,3.786115865267448e-09
1921,5.300923255902035e-09,7.572747429129834e-10
1922,5.902348387820666e-09,7.377935484775833e-10
1923,1.0615948120573648e-09,5.307974060286824e-09
1924,7.734974438733389e-09,0.0
1925,4.399271169575059e-09,0.0
1926,4.458455382660986e-09,1.1146138456652466e-09
1927,2.2298449753321847e-09,7.804457524684949e-09
1928,1.1426041446327417e-08,1.1426041224282812e-09
1929,1.1140406375176326e-09,3.342121912552898e-09
1930,3.1510811737689437e-09,0.0
1931,0.0,0.0
1932,2.1919073223131136e-09,4.383814644626227e-09
1933,2.2941324395731044e-09,0.0
1934,4.7926320689839486e-09,0.0
1935,3.590485242455088e-09,2.393656828303392e-09
1936,0.0,2.424942913137329e-09
1937,8.813782592653752e-09,0.0
1938,0.0,3.8895642262559704e-09
1939,0.0,0.0
1940,2.5357829169792012e-09,5.0715658339584024e-09
1941,0.0,0.0
1942,3.034211770724937e-09,0.0
1943,5.806470415592457e-09,0.0
1944,3.2131861615880553e-09,0.0
1945,0.0,0.0
1946,2.7842208538686464e-09,0.0
1947,1.1920870957027319e-09,0.0
1948,1.0871887834440486e-09,0.0
1949,9.817008317369869e-10,0.0
1950,8.508289184305795e-09,0.0
1951,0.0,0.0
1952,8.435843135146115e-09,0.0
1953,2.1547654771580937e-09,6.464296653518886e-09
1954,1.9545072227344917e-09,9.772536113672459e-10
1955,0.0,0.0
1956,2.616342476002842e-09,0.0
1957,1.7670075402875796e-09,0.0
1958,8.272243445794913e-10,8.272243445794913e-10
1959,7.750747821333448e-10,1.5501495642666896e-09
1960,4.844583401109048e-09,6.920833350854139e-10
1961,3.47407969059077e-09,1.3896318540318475e-09
1962,3.170978146727066e-09,0.0
1963,5.819448034571906e-09,0.0
1964,6.6923653285755336e-09,6.083968329129164e-10
1965,4.924839203113152e-09,0.0
1966,2.769537488234164e-09,3.3234448526542337e-09
1967,2.9582012395223956e-09,4.930335584241163e-10
1968,1.3474247273492779e-09,2.6948494546985557e-09
1969,4.995933444718048e-09,1.8167031212712459e-09
1970,4.598724956395017e-09,9.197450023812337e-10
1971,0.0,2.0553589941130213e-09
1972,3.5911027485013847e-09,5.130146862875051e-10
1973,4.410563025913916e-09,6.064523994098181e-09
1974,5.06301445213353e-09,3.3753431161187564e-09
1975,1.1422960355389478e-09,0.0
1976,1.7140580066410394e-09,1.7140580066410394e-09
1977,5.876781838942691e-10,3.526069214387917e-09
1978,2.970295565063452e-09,1.7821774056514528e-09
1979,3.5111840102075575e-09,0.0
1980,7.390696055153967e-09,5.685150683554241e-10
1981,5.060439622894819e-09,0.0
1982,6.2075020679230875e-09,1.2415004579935385e-09
1983,1.89459470334441e-09,6.315316047889041e-10
1984,3.479405208395292e-09,5.799008495621649e-10
1985,1.2031116103372597e-09,0.0
1986,4.7955883708539204e-09,0.0
1987,3.0554083707556856e-09,1.8332451112712533e-09
1988,1.798966087207532e-09,0.0
1989,5.488122178931576e-10,1.0976244357863152e-09
1990,3.2691906959314565e-09,0.0
1991,1.1722930404189924e-09,2.344586080837985e-09
1992,4.958949695321735e-09,1.1019888335184191e-09
1993,1.661762283333701e-09,0.0
1994,2.1099706426497278e-09,0.0
1995,1.626735190995987e-09,0.0
1996,3.2028553142993132e-09,1.067618438099771e-09
1997,0.0,9.58978896292706e-10
1998,4.768129224785866e-10,0.0
1999,6.8553016596695215e-09,4.113180906983871e-09
2000,4.418031274155965e-09,8.836062992401139e-10
2001,3.066848330846028e-09,0.0
2002,2.6287327870022636e-09,1.3143663935011318e-09
2003,3.333538334260311e-09,4.1669229178253886e-10
2004,4.404791253964646e-10,8.809582507929292e-10
2005,2.702249757291497e-09,0.0
2006,3.294311934354255e-09,4.1178899179428186e-10
2007,3.1955835755326234e-09,0.0
2008,5.5346713878634546e-09,1.2772318758180745e-09
2009,1.5258216023994464e-08,4.76819250749827e-10
2010,1.8895172093635892e-09,0.0
2011,4.971163480860241e-09,3.82397197240536e-10
2012,4.425528388196653e-09,6.808505426114664e-10
2013,6.9728125495771565e-09,8.367375126105969e-10
2014,3.897801192920269e-09,1.0827225782605865e-09
2015,5.54143841924315e-09,4.433150790905671e-10
2016,8.078226088059637e-09,2.0713400439298368e-10
2017,4.2765391228272165e-09,5.031222660711876e-10
2018,2.581466596041082e-09,2.5814667070633845e-10
2019,3.06118530524202e-09,1.53059265262101e-09
