year,pouviez_VERB aller_VERB
1800,3.144164484325529e-09
1801,9.524730337773235e-09
1802,8.951360541686881e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,2.039466551195801e-08
1809,2.259030518203531e-09
1810,3.2761775514700275e-08
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,6.293354282149721e-09
1815,1.8880564667256294e-08
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,8.344824387052086e-09
1819,0.0
1820,7.119888678630559e-09
1821,6.903041693817613e-09
1822,1.9048670196752937e-08
1823,1.1859224713361982e-08
1824,8.421112696055388e-09
1825,5.283265824829186e-09
1826,2.1139161532346407e-08
1827,9.217273055917019e-10
1828,1.7427371545863934e-08
1829,8.573175946935407e-09
1830,0.0
1831,1.5591206103948707e-09
1832,2.705993873419743e-09
1833,4.6334514003376626e-09
1834,1.8669061851994684e-09
1835,1.285724948729694e-08
1836,8.736974699274924e-09
1837,4.174734336004349e-09
1838,4.418513555037862e-09
1839,4.194885327990505e-09
1840,1.2739377552861697e-08
1841,3.2102742686390684e-09
1842,5.366612043644636e-09
1843,9.451057714215949e-09
1844,5.488561161115513e-09
1845,1.3950569588416784e-08
1846,2.3418005312692003e-09
1847,1.0247124926365814e-08
1848,1.6090443422100975e-09
1849,2.513824481908955e-09
1850,2.0366988096043315e-09
1851,1.9348316282474798e-09
1852,9.114764054629632e-09
1853,4.777545470346922e-09
1854,7.79349651480743e-09
1855,1.5920811335945473e-09
1856,4.659470143053568e-09
1857,8.298565390418844e-09
1858,1.4191660291373864e-08
1859,2.036869339860914e-09
1860,4.57718396518203e-09
1861,5.187560159214399e-09
1862,8.132375661773494e-09
1863,3.496234635136375e-09
1864,1.2945765348604255e-08
1865,2.5416959203994338e-08
1866,1.4596839292835284e-09
1867,9.7056229719783e-10
1868,1.0867722721741302e-08
1869,1.4650557433881772e-09
1870,1.7202146374017957e-09
1871,6.37270636261178e-09
1872,2.116568786902917e-08
1873,4.788803575905831e-09
1874,3.5847653734322193e-09
1875,1.1443054503956773e-08
1876,6.650616057868319e-09
1877,4.329371083855449e-09
1878,3.0195443923020093e-09
1879,2.2604503158163425e-08
1880,7.059631101924424e-09
1881,8.367009307619355e-09
1882,9.317538740560849e-09
1883,3.159669414998234e-09
1884,1.9805090900604227e-09
1885,9.023890079618013e-09
1886,3.872078213618124e-09
1887,7.1818169189441505e-09
1888,6.340614699951175e-09
1889,4.385595886446936e-09
1890,1.3108772956016423e-09
1891,5.099376032546843e-09
1892,4.387958441043338e-09
1893,6.158416554491453e-10
1894,2.520615716150587e-09
1895,6.6204757231957956e-09
1896,1.6511680911435178e-08
1897,6.992056267307589e-09
1898,7.355861253444118e-09
1899,5.527578395003729e-09
1900,7.786579381274805e-09
1901,0.0
1902,2.9461704187383475e-09
1903,5.940242076007962e-09
1904,2.6873125946735854e-09
1905,1.0321518084666081e-09
1906,1.0288369045596824e-09
1907,0.0
1908,7.367083831866239e-09
1909,4.400786846048277e-09
1910,2.67207544979442e-09
1911,6.916486494645824e-09
1912,5.730363294986773e-09
1913,5.30298971401777e-10
1914,2.0090231700464756e-09
1915,1.1780761921542648e-09
1916,3.2962386153911893e-09
1917,4.386569774084137e-09
1918,0.0
1919,7.366278698128781e-09
1920,8.329454459499175e-09
1921,3.7863738810983705e-09
1922,5.902348387820666e-09
1923,4.246379248229459e-09
1924,7.734974438733389e-09
1925,1.2097995494286806e-08
1926,6.687683296036084e-09
1927,2.2298449753321847e-09
1928,3.4278122562625413e-09
1929,7.798284684668033e-09
1930,9.453243521306831e-09
1931,5.7026783295555106e-09
1932,4.383814644626227e-09
1933,2.2941324395731044e-09
1934,1.0783422155213884e-08
1935,1.196828414151696e-09
1936,0.0
1937,6.295559185076627e-09
1938,9.075650453382877e-09
1939,7.647025235257843e-09
1940,2.5357829169792012e-09
1941,8.854508237732261e-09
1942,0.0
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,1.3071024262956144e-08
1946,2.7842208538686464e-09
1947,9.536696765621855e-09
1948,1.6307831529616124e-08
1949,4.908504269707237e-09
1950,3.190608444114673e-09
1951,1.0661401539380222e-08
1952,4.2179215675730575e-09
1953,6.464296653518886e-09
1954,1.5636057781875934e-08
1955,9.385607846468247e-09
1956,4.360570571293465e-09
1957,8.835037590415595e-09
1958,5.790570245522986e-09
1959,5.425523585955716e-09
1960,2.7683333403416555e-09
1961,1.320150300188061e-08
1962,6.976152100435229e-09
1963,7.1126584622049904e-09
1964,9.734349326606662e-09
1965,3.2832261354087677e-09
1966,6.6468897053084675e-09
1967,8.874604162656397e-09
1968,3.1439910674890825e-09
1969,4.541757636644661e-09
1970,2.2993624781975086e-09
1971,6.679916619845017e-09
1972,3.5911027485013847e-09
1973,3.3079223804577396e-09
1974,2.812785782069227e-09
1975,3.998036124386317e-09
1976,3.9994687561772935e-09
1977,3.526069214387917e-09
1978,1.1881182704343018e-09
1979,5.851973128301324e-09
1980,3.97960553399912e-09
1981,5.060439622894819e-09
1982,6.2075020679230875e-09
1983,4.4207211225000265e-09
1984,8.69851302098823e-09
1985,1.8046674155058895e-09
1986,5.395036861699509e-09
1987,3.0554083707556856e-09
1988,1.798966087207532e-09
1989,6.036934507847036e-09
1990,5.448650863826288e-09
1991,8.7921980806982e-09
1992,5.509944167592096e-10
1993,5.539207426075166e-10
1994,9.494868002946077e-09
1995,7.591431483433553e-09
1996,3.736664311304594e-09
1997,2.876936688878118e-09
1998,6.675381136744818e-09
1999,2.7421207526856506e-09
2000,6.185244316725402e-09
2001,8.762423675534592e-09
2002,3.504977197366088e-09
2003,6.250384210204629e-09
2004,3.9643119897903034e-09
2005,9.457874483587148e-09
2006,7.412201963319376e-09
2007,6.7906151812735516e-09
2008,6.811903485726134e-09
2009,9.059565542202108e-09
2010,1.0864724231396394e-08
2011,5.7359579308524644e-09
2012,1.3617010630184723e-08
2013,2.398647502843687e-08
2014,1.1693403578760808e-08
2015,1.795426030071212e-08
2016,1.7399257146166747e-08
2017,2.4149869659595424e-08
2018,2.0651732768328657e-08
2019,2.219359274135968e-08
