year,mes_DET adieux_NOUN
1800,5.848145860909426e-07
1801,5.548155215251427e-07
1802,4.744221087094047e-07
1803,4.50528371054304e-07
1804,4.474050150360398e-07
1805,4.122172678755476e-07
1806,4.524220456048056e-07
1807,3.729511099948013e-07
1808,3.9882901781140845e-07
1809,3.637039105441886e-07
1810,4.844062386766268e-07
1811,4.989082551531965e-07
1812,4.0808285461935156e-07
1813,6.55669097682221e-07
1814,8.401627797915978e-07
1815,7.633142464769094e-07
1816,4.91332020402524e-07
1817,4.514932880894662e-07
1818,6.091721891365864e-07
1819,4.523408847489918e-07
1820,5.743376583211557e-07
1821,5.966200562479429e-07
1822,6.085548704959365e-07
1823,6.86846753694681e-07
1824,6.172675774962499e-07
1825,7.599097262556143e-07
1826,5.778037945880499e-07
1827,5.152455599954919e-07
1828,5.420830007096811e-07
1829,5.889771657052734e-07
1830,6.220354080710422e-07
1831,7.062816358427426e-07
1832,4.586659683170069e-07
1833,7.100764243261892e-07
1834,5.964765072974387e-07
1835,6.26979961282359e-07
1836,5.148094617268839e-07
1837,4.919229024125116e-07
1838,5.276967387501941e-07
1839,4.775177533389297e-07
1840,4.0001643641929263e-07
1841,4.6870004055676873e-07
1842,4.568328471066252e-07
1843,4.229348444795278e-07
1844,4.670765778591601e-07
1845,3.699691264458238e-07
1846,3.4892827005528204e-07
1847,3.101103605018807e-07
1848,3.813435185406888e-07
1849,3.6618044418901263e-07
1850,3.7067917002531203e-07
1851,4.5597531261876156e-07
1852,3.378973065792934e-07
1853,3.5114959473503404e-07
1854,3.8499872889730113e-07
1855,5.078738887220879e-07
1856,3.7948798237152914e-07
1857,4.417765655517769e-07
1858,4.3357969392587847e-07
1859,5.036159329563361e-07
1860,5.570433101453887e-07
1861,5.03664933759751e-07
1862,5.114360641655935e-07
1863,4.050637620878206e-07
1864,5.044053992264708e-07
1865,5.059857626221742e-07
1866,3.7708500677524626e-07
1867,3.2805006888736443e-07
1868,3.8827410708819343e-07
1869,4.6881784010466276e-07
1870,3.4920357627754584e-07
1871,3.3456707626555726e-07
1872,4.4508415886213015e-07
1873,3.603574638688656e-07
1874,3.979089759909016e-07
1875,4.4284620592804913e-07
1876,3.8392194512404387e-07
1877,4.187120516974119e-07
1878,3.514749664645933e-07
1879,4.111575790943789e-07
1880,3.792947156355808e-07
1881,3.827906587261509e-07
1882,4.239480260181949e-07
1883,3.93062888903728e-07
1884,3.868594493638966e-07
1885,2.539580372662442e-07
1886,3.452603305476032e-07
1887,3.3950407640759295e-07
1888,3.5253817820546374e-07
1889,3.3393178799911993e-07
1890,3.3165196544615583e-07
1891,2.6962950450126755e-07
1892,3.679616629170823e-07
1893,3.4240795887541253e-07
1894,4.1842222131549534e-07
1895,3.821820149241262e-07
1896,3.3436154200927604e-07
1897,3.2746129274840996e-07
1898,2.6877185810292303e-07
1899,3.3054919335029354e-07
1900,2.782404506795899e-07
1901,2.850256892727998e-07
1902,2.3422054340471732e-07
1903,2.2086900930418096e-07
1904,2.015484392714484e-07
1905,2.5081289711792465e-07
1906,2.078250491699407e-07
1907,2.5817074056355693e-07
1908,2.9075423313429383e-07
1909,2.568959409643412e-07
1910,3.2438994512773434e-07
1911,2.9794095501856077e-07
1912,3.2194224530712745e-07
1913,2.5666470149232623e-07
1914,2.8193290724232156e-07
1915,2.532863834225907e-07
1916,2.6040286371653565e-07
1917,2.8293374310095487e-07
1918,2.504029907868244e-07
1919,3.213539065960447e-07
1920,1.8930578704612344e-07
1921,2.5141521842186876e-07
1922,2.8405050489510586e-07
1923,2.3779723612449288e-07
1924,3.0682066620713044e-07
1925,2.9695080350222725e-07
1926,2.8311191258012514e-07
1927,3.5120057795268167e-07
1928,2.765101863033692e-07
1929,2.9410672119922765e-07
1930,2.3843180407823183e-07
1931,2.520583883836025e-07
1932,2.3891790501551213e-07
1933,2.489133645866559e-07
1934,2.348389678274998e-07
1935,2.5013713322863396e-07
1936,1.6004623093479609e-07
1937,1.8257121991993586e-07
1938,2.0873994710512989e-07
1939,2.1411670036997066e-07
1940,1.3693227352007398e-07
1941,3.1285928603352886e-07
1942,2.548737967345005e-07
1943,2.0322646343551298e-07
1944,3.1810543354993115e-07
1945,2.832055256973831e-07
1946,2.867747390666864e-07
1947,3.1709516701283746e-07
1948,2.717972067411978e-07
1949,2.2088268591957672e-07
1950,1.8080114649876577e-07
1951,2.537413719139181e-07
1952,1.971878269557692e-07
1953,2.2301822000247995e-07
1954,1.89587205490227e-07
1955,2.2056178350382538e-07
1956,2.651227060113115e-07
1957,1.749337471546042e-07
1958,2.0432441028006565e-07
1959,2.1469571942489551e-07
1960,2.3115582736821239e-07
1961,2.265099947607041e-07
1962,2.1689490337095663e-07
1963,2.017408666787901e-07
1964,2.4275034382625904e-07
1965,1.8933270329313245e-07
1966,2.1602391031549928e-07
1967,2.3419093775345345e-07
1968,2.6274783682112e-07
1969,2.116459141277005e-07
1970,1.7797065510194443e-07
1971,2.045082236890039e-07
1972,1.9802366679755323e-07
1973,1.720119611192672e-07
1974,1.6257902402116997e-07
1975,1.4849848239961716e-07
1976,1.6454957529887793e-07
1977,1.4985794027921884e-07
1978,1.91881098565716e-07
1979,1.7321840761752583e-07
1980,2.2968008916990357e-07
1981,1.7648283678894927e-07
1982,1.694648164018986e-07
1983,1.717765996112064e-07
1984,1.890476788446449e-07
1985,1.6302162730852388e-07
1986,1.6185111073596659e-07
1987,1.6560314275437804e-07
1988,1.4571625595038995e-07
1989,2.074510194738366e-07
1990,1.7435683785649303e-07
1991,1.6587946927160147e-07
1992,1.405035723323067e-07
1993,2.0439674930372576e-07
1994,2.0044721704692847e-07
1995,1.897857773158762e-07
1996,1.65480861014089e-07
1997,1.716572235466174e-07
1998,2.0073823403521374e-07
1999,1.8646420230084004e-07
2000,1.904171513800179e-07
2001,2.0022137148245633e-07
2002,1.8926876421687666e-07
2003,2.162633032654071e-07
2004,2.0394182964622587e-07
2005,1.7339436286789578e-07
2006,2.0877701478738686e-07
2007,2.033190096284443e-07
2008,2.4522853081521134e-07
2009,2.5080693255574715e-07
2010,2.6264289765265403e-07
2011,2.967402132902919e-07
2012,4.1089328917109924e-07
2013,4.356613185763081e-07
2014,4.46731347025775e-07
2015,5.408444208043761e-07
2016,6.404583539065811e-07
2017,4.0727746064561643e-07
2018,5.222307173369245e-07
2019,5.033098764428701e-07
