year,plusieurs_DET routes_NOUN
1800,2.0437069014889175e-07
1801,1.5239568007530124e-07
1802,1.2308120744819462e-07
1803,1.1897069529531734e-07
1804,1.4336735953968116e-07
1805,1.02343598484822e-07
1806,1.613734683658663e-07
1807,1.8789903766247562e-07
1808,2.3567169371574437e-07
1809,1.5587310997489112e-07
1810,1.9657064775913113e-07
1811,1.2535383930867283e-07
1812,1.226915777863269e-07
1813,2.0992913585260453e-07
1814,3.335477671839726e-07
1815,2.778140242298832e-07
1816,1.5759706961659958e-07
1817,1.2143612915238577e-07
1818,9.65615354342475e-08
1819,1.5423065136133118e-07
1820,1.6494408860978638e-07
1821,1.7849294309257857e-07
1822,1.6341753905635414e-07
1823,1.9765374048574813e-07
1824,2.458964978302447e-07
1825,2.3246369806884104e-07
1826,2.4045797886174114e-07
1827,2.156841869549453e-07
1828,1.2290883866228342e-07
1829,2.0232695341348972e-07
1830,2.5987721841147504e-07
1831,1.7150327380477393e-07
1832,2.1242052561376568e-07
1833,2.027134975435274e-07
1834,2.1656111748313833e-07
1835,2.677333128531245e-07
1836,1.6600253260889986e-07
1837,1.7812200248101817e-07
1838,2.417557993794617e-07
1839,1.8527408762736286e-07
1840,1.923645935875129e-07
1841,1.7784919137397992e-07
1842,1.6971909921892347e-07
1843,1.4235655498850974e-07
1844,2.0856532323421106e-07
1845,1.5345626636076304e-07
1846,1.8090409703575006e-07
1847,1.235048197045785e-07
1848,1.5044565260247111e-07
1849,1.1982563208334795e-07
1850,1.873762904835985e-07
1851,1.5349664650443628e-07
1852,1.3672145193766028e-07
1853,1.8154673142589672e-07
1854,1.3352857486381708e-07
1855,1.6186157836273196e-07
1856,1.4754988697518456e-07
1857,1.3765855833014484e-07
1858,1.1500138796805004e-07
1859,1.2781354818969248e-07
1860,1.4967390882247855e-07
1861,1.4949605287029044e-07
1862,1.3056980385783845e-07
1863,1.6532195346030676e-07
1864,1.217860887692268e-07
1865,1.4026396044641842e-07
1866,1.2601937360301463e-07
1867,9.948263546277758e-08
1868,1.1411108857828367e-07
1869,1.0841412478868051e-07
1870,9.80522365523484e-08
1871,1.455101301672812e-07
1872,7.680121161257603e-08
1873,1.5862911517672273e-07
1874,1.7923827222432465e-07
1875,1.8594962636342416e-07
1876,1.5054576962825195e-07
1877,1.2245935865351498e-07
1878,1.8841957061255243e-07
1879,1.460128764563251e-07
1880,1.5531188513051575e-07
1881,2.2800099230835258e-07
1882,1.3177662427921177e-07
1883,1.0110942394447875e-07
1884,1.775856510732865e-07
1885,1.4373767331932186e-07
1886,1.4907501011407476e-07
1887,1.4167767048434143e-07
1888,8.115987037982109e-08
1889,9.898916264461377e-08
1890,1.540280769596336e-07
1891,1.453322209243879e-07
1892,9.966935010652378e-08
1893,1.0592476407111917e-07
1894,1.474560260561475e-07
1895,1.2398346171949015e-07
1896,1.0496711588814378e-07
1897,1.1536892596808457e-07
1898,9.053367922007283e-08
1899,8.78884964805593e-08
1900,9.966821767903866e-08
1901,1.0898040958551292e-07
1902,9.96787647977726e-08
1903,1.4040572793305728e-07
1904,8.599400036501947e-08
1905,8.412037466598576e-08
1906,9.51674108407019e-08
1907,8.845690580017163e-08
1908,9.184297233844063e-08
1909,6.216111247958622e-08
1910,8.924731798032326e-08
1911,6.650467510027624e-08
1912,8.908110338268216e-08
1913,7.530245449416384e-08
1914,7.701255544390051e-08
1915,1.378349150371605e-07
1916,9.009719192931698e-08
1917,8.115153793397667e-08
1918,1.2749877775775076e-07
1919,8.839534171301011e-08
1920,8.708066268070525e-08
1921,7.269837354328956e-08
1922,7.894390918750105e-08
1923,8.598918066482497e-08
1924,8.508472060242411e-08
1925,6.928852336329783e-08
1926,7.467912599423698e-08
1927,1.0034302366790371e-07
1928,6.627104154333097e-08
1929,6.2386274812809e-08
1930,1.1343891692661145e-07
1931,9.694553426697894e-08
1932,9.315606241955265e-08
1933,6.997104229355955e-08
1934,8.027658360276746e-08
1935,5.8644594069789946e-08
1936,6.668592966718734e-08
1937,6.421470377659944e-08
1938,7.13086825143705e-08
1939,9.023490221693464e-08
1940,5.832300775665544e-08
1941,9.149658186657916e-08
1942,6.371844740726829e-08
1943,8.129058759465124e-08
1944,6.105053707017305e-08
1945,7.406913482554955e-08
1946,1.0023194807473601e-07
1947,7.867774876046951e-08
1948,5.76210066327576e-08
1949,8.540797313827397e-08
1950,7.870167184620414e-08
1951,6.929911045006065e-08
1952,4.956057919613954e-08
1953,1.0127398120118869e-07
1954,8.013479924073863e-08
1955,7.790054468159724e-08
1956,8.197873313520176e-08
1957,6.096175941827653e-08
1958,7.610464014540241e-08
1959,8.293300535200387e-08
1960,6.990041967469551e-08
1961,5.697490612632805e-08
1962,6.532214946730619e-08
1963,7.241979815830746e-08
1964,6.144808173402794e-08
1965,7.825021874907634e-08
1966,6.64688979412631e-08
1967,7.395503187623831e-08
1968,6.737123570133008e-08
1969,8.992680289310329e-08
1970,8.875538970443131e-08
1971,8.478355617569378e-08
1972,7.643918653599258e-08
1973,7.6633530632364e-08
1974,8.719635857801222e-08
1975,6.511087402572002e-08
1976,5.256444612911082e-08
1977,6.75829916474413e-08
1978,6.950491915347357e-08
1979,6.671249686007741e-08
1980,6.424220311274098e-08
1981,7.084615560870589e-08
1982,7.759377584903859e-08
1983,6.189009882362484e-08
1984,5.103127520555972e-08
1985,5.7749358628456093e-08
1986,5.514926559868627e-08
1987,6.049708511923768e-08
1988,5.037105266225694e-08
1989,5.2137162143139903e-08
1990,6.865300461456059e-08
1991,4.3960989515312576e-08
1992,4.4079552896647556e-08
1993,4.7083263510216966e-08
1994,6.540908881191854e-08
1995,6.344267422520034e-08
1996,5.124568502878901e-08
1997,6.808750185882673e-08
1998,5.387986146132562e-08
1999,6.215473469239896e-08
2000,5.478359166311009e-08
2001,6.265132679317276e-08
2002,6.133710162004036e-08
2003,6.000368868441797e-08
2004,6.915522288153397e-08
2005,6.350287096168472e-08
2006,7.041591754131105e-08
2007,6.231387938981925e-08
2008,7.10992451580239e-08
2009,8.535064210946075e-08
2010,9.49482394929646e-08
2011,1.242790901301305e-07
2012,1.0621268486943336e-07
2013,8.172136212181158e-08
2014,9.029906422597378e-08
2015,8.73330687767293e-08
2016,9.445310844569121e-08
2017,8.075112134520168e-08
2018,7.228106646550714e-08
2019,8.647848304121908e-08
