year,aurais_VERB appelé_VERB,aurais_VERB rappelé_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,4.475680270843441e-09
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,4.262030373070047e-08,5.0141535368197765e-09
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,0.0
1818,3.5763532135746345e-09,0.0
1819,0.0,0.0
1820,0.0,3.5599443393152796e-09
1821,1.4792232327920374e-08,2.9584463767662328e-09
1822,2.0051231786055723e-09,1.0025615893027862e-09
1823,0.0,1.9765373782121287e-09
1824,1.0947446504872005e-08,3.3684450784221553e-09
1825,8.805443041381977e-10,0.0
1826,0.0,0.0
1827,0.0,9.217273055917019e-10
1828,1.8344602503717056e-09,9.172301251858528e-10
1829,0.0,3.429270423183084e-09
1830,1.0436835840010872e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,4.058990921151917e-09,0.0
1833,4.6334514003376626e-09,6.950177322551099e-09
1834,5.600718555598405e-09,1.5868701908061666e-08
1835,3.025235173481633e-09,8.31939672707449e-09
1836,2.688300027031687e-09,1.2097349788575684e-08
1837,6.957890930081589e-10,0.0
1838,6.312161904276081e-10,3.1560809521380406e-09
1839,2.7965900706306e-09,0.0
1840,1.9109065441114126e-09,7.64362617644565e-09
1841,2.5682194149112547e-09,3.2102742686390684e-09
1842,3.3541325272778977e-09,5.366612043644636e-09
1843,5.906911071384968e-10,1.7720733769266417e-09
1844,5.488561272137815e-10,2.7442805805577564e-09
1845,1.674068439427856e-09,3.9061593959388574e-09
1846,1.7563503984519002e-09,5.854501328173001e-09
1847,7.011190739092399e-09,4.314578916364553e-09
1848,5.63165514222419e-09,1.206783295515379e-08
1849,8.379414939696517e-10,7.54147322368226e-09
1850,2.7155984128057753e-09,1.765138968323754e-08
1851,1.9348316282474798e-09,9.029214709244116e-09
1852,6.510545436100301e-10,5.208436348880241e-09
1853,0.0,5.971931837933653e-09
1854,5.195664454227256e-10,2.5978321716024766e-09
1855,4.776243400783642e-09,9.552486801567284e-09
1856,1.0354378465748937e-09,3.6240324075009767e-09
1857,8.298565390418844e-09,1.9526036343364694e-09
1858,7.829881631948865e-09,9.787352039936081e-10
1859,2.036869339860914e-09,3.5645213447565993e-09
1860,1.8308735638683515e-09,3.661747127736703e-09
1861,1.4147891747029462e-09,5.187560159214399e-09
1862,4.517986262886353e-10,4.066187830886747e-09
1863,1.9978483312144135e-09,3.496234635136375e-09
1864,6.233146443435089e-09,9.589455896019672e-10
1865,2.8241067262513297e-09,9.41368871743009e-10
1866,2.432806400776144e-09,4.865612912574591e-10
1867,9.7056229719783e-10,3.396968040192405e-09
1868,1.4819622196071691e-09,3.457911734727759e-09
1869,2.441759683335931e-09,1.4650557433881772e-09
1870,2.8670243956696595e-09,1.1468097582678638e-09
1871,2.1242354542039266e-09,1.0621177271019633e-09
1872,1.2094678591978436e-09,1.8142017887967654e-09
1873,1.0176207432266438e-08,1.1972009161809183e-08
1874,2.3898436563030145e-09,1.2546679251101978e-08
1875,1.716458086775674e-09,5.721527140956084e-10
1876,6.04601479992084e-10,5.441413541973361e-09
1877,3.710889595609501e-09,6.184816214727107e-09
1878,6.039088784604019e-09,1.8117265465633636e-09
1879,5.498392852132383e-09,3.665595160740054e-09
1880,3.8507077526617195e-09,3.2089231272180996e-09
1881,3.4862537301449947e-09,1.1853263259808955e-08
1882,0.0,5.324308105514319e-09
1883,6.319338941018771e-10,5.0554711528150165e-09
1884,2.6406787867472303e-09,3.300848483434038e-09
1885,4.511945039809007e-09,5.156508553483263e-09
1886,1.097088819790315e-08,8.38950331427668e-09
1887,3.264462256069578e-09,6.528924623161458e-10
1888,3.804368819970705e-09,1.014498351992188e-08
