year,ces_DET aides_NOUN,ces_DET raides_ADJ
1800,1.2576657937302116e-08,0.0
1801,4.7623651688866175e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,1.950339267864365e-08,0.0
1804,5.19088700912107e-08,0.0
1805,3.980028839833949e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,9.064295980465431e-09,0.0
1809,3.1626427920983247e-08,0.0
1810,7.020380365929668e-08,0.0
1811,3.760615285841595e-08,0.0
1812,7.73490369532226e-08,0.0
1813,4.601186631703058e-08,0.0
1814,1.1328038063140866e-07,0.0
1815,1.6183341333686485e-08,0.0
1816,1.622322720606917e-08,0.0
1817,2.490997452753163e-08,0.0
1818,2.2650237241350624e-08,0.0
1819,3.415846450138815e-08,0.0
1820,1.1866481131050932e-08,0.0
1821,1.4792232327920374e-08,0.0
1822,6.015369535816717e-08,0.0
1823,3.063632902922109e-08,0.0
1824,6.06320114115988e-08,0.0
1825,1.2327619813845558e-08,0.0
1826,2.818555078221152e-08,0.0
1827,5.0695002640210873e-08,9.217273055917019e-10
1828,5.503380595683893e-08,0.0
1829,4.8009784592295546e-08,0.0
1830,4.487839366795754e-08,0.0
1831,6.548306430431694e-08,0.0
1832,6.629685289638587e-08,1.3529969367098715e-09
1833,4.865123770514401e-08,9.266902800675325e-09
1834,6.254135520578075e-08,1.8669061851994684e-09
1835,3.7059130875150004e-08,2.7983425354705105e-08
1836,4.704524991794301e-08,2.688300027031687e-09
1837,7.51452233771488e-08,0.0
1838,7.953324310250309e-08,5.049729523420865e-09
1839,6.991475309803263e-08,0.0
1840,5.987507467608566e-08,6.369688665408546e-10
1841,5.714288242586463e-08,6.420548537278137e-10
1842,6.976595567920185e-08,6.708265054555795e-10
1843,8.03339919031032e-08,0.0
1844,6.641159222553483e-08,2.195424508855126e-09
1845,5.022205035176697e-08,5.580227946389016e-10
1846,5.2690513285824636e-08,0.0
1847,5.8786137735467037e-08,2.6966118227278457e-09
1848,1.4320494834407782e-07,1.6090443422100975e-09
1849,4.441090073470377e-08,0.0
1850,1.0047713772110001e-07,0.0
1851,5.997977936544885e-08,1.9348316282474798e-09
1852,4.557381894088053e-08,8.463708844885787e-09
1853,6.927441020820879e-08,1.7915795513800958e-09
1854,6.442623945446257e-08,0.0
1855,7.217434472295281e-08,1.0613874223963649e-08
1856,3.5722604874166564e-08,5.177189232874468e-10
1857,5.564920257938866e-08,4.881509085841174e-10
1858,9.200110717699772e-08,3.9149408159744326e-09
1859,1.0388033722108503e-07,0.0
1860,7.964300063889596e-08,1.373155145145688e-09
1861,3.4426534512022045e-08,0.0
1862,5.557123294863686e-08,9.035972525772706e-10
1863,7.791608425122831e-08,6.493007020935693e-09
1864,4.2193605498397346e-08,3.3563094525845827e-09
1865,7.813361513342443e-08,4.706844358715045e-10
1866,4.2330833061043904e-08,3.8924903300596725e-09
1867,6.260126816926004e-08,1.94112459439566e-09
1868,5.088070231806796e-08,9.87974813071446e-10
1869,5.909058309327975e-08,4.883519144627257e-10
1870,5.676708347834847e-08,4.013834153937523e-09
1871,8.390730421581338e-08,2.1242354542039266e-09
1872,4.172663947699107e-08,1.2094678591978436e-09
1873,7.3627854924041e-08,5.986004469882289e-10
1874,6.691562148830599e-08,2.3898436563030145e-09
1875,8.811151985810284e-08,4.005069165202713e-09
1876,3.506688628363008e-08,1.813804439976252e-09
1877,5.690030846494665e-08,0.0
1878,7.790424660925055e-08,1.2078177347163432e-09
1879,2.920257342609034e-07,0.0
1880,8.022307973476472e-08,0.0
1881,8.645909144178177e-08,1.3945015142624584e-09
1882,6.389169726617183e-08,0.0
1883,4.802697484151963e-08,1.2638677882037541e-09
1884,8.252121030949411e-08,4.621187876807653e-09
1885,5.414334092179729e-08,6.445635691854079e-10
1886,3.6784744139595205e-08,1.2906927748801422e-09
1887,4.961982913442853e-08,3.9173548849191775e-09
1888,6.721051448721482e-08,0.0
1889,6.453091039304581e-08,1.8795409673089125e-09
1890,3.9326319090093875e-08,2.6217545912032847e-09
1891,4.780665197046119e-08,4.461953917456185e-09
1892,5.014809900671935e-08,0.0
1893,8.683367358486294e-08,3.079208221734575e-09
1894,1.4115448365714656e-07,0.0
1895,6.80103422467937e-08,1.2037228991346183e-09
1896,6.073939662343264e-08,7.66613794667137e-09
1897,6.875522107208099e-08,5.826713556089658e-10
1898,6.507108274433904e-08,3.3950129374460403e-09
1899,4.753717419703207e-08,2.2110313580014918e-09
1900,8.617148594680657e-08,3.6337372000261325e-09
1901,5.476964037853804e-08,5.588738916095792e-10
1902,6.923500350808354e-08,3.437198747846537e-09
1903,5.2922158211288206e-08,1.0260418292773466e-08
1904,6.127072804673617e-08,1.0749250378694342e-09
1905,5.005936243307474e-08,3.096455536422127e-09
1906,5.967253979832776e-08,6.173021205313489e-09
1907,5.451413986889975e-08,5.142843373384665e-10
1908,5.402528113762628e-08,7.367083831866239e-09
1909,8.141455509758089e-08,1.1001967115120692e-09
1910,5.1303847392603075e-08,5.344150677544235e-10
1911,7.448523753339487e-08,1.0108711201439746e-08
1912,8.543450746856251e-08,1.5628263128064646e-09
1913,4.2423919044409786e-08,0.0
1914,6.897646009917935e-08,6.027069510139427e-09
1915,6.47941922338191e-08,9.424609537234119e-09
1916,4.724608615447323e-08,5.493730803607377e-09
1917,6.36052623903538e-08,0.0
1918,7.69587193971688e-08,1.4932290071101306e-08
1919,4.327688607475011e-08,1.012863304339362e-08
1920,5.073395303867301e-08,4.543339038320937e-09
1921,5.9067428281878165e-08,5.300923255902035e-09
1922,4.0578644444622114e-08,2.951174138399182e-09
1923,6.900366322781792e-08,0.0
1924,5.543398451379744e-08,3.867487330388997e-09
1925,7.478761077095442e-08,0.0
1926,5.9074533709235766e-08,2.229227691330493e-09
1927,4.3481978462267534e-08,3.3447675740205796e-09
1928,3.085031252680892e-08,1.1426041224282812e-09
1929,2.8965057019547658e-08,0.0
1930,8.612955015863122e-08,4.201441416995522e-09
1931,4.1059283084621256e-08,0.0
1932,6.904508076388538e-08,1.0959536611565568e-09
1933,1.1814781908370264e-07,2.2941324395731044e-09
1934,6.47005329312833e-08,8.38710612072191e-09
1935,4.308582290946106e-08,5.98414207075848e-09
1936,4.4861444781219006e-08,1.2124714565686645e-09
1937,4.91053595563784e-08,1.2591118148108649e-09
1938,5.0564336273595245e-08,0.0
