year,aurais_VERB envoyé_VERB,aurais_VERB renvoyé_VERB
1800,1.2576657937302116e-08,0.0
1801,9.524730337773235e-09,7.143547975374531e-09
1802,4.475680270843441e-09,0.0
1803,5.851017448321727e-09,0.0
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,1.7081731584767113e-08,0.0
1808,6.798221985349073e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,3.510190182964834e-08,0.0
1811,0.0,0.0
1812,2.6672083208723052e-08,0.0
1813,3.738464116054274e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,5.394447111228828e-09,5.394447111228828e-09
1816,4.6352077731626196e-09,4.6352077731626196e-09
1817,5.60474440192138e-08,4.670620334934483e-09
1818,1.4305412854298538e-08,2.384235475716423e-09
1819,2.3807414706311647e-08,0.0
1820,1.0679833017945839e-08,7.119888678630559e-09
1821,5.325203744632745e-08,8.875339574387908e-09
1822,3.408709403629473e-08,1.1028177482330648e-08
1823,1.2847492847356534e-08,4.941343334508019e-09
1824,3.115811608722652e-08,6.736890156844311e-09
1825,2.905796137042671e-08,6.163809906922779e-09
1826,1.5854372037438225e-08,8.807984341885344e-10
1827,3.6869092667757286e-08,0.0
1828,1.834460228167245e-08,9.172301251858528e-10
1829,4.4580517055692326e-08,6.858540846366168e-09
1830,4.0703660886265425e-08,7.305785310052215e-09
1831,2.494592976631793e-08,6.236482441579483e-09
1832,4.6001897402447867e-08,0.0
1833,2.89590715851773e-08,1.0425265983826648e-08
1834,2.8937046536725575e-08,1.4935249481595747e-08
1835,2.193295500774184e-08,6.806779140333674e-09
1836,1.9490174807401672e-08,4.704525213838906e-09
1837,3.339787468803479e-08,6.957890930081589e-10
1838,1.1361890983607736e-08,1.2624323808552163e-09
1839,1.1885507689157748e-08,4.894032734625853e-09
1840,3.121147429396842e-08,8.280594876453051e-09
1841,1.4125206782011901e-08,1.926164561183441e-09
1842,3.4212153110502186e-08,3.3541325272778977e-09
1843,1.4767278067040479e-08,8.860366662588604e-09
1844,7.683985892015244e-09,1.6465684371524958e-09
1845,2.6785095030845696e-08,5.022205318283568e-09
1846,3.0443406018321184e-08,3.5127007969038004e-09
1847,2.8044762956369595e-08,3.235934187273415e-09
1848,2.494018680465615e-08,0.0
1849,2.513824526317876e-08,0.0
1850,1.968808760466345e-08,2.0366988096043315e-09
1851,1.0319102017319892e-08,3.8696632564949596e-09
1852,1.4974254725075298e-08,1.9531636308300904e-09
1853,2.388772735173461e-08,1.1943863675867306e-09
1854,8.832629738719788e-09,4.1565315633818045e-09
1855,2.9188154115900034e-08,3.714855978387277e-09
1856,3.36517302912398e-08,3.1063134287023786e-09
1857,4.3445432140742923e-08,1.4644527812635033e-09
1858,3.2787628612140907e-08,2.936205500958522e-09
1859,5.14309519417111e-08,3.5645213447565993e-09
1860,2.334363813361051e-08,5.492620580582752e-09
1861,4.621644578151063e-08,6.6023493339173456e-09
1862,3.11741068514948e-08,1.8071945051545413e-09
1863,2.097740825490746e-08,4.495158911765884e-09
1864,3.068625886726295e-08,1.9178911792039344e-09
1865,3.247722446531043e-08,9.41368871743009e-10
1866,3.065336073859726e-08,9.731225825149181e-10
1867,3.979305418511103e-08,4.367530337390235e-09
1868,2.0747471296544973e-08,1.975949626142892e-09
1869,2.2952539424636598e-08,4.883519366671862e-09
1870,3.383088653663435e-08,4.013834153937523e-09
1871,3.186353225714811e-08,2.1242354542039266e-09
1872,1.814201766592305e-08,5.442605477412599e-09
1873,2.7535620006347017e-08,1.7958012854535355e-09
1874,3.764003864148435e-08,1.1351757756017378e-08
1875,1.4875970677508121e-08,8.010138330405425e-09
1876,4.7158916771650183e-08,9.069021977836655e-09
1877,3.834585982076533e-08,6.80329748092845e-09
1878,5.857916107743222e-08,1.0870359723469392e-08
1879,1.5273313280772527e-08,4.887460214320072e-09
1880,3.7223507831640745e-08,2.5671385017744797e-09
1881,4.671580100534811e-08,1.3945015142624584e-09
1882,2.5956001792337702e-08,6.655385131892899e-10
1883,4.044376922252013e-08,6.319338941018771e-10
1884,2.3766109080725073e-08,3.9610181801208455e-09
1885,1.6758653131887513e-08,0.0
1886,1.677900662855336e-08,5.808117542471791e-09
1887,1.4363633837888301e-08,3.264462256069578e-09
1888,1.775372027168487e-08,2.53624587998047e-09
1889,2.192797943223468e-08,8.771191772893872e-09
1890,2.1629475099871343e-08,6.554386366985909e-09
1891,1.8485238229004608e-08,2.5496880162734215e-09
1892,1.6924984080901595e-08,5.014809900671935e-09
1893,1.4164357686752282e-08,2.463366621796581e-09
1894,1.9534772022211655e-08,2.520615716150587e-09
1895,2.768562623600701e-08,3.611168697403855e-09
1896,2.7126333179694484e-08,1.47425724961181e-08
1897,1.5149455023788505e-08,5.2440420894583895e-09
1898,2.9423445013776472e-08,9.05336783318944e-09
1899,2.432134493801641e-08,1.6582735185011188e-09
1900,2.7512582434496835e-08,2.07642125715779e-09
1901,1.5089595351014395e-08,5.029864968975062e-09
1902,1.7677022512430085e-08,1.4730852093691738e-09
1903,2.8621167658116065e-08,2.7001101354784396e-09
1904,1.4511488011237361e-08,5.912087708281888e-09
1905,1.909480928929952e-08,3.6125313851442797e-09
1906,1.6975809202790515e-08,1.0288369045596824e-09
1907,1.902852098112362e-08,1.5428529565042481e-09
1908,3.5361999550787004e-08,2.9468334439286537e-09
1909,2.475442606453271e-08,8.251475058784763e-09
1910,5.451033757708501e-08,5.344150677544235e-10
1911,2.3409645777405785e-08,3.7242617878519013e-09
1912,1.6670147928721235e-08,1.5628263128064646e-09
1913,1.6439267724877027e-08,4.242391771214216e-09
1914,2.8126324380650658e-08,2.0090231700464756e-09
1915,1.1780762143587253e-08,0.0
1916,1.0987461607214755e-08,0.0
1917,5.483212106582869e-09,2.1932848870420685e-09
1918,8.040463406189247e-09,4.594550517822427e-09
1919,1.9336480860943084e-08,0.0
1920,1.4387239843927091e-08,0.0
1921,2.7261890522822796e-08,8.330022005509363e-09
