year,voulions_VERB établir_VERB,voulions_VERB rétablir_VERB
1800,2.2009151834367913e-08,1.2576657937302116e-08
1801,4.7623651688866175e-09,0.0
1802,6.713520406265161e-09,2.2378401354217203e-09
1803,3.900678446910888e-09,1.950339223455444e-09
1804,4.943701892301533e-09,5.438072037122765e-08
1805,0.0,0.0
1806,1.4408345627714425e-08,2.881669125542885e-09
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,2.4926814390369145e-08,1.3596443970698147e-08
1809,6.7770917766551975e-09,0.0
1810,1.8721014072298203e-08,1.4040760554223652e-08
1811,0.0,5.0141535368197765e-09
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,1.7254450312975678e-08,0.0
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,0.0,0.0
1816,6.952811659743929e-09,4.6352077731626196e-09
1817,1.2454987263765815e-08,1.556873407970727e-09
1818,2.384235475716423e-09,0.0
1819,3.622867339458935e-08,0.0
1820,1.4239777357261119e-08,9.493184904840746e-09
1821,9.861488514673056e-09,9.861488514673056e-09
1822,1.5038423839541792e-08,1.5038423839541792e-08
1823,1.4824030003524058e-08,4.941343334508019e-09
1824,1.0947446504872005e-08,0.0
1825,8.805443485471187e-09,1.7610886082763955e-09
1826,6.1655889282974385e-09,0.0
1827,6.452091305675367e-09,3.6869092223668076e-09
1828,2.7516904310687096e-09,0.0
1829,3.257806824308318e-08,8.573175946935407e-09
1830,3.1310507520032616e-09,1.0436835840010872e-09
1831,1.091384405071949e-08,0.0
1832,4.058990654698391e-08,0.0
1833,4.054269808762001e-08,0.0
1834,2.5203233278148218e-08,9.334530925997342e-10
1835,2.117664621437143e-08,0.0
1836,1.747394939854985e-08,4.704525213838906e-09
1837,2.2265250976261086e-08,0.0
1838,2.7142295522253335e-08,1.8936485712828244e-09
1839,3.985140750728533e-08,5.5931801412612e-09
1840,3.630722389402763e-08,5.095750932326837e-09
1841,3.0818632978935057e-08,1.2841097074556274e-09
1842,4.092041550052272e-08,4.695785538189057e-09
1843,2.5990408047960045e-08,0.0
1844,2.195424464446205e-08,2.195424508855126e-09
1845,2.7343116215661212e-08,0.0
1846,4.4494210982293225e-08,1.7563503984519002e-09
1847,2.3190860787281053e-08,5.393223645455691e-10
1848,3.298540818263973e-08,1.6090443422100975e-09
1849,2.0948537127196687e-08,2.4300303991253713e-08
1850,3.8018377779280854e-08,2.0366988096043315e-09
1851,2.7087642351375507e-08,0.0
1852,3.2552726736412296e-08,1.9531636308300904e-09
1853,2.329053394589664e-08,0.0
1854,2.0782657372819813e-08,5.195664454227256e-10
1855,4.192480318465641e-08,1.5920811335945473e-09
1856,3.31340110903966e-08,5.177189232874468e-10
1857,4.1980978693345605e-08,0.0
1858,3.3766365703513657e-08,1.9574704079872163e-09
