year,devions_VERB entrer_VERB,devions_VERB rentrer_VERB
1800,0.0,0.0
1801,2.8574191901498125e-08,0.0
1802,6.713520406265161e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,0.0
1806,8.645007376628655e-09,0.0
1807,4.27043254092041e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,5.751483289628823e-09
1814,4.090680150170556e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,5.0987285504788815e-08,0.0
1817,7.784366928831332e-09,1.556873407970727e-09
1818,4.768470951432846e-09,0.0
1819,2.2772310259711048e-08,0.0
1820,9.493184904840746e-09,0.0
1821,1.972297702934611e-08,0.0
1822,8.02049271442229e-09,2.0051231786055723e-09
1823,2.3718449426723964e-08,0.0
1824,1.0947446504872005e-08,8.421112696055388e-10
1825,1.7610886082763955e-09,0.0
1826,3.699353356978463e-08,8.807984341885344e-10
1827,2.7651818612639545e-09,0.0
1828,3.668920500743411e-09,9.172301251858528e-10
1829,2.743416338546467e-08,0.0
1830,2.1917355041978226e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,1.1583628278799551e-08,4.6334514003376626e-09
1834,1.3068342852307069e-08,2.8003592777992026e-09
1835,9.832014313815307e-09,6.806779140333674e-09
1836,3.091545153210973e-08,1.3441500135158435e-09
1837,1.8090515752078318e-08,4.87052354003481e-09
1838,2.1461350030449466e-08,0.0
1839,1.8876983531868063e-08,0.0
1840,1.6561189752906103e-08,2.5478754661634184e-09
1841,2.3113974734201292e-08,1.2841097074556274e-09
1842,6.708265054555795e-09,2.750388716776797e-08
1843,1.3585895075607368e-08,6.497602011990011e-09
1844,1.4819115712327857e-08,5.488561272137815e-10
1845,1.785672942844485e-08,1.1160455892778032e-09
1846,3.102885770545072e-08,1.1709002656346001e-09
1847,1.833696039454935e-08,1.6179670936367074e-09
1848,9.65426583121598e-09,1.448139919091318e-08
1849,1.75967720394965e-08,0.0
1850,2.1045888587423178e-08,2.0366988096043315e-09
1851,3.8696632564949596e-09,6.449438760824933e-10
1852,1.4323200403509873e-08,2.6042181744401205e-09
1853,1.0152284346531815e-08,3.5831591027601917e-09
1854,1.610655964157104e-08,1.0391328908454511e-09
1855,1.4859423913549108e-08,1.0613874223963649e-09
1856,1.7084724746041502e-08,1.0354378465748937e-09
1857,1.8549734193129552e-08,1.9526036343364694e-09
1858,1.3212924976357954e-08,9.787352039936081e-10
1859,1.3748867822016564e-08,8.147477359443656e-09
1860,1.2358396972445007e-08,3.204028820036342e-09
1861,2.5937801240161207e-08,4.715963730639317e-10
1862,1.1294965851504912e-08,0.0
1863,1.048870412745373e-08,6.493007020935693e-09
1864,3.835782358407869e-09,9.589455896019672e-10
1865,4.706844247692743e-09,3.765475486972036e-09
1866,9.731225603104576e-09,1.4596839292835284e-09
1867,7.76449837758264e-09,1.261730986357179e-08
1868,1.333765986544222e-08,0.0
1869,1.1720445947105418e-08,5.371870948067681e-09
1870,5.734048791339319e-09,8.027668307875047e-09
1871,2.6552942955504477e-08,2.442870794538976e-08
1872,1.4513614310374123e-08,2.7817760539505798e-08
1873,1.0774807712721213e-08,2.3944017879529156e-09
1874,7.766991494406739e-09,5.974609251779839e-09
1875,1.4303817685856757e-08,9.154443425529735e-09
1876,1.3301232115736639e-08,3.02300739996042e-09
1877,2.2265338017746217e-08,4.329371083855449e-09
1878,4.831270938865373e-09,4.831270938865373e-09
1879,1.8327975581655664e-08,7.331190321480108e-09
1880,3.2089231272180996e-09,5.134277003548959e-09
1881,4.8807553554297556e-09,4.183504653809678e-09
1882,1.6638463051776853e-08,7.986462158271479e-09
1883,6.951272890631799e-09,6.319338829996468e-09
1884,1.3203393933736152e-08,7.2618666635548834e-09
1885,1.6758653131887513e-08,0.0
1886,1.355227396970804e-08,1.936039106809062e-09
1887,1.7628096316002484e-08,9.140494583448344e-09
1888,1.0779045211961602e-08,3.1703073499755874e-09
1889,3.759081934617825e-09,1.0650732740202784e-08
1890,3.9326319978272295e-09,1.3108772956016423e-09
1891,1.4023283867459213e-08,1.2748440081367107e-09
1892,5.014809900671935e-09,4.387958441043338e-09
1893,4.310891643655168e-09,1.2316833108982905e-09
1894,1.0082462864602348e-08,4.411077725308132e-09
1895,1.3842813118003505e-08,6.018614495673091e-10
1896,9.435246361988447e-09,8.255840455717589e-09
1897,1.3401440845939305e-08,2.330685422435863e-09
1898,5.6583546736987955e-09,2.8291773368493978e-09
1899,9.39688327150634e-09,2.2110313580014918e-09
1900,8.30568502863116e-09,2.595526460424935e-09
1901,1.3412973842719111e-08,3.353243460679778e-09
1902,6.874397495693074e-09,2.455141867585553e-09
1903,1.2420506401156217e-08,5.400220270956879e-09
1904,9.13686282189019e-09,4.837162670412454e-09
1905,1.1353670004154992e-08,5.160758931310738e-09
1906,2.572092316910357e-09,8.230695236477459e-09
1907,1.7999951751335175e-08,0.0
1908,1.5225305460830896e-08,2.9468334439286537e-09
1909,8.251475058784763e-09,2.7504918342913243e-09
1910,1.60324518105881e-08,8.01622590529405e-09
1911,1.3300935464144459e-08,4.788336838146279e-09
1912,4.688478938419394e-09,5.2094213387476884e-09
1913,1.6969567084856862e-08,2.121195885607108e-09
1914,4.68772043404897e-09,8.705766774141921e-09
1915,2.3561523843085297e-09,1.1780762143587253e-08
1916,8.789969641043172e-09,1.538244731591476e-08
