year,voulez_VERB assurer_VERB,voulez_VERB rassurer_VERB
1800,0.0,0.0
1801,3.5717739876872656e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,1.5602713787643552e-08,0.0
1804,1.4831105232815389e-08,2.4718509461507665e-09
1805,8.528632911009026e-09,0.0
1806,3.458002950651462e-08,0.0
1807,2.8469551160981155e-09,1.9928686256776018e-08
1808,3.172503681980743e-08,1.3596443970698147e-08
1809,1.129515236897305e-08,1.129515236897305e-08
1810,1.1700633351097167e-08,1.4040760554223652e-08
1811,2.757784400841956e-08,1.0028307073639553e-08
1812,1.0668832928217853e-08,0.0
1813,5.751483289628823e-09,1.4378708002027452e-08
1814,6.293354282149721e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,1.1588019432906549e-08,2.3176038865813098e-09
1817,7.784366928831332e-09,3.113746815941454e-09
1818,5.6029534789558966e-08,0.0
1819,1.449147024601416e-08,1.035105001712111e-09
1820,5.577246042776096e-08,7.119888678630559e-09
1821,2.1695274909916407e-08,9.86148829262845e-10
1822,2.0051231786055723e-08,2.0051231786055723e-09
1823,3.656594316225892e-08,1.9765373782121287e-09
1824,4.6316120716483056e-08,1.6842225392110777e-09
1825,1.7610886970942374e-08,6.163809906922779e-09
1826,7.0463874735082754e-09,1.7615968683770689e-09
1827,4.608636583469661e-09,0.0
1828,2.935136400594729e-08,0.0
1829,1.3717081692732336e-08,2.571952872898464e-09
1830,4.174734336004349e-09,0.0
1831,1.4032085715598441e-08,0.0
1832,5.411987746839486e-09,1.3529969367098715e-09
1833,8.108539617524002e-09,2.3167257001688313e-09
1834,4.29388435918554e-08,0.0
1835,2.117664621437143e-08,0.0
1836,1.008112526790228e-08,1.3441500135158435e-09
1837,2.1569462660409044e-08,1.3915781860163179e-09
1838,1.5780404538645598e-08,1.2624323808552163e-09
1839,3.8453112694014635e-08,0.0
1840,4.58617570586739e-08,1.9109065441114126e-09
1841,1.1556987367100646e-08,6.420548537278137e-10
1842,2.4820581145945653e-08,2.683306021822318e-09
1843,1.594865928211675e-08,1.1813822142769936e-09
1844,3.787107161201675e-08,4.9397050894128824e-09
1845,1.4508592549589139e-08,1.1160455892778032e-09
1846,1.3465353276842507e-08,5.854501328173001e-10
1847,2.3190860787281053e-08,1.0786447290911383e-09
1848,2.252662056889676e-08,1.6090443422100975e-09
1849,1.508294644736452e-08,1.6758829879393033e-09
1850,2.7834882843080777e-08,6.788996032014438e-10
1851,1.6123596680017727e-08,1.9993260380601896e-08
1852,1.3021090872200602e-08,6.510545436100301e-10
1853,1.3735443005202796e-08,4.180352064508952e-09
1854,1.1950028522278444e-08,4.676098175337984e-09
1855,1.6451505047143655e-08,1.5920811335945473e-09
1856,6.73034605824796e-09,2.0708756931497874e-09
1857,8.78671624349181e-09,9.763018171682347e-10
1858,1.761723389392955e-08,1.468102750479261e-09
1859,7.638259802433822e-09,1.018434669930457e-09
1860,1.0527522853465143e-08,1.373155145145688e-09
1861,1.4619487842537637e-08,9.431927461278633e-10
