year,voulais_VERB appeler_VERB,voulais_VERB rappeler_VERB
1800,3.144164484325529e-09,6.288328968651058e-09
1801,2.3811825844433088e-09,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-09
1803,1.950339223455444e-09,1.3652374342143503e-08
1804,1.4831105232815389e-08,1.4831105232815389e-08
1805,0.0,1.421438877713399e-08
1806,0.0,0.0
1807,0.0,1.1387820464392462e-08
1808,0.0,1.3596443970698147e-08
1809,0.0,6.7770917766551975e-09
1810,0.0,2.574139479349924e-08
1811,0.0,1.2535384286138651e-08
1812,0.0,1.0668832928217853e-08
1813,5.463909147351842e-08,2.8757416448144113e-09
1814,1.2586708564299443e-08,9.440030979135372e-09
1815,1.3486118000116676e-08,0.0
1816,1.3905623319487859e-08,1.8540831092650478e-08
1817,1.0898113522728181e-08,1.0898113522728181e-08
1818,4.768470951432846e-09,2.384235475716423e-09
1819,6.210630232317271e-09,3.1053151161586356e-09
1820,0.0,2.254631326081835e-08
1821,1.97229765852569e-09,1.2819934447350079e-08
1822,3.0076847679083585e-09,1.604098542884458e-08
1823,5.929612356680991e-09,4.941343334508019e-09
1824,8.421112696055388e-10,3.2842340402794434e-08
1825,2.4655239627691117e-08,6.163809906922779e-09
1826,1.0569580766173203e-08,1.145037931138404e-08
1827,2.3964910056406552e-08,1.7512819638909605e-08
1828,0.0,2.2013523448549677e-08
1829,0.0,1.0287811491593857e-08
1830,1.3567886369969528e-08,3.1310506187764986e-08
1831,0.0,9.354723218280014e-09
1832,2.4353944638733083e-08,2.3000948701223933e-08
1833,2.4325620628928846e-08,2.3167257001688313e-09
1834,1.6802156110884425e-08,6.534171426153534e-09
1835,7.563087933704082e-09,1.4369867074037757e-08
1836,6.72075017860152e-09,2.2178475944656384e-08
1837,4.174734336004349e-09,9.74104708006962e-09
1838,1.8936485712828244e-09,2.3354999711955315e-08
1839,1.3982949909063791e-08,1.3982949909063791e-08
1840,9.554533164646273e-09,1.46502836528839e-08
1841,1.2841097074556274e-09,1.3483152372373297e-08
1842,8.720745015011744e-09,2.683306021822318e-09
1843,2.953455480181333e-09,2.1855571574747046e-08
1844,6.037417232818143e-09,6.037417232818143e-09
1845,9.48638767539478e-09,2.8459162138005922e-08
1846,5.854501328173001e-09,1.2294452567118697e-08
1847,5.9325460100012606e-09,2.480882876909618e-08
1848,2.413566591030758e-08,1.206783295515379e-08
1849,1.75967720394965e-08,2.4300303991253713e-08
1850,2.2403686017469226e-08,1.9009188889640427e-08
1851,5.159551008659946e-09,1.5478653025979838e-08
1852,1.3021090872200602e-09,9.765818376195057e-09
1853,1.7915795513800958e-09,1.2541057081705276e-08
1854,3.63696517347023e-09,9.352196350675968e-09
1855,2.653468555990912e-09,1.8574279891936385e-08
1856,2.9509978460851016e-08,2.019103817474388e-08
1857,9.274867096564776e-09,6.8341128311999455e-09
1858,3.9149408159744326e-09,9.297984604472731e-09
1859,5.092173349652285e-09,6.619825576592575e-09
1860,1.2358396972445007e-08,1.4646988510946812e-08
1861,8.960331143725853e-09,1.0375120318428799e-08
1862,2.2138133104476765e-08,1.3102160245637151e-08
1863,1.4484400345793347e-08,1.748117206545885e-08
1864,1.1986819536957682e-08,1.3904711160250827e-08
1865,2.165148416111151e-08,2.2122168985561075e-08
