year,des_DET âmes_NOUN,des_DET ames_NOUN,des_DET rames_NOUN
1800,5.062105046249599e-07,2.694548958181997e-06,2.986956246786576e-07
1801,2.0478170359439218e-07,3.4598583171785435e-06,3.35746757063049e-07
1802,5.370816040795034e-07,2.844294840542716e-06,3.4462738085494493e-07
1803,5.538963385731677e-07,2.705120515145154e-06,3.998195268195559e-07
1804,3.510028276920707e-07,3.0255454523953063e-06,3.0403765549635864e-07
1805,5.742612811943104e-07,2.2458734694197346e-06,2.871306530316531e-07
1806,6.541388799519154e-07,2.0603935340091084e-06,2.2188852710769424e-07
1807,2.903894085193315e-07,3.211365394051313e-06,1.4804166426074516e-07
1808,5.393256277130831e-07,2.3408543601277643e-06,2.7192889273663923e-07
1809,3.930712990651841e-07,2.5549634390387155e-06,3.7048101830805535e-07
1810,7.418201768416566e-07,4.015657326661426e-06,3.9080117630874156e-07
1811,6.317833367575076e-07,1.6596848393390928e-06,2.4820059607577605e-07
1812,1.1549011684763855e-06,2.1924451107935283e-06,3.06728935584033e-07
1813,8.655982277616658e-07,1.6477999456032677e-06,1.984261785992203e-07
1814,9.88056630291112e-07,1.6614455624619495e-06,1.1013369771717407e-07
1815,9.952755202213837e-07,1.3647951522255397e-06,2.346584437873389e-07
1816,1.1889307796053572e-06,3.2886799630205132e-06,1.9931393069327896e-07
1817,1.3560367371212578e-06,2.4240518634588426e-06,2.9424907665998035e-07
1818,1.2910634872298488e-06,2.4390728130541106e-06,2.837240344888414e-07
1819,2.320705512204313e-06,1.5547276968064239e-06,2.059858996705799e-07
1820,1.9461028628597887e-06,2.1003672392438943e-06,2.2902307872385563e-07
1821,2.576806906517959e-06,2.095566365323265e-06,2.2582808867355197e-07
1822,1.9820642478407535e-06,2.1615228007476617e-06,2.165533032894018e-07
1823,1.3756699903666458e-06,2.2265693919720775e-06,1.680056840314137e-07
1824,1.33643063549016e-06,1.818960369881495e-06,1.8694869741153752e-07
1825,1.595546255117597e-06,1.9451223691735464e-06,1.9812246687678225e-07
1826,1.359071966078318e-06,1.8884318515599574e-06,2.2019961476438255e-07
1827,1.1475504564373296e-06,1.5226935096701588e-06,1.7973682941985203e-07
1828,1.385017434074598e-06,1.574884173294322e-06,2.3756260247864702e-07
1829,9.7219814065852e-07,1.9581133954282848e-06,1.9203913836918218e-07
1830,1.425671769084147e-06,1.923508895718129e-06,1.6698937632675381e-07
1831,1.1100939225627826e-06,2.248251903758103e-06,1.6214854170470971e-07
1832,1.2704640823812952e-06,2.306859874678935e-06,1.9212556878756004e-07
1833,1.16067954181176e-06,2.4325620581189256e-06,2.478896382607232e-07
1834,1.5215285849023985e-06,2.256156192537162e-06,2.4176435431400023e-07
1835,1.6018619959368152e-06,2.227329368054143e-06,2.95716745313257e-07
1836,1.6412071168758757e-06,2.209110550932536e-06,2.5337226783328504e-07
1837,1.626059081161202e-06,1.3609635214351101e-06,1.976041090756553e-07
1838,1.6165446155014251e-06,1.171537195254757e-06,2.3670606852377318e-07
1839,1.6863437650727064e-06,1.2060294576343722e-06,2.4470162429679476e-07
1840,2.4708022614561287e-06,7.649995952263566e-07,4.452412465383304e-07
1841,2.227288298684016e-06,9.983953210834784e-07,2.0353138818762773e-07
1842,2.2989224248703977e-06,9.103115594655264e-07,1.8246480681938237e-07
1843,2.789834166350147e-06,6.456253793807321e-07,1.848863138143031e-07
1844,2.941868856964902e-06,7.409557789550547e-07,1.7508511002128913e-07
1845,3.290102434050368e-06,4.146109482405791e-07,1.657327648452167e-07
1846,2.8605093156386374e-06,5.064143877575589e-07,1.8148953673247092e-07
1847,2.254906753762498e-06,3.7105378769553e-07,1.2728007803275432e-07
1848,2.1834731107617245e-06,6.299408575882737e-07,1.375732868735824e-07
1849,2.271659361952061e-06,4.1394308625264387e-07,1.290429878508803e-07
1850,2.6741855414513793e-06,4.813398160052884e-07,1.697249070176099e-07
