year,des_DET ans_NOUN,des_DET rangs_NOUN
1800,2.4210066706942257e-07,9.526818605110066e-07
1801,1.2144031291683177e-07,8.381762885978361e-07
1802,1.544109693440987e-07,7.698170350067812e-07
1803,1.677291692203653e-07,9.400635270218061e-07
1804,2.298821382140659e-07,1.1469388763174493e-06
1805,2.2743021221849347e-07,9.239352305456805e-07
1806,9.221341379372916e-08,7.463522884165741e-07
1807,1.7366426563469872e-07,8.284639250177861e-07
1808,3.2178249620429256e-07,8.611081341314275e-07
1809,1.671682585691059e-07,9.555699307384202e-07
1810,1.6848911998934568e-07,6.716163856168578e-07
1811,3.4096242984560376e-07,7.395876568949689e-07
1812,1.1735716398675322e-07,8.241673583597731e-07
1813,2.1280487771946355e-07,7.649472735238305e-07
1814,2.0453401017306305e-07,1.639418798049519e-06
1815,1.645306344499886e-07,1.2838784453350627e-06
1816,1.7382028794088455e-07,9.224063290957929e-07
1817,1.603579571352043e-07,1.2486124720823e-06
1818,1.5497530236885382e-07,1.3482851208834745e-06
1819,1.387040714506682e-07,1.106527252048295e-06
1820,1.9342364865337913e-07,1.2471671588798472e-06
1821,1.2031015916846854e-07,1.0788468074451885e-06
1822,1.6843034700286807e-07,1.0998101060977206e-06
1823,1.6207605924023483e-07,1.119708387342655e-06
1824,2.5263338887526743e-07,1.1023236901053224e-06
1825,2.0164464720195951e-07,1.2028234772643032e-06
1826,1.655901114006042e-07,1.1441571459158695e-06
1827,1.3457219222301475e-07,1.1328029110302396e-06
1828,1.008953154912895e-07,1.030049384453946e-06
1829,1.285976387599419e-07,1.2491118006607849e-06
1830,1.4298465544904104e-07,1.321303374268723e-06
1831,7.171954852225326e-08,1.4842827660288549e-06
1832,1.1500473751091533e-07,1.354349967286339e-06
1833,1.4711208606854598e-07,1.2962079996015063e-06
1834,1.7642263561157279e-07,1.230291157838792e-06
1835,1.3084142835850798e-07,1.1821106724596575e-06
1836,1.458402760223798e-07,1.1257256709029662e-06
1837,1.1897993812404195e-07,1.1877119661107827e-06
1838,1.117252639293298e-07,1.1759557869694959e-06
1839,1.244482580320394e-07,1.2004362428541526e-06
1840,1.2293498929949465e-07,1.1758444955489722e-06
1841,1.0016055718153893e-07,1.1768865473271717e-06
1842,1.3148199817791806e-07,1.1444300498375526e-06
1843,1.3585894986789526e-07,9.705054822006787e-07
1844,9.824524904722409e-08,1.1108848489982392e-06
1845,1.5457230917448328e-07,1.2739660366634098e-06
1846,1.1065007576860353e-07,1.081326427510021e-06
1847,8.089835112912169e-08,1.297609657058274e-06
1848,1.1585119558121804e-07,1.2542501153234298e-06
1849,1.055806320149344e-07,1.386793195834457e-06
1850,1.0251383653070434e-07,1.0998173749499074e-06
1851,1.2060450571560466e-07,1.171218130480156e-06
1852,1.1979403624629015e-07,9.36867465384239e-07
1853,1.1107793307374436e-07,9.925350283879197e-07
1854,1.1638288199833369e-07,8.510498190617e-07
1855,1.3001995569084102e-07,8.804208455615026e-07
1856,1.0354378376931095e-07,1.0323315713378634e-06
1857,1.7719877498656444e-07,1.0036383031319929e-06
1858,1.1549075340511195e-07,1.2224403036498188e-06
1859,1.9961319530636956e-07,9.741327762213814e-07
1860,1.2953430317264036e-07,1.2417899775130081e-06
1861,1.5421200871834628e-07,1.1544679381358947e-06
1862,1.6716549666728753e-07,9.609756563833116e-07
1863,1.4883970655965584e-07,1.013408578387498e-06
1864,2.1528328186803947e-07,1.0068928979478642e-06
1865,1.308502746155682e-07,1.0020871883398286e-06
1866,1.5083400217719145e-07,1.0874645397507265e-06
1867,1.3199647597161857e-07,1.0846033298150815e-06
1868,1.126291309105909e-07,9.672273559857558e-07
1869,1.411337060552853e-07,9.029627090484382e-07
1870,1.25002265427554e-07,9.63320191615935e-07
1871,1.1258447574213903e-07,1.3287092652802812e-06
1872,1.118757751994437e-07,9.234286881820708e-07
1873,1.5743191833506032e-07,8.763510397358232e-07
1874,1.0336073774652732e-07,9.141152119696017e-07
1875,1.6363567656441091e-07,8.364872510213672e-07
1876,1.1245587638875065e-07,8.899734051937003e-07
1877,1.490540659787598e-07,9.332887476176666e-07
1878,1.1172314384744197e-07,8.490958762763512e-07
1879,1.429582063838808e-07,7.942123083637398e-07
1880,1.764907728851739e-07,7.585894348238753e-07
1881,1.7082643788413066e-07,7.544253142199864e-07
1882,1.5507047379514916e-07,8.046360626678961e-07
1883,1.4787252844428167e-07,7.943409308097671e-07
1884,1.353347940380445e-07,8.747248294582732e-07
1885,1.3471379101126502e-07,7.644524133709751e-07
1886,1.1616234929512359e-07,6.653521378297e-07
1887,1.3514873686837348e-07,7.077354062801078e-07
1888,1.8134157908633597e-07,7.456562727270466e-07
1889,1.4159209094088965e-07,8.100821640155687e-07
1890,1.1404632793698966e-07,8.402723530309686e-07
1891,1.4278253157584686e-07,7.145500626748458e-07
1892,1.4731003838974743e-07,6.958048670568928e-07
1893,1.5272873232774486e-07,7.340832457458646e-07
1894,1.354831011823876e-07,8.349539646346216e-07
1895,1.5768769712209973e-07,7.511230819545744e-07
1896,1.5214335458146877e-07,7.707416749269669e-07
1897,1.7829743748087878e-07,6.555052607382095e-07
1898,1.6239478961566078e-07,6.68251708191292e-07
1899,1.5200841119167308e-07,6.21852553450708e-07
1900,1.4275396598151247e-07,6.250028192766877e-07
1901,1.5536694175644072e-07,5.354012140301734e-07
1902,1.458354356165259e-07,5.764673112196306e-07
1903,1.6632678656591793e-07,6.107648875541827e-07
1904,1.6715084427687543e-07,5.428371387949937e-07
1905,1.826908637703184e-07,5.614905997930464e-07
1906,1.9547901342065188e-07,5.293365683556317e-07
1907,2.2731367899098132e-07,5.523413584285208e-07
1908,1.6502266664275567e-07,6.139236177205021e-07
1909,2.2113953734859138e-07,5.968567080572029e-07
1910,1.6727191454180002e-07,5.718240991825496e-07
1911,1.8408494040222934e-07,6.13971158358595e-07
1912,1.9743707069252991e-07,5.923111983108242e-07
1913,1.8878643670561246e-07,5.265868532333684e-07
