year,premiers_ADJ ans_NOUN,premiers_ADJ rangs_NOUN
1800,3.804439074883703e-07,1.3268373777464149e-06
1801,2.881230898310605e-07,1.292982119593944e-06
1802,2.842056971985585e-07,1.0338821994082537e-06
1803,3.101039283137652e-07,1.5914768027869286e-06
1804,4.968420626028092e-07,1.7204082496391493e-06
1805,4.264316544322355e-07,1.361738441119087e-06
1806,2.305335300434308e-07,1.2247094218764687e-06
1807,3.046241943138739e-07,1.1843333140859613e-06
1808,3.172503681980743e-07,1.6066464922914747e-06
1809,1.9427662323323602e-07,1.8298146642337088e-06
1810,3.5101902540191077e-07,1.2870697219113936e-06
1811,2.8329966994533606e-07,1.3788921933155507e-06
1812,3.2273220540446346e-07,1.5683184528825223e-06
1813,3.077043686516845e-07,1.492509909439832e-06
1814,1.9824065589091333e-07,1.6645922187308315e-06
1815,2.2926400333744823e-07,1.8449009075993672e-06
1816,2.9201808615653135e-07,1.300175767937617e-06
1817,2.6778221240419953e-07,1.446335431865009e-06
1818,2.4319200520039885e-07,1.4436545825446956e-06
1819,3.6332184549792146e-07,1.322864136454882e-06
1820,4.177001358129928e-07,1.1664750445561367e-06
1821,3.0176153131833416e-07,1.6517992662556935e-06
1822,3.5089655625597516e-07,1.6512188949491247e-06
1823,3.4787058211804833e-07,1.493273998676159e-06
1824,3.8989750805740186e-07,1.3229567912276252e-06
1825,2.9057960659883975e-07,1.4062292166272528e-06
1826,2.563123473464657e-07,1.2568993952299934e-06
1827,2.1199727484599862e-07,1.157689439423848e-06
1828,2.2472137573004147e-07,1.2822877124563092e-06
1829,1.997550072019294e-07,1.1590933581828722e-06
1830,2.3587249131651333e-07,1.248245553142624e-06
1831,2.1983601072861347e-07,1.0789115094667068e-06
1832,1.9618455837644433e-07,1.2555811963466113e-06
1833,2.8959070164091827e-07,1.1989055792582803e-06
1834,2.4549817112529126e-07,1.2741634236590471e-06
1835,2.1706063080273452e-07,1.1359758218532079e-06
1836,2.8025527853969834e-07,1.3367572364586522e-06
1837,2.3100197665826272e-07,1.2287634945096215e-06
1838,1.881024189742675e-07,1.3552211157730198e-06
1839,1.4821927152297576e-07,1.3857103340342292e-06
1840,1.5542040898708365e-07,1.4306320963441976e-06
1841,1.8105946253399452e-07,1.094703520720941e-06
1842,1.9722298816304829e-07,1.1048512078559725e-06
1843,1.1518476839000868e-07,1.1477128509795875e-06
1844,1.51484286448067e-07,1.3315249134393525e-06
1845,1.25555132513e-07,1.2884746638519573e-06
1846,1.5514429207996727e-07,1.0274650321662193e-06
1847,8.359496916909848e-08,1.1800373158621369e-06
1848,1.1906928421012708e-07,9.203733384310908e-07
1849,1.340706319297169e-07,1.0164230843656696e-06
1850,1.5954140053509036e-07,1.1317256394249853e-06
1851,1.1157528945204831e-07,1.237002379639307e-06
1852,1.7578472011336999e-07,9.049658160620311e-07
1853,1.528814550511015e-07,1.0856972494366346e-06
1854,1.917200194156976e-07,1.114470023821923e-06
1855,1.57085338514662e-07,1.156912276201183e-06
1856,1.7809530561407882e-07,1.149335957961739e-06
1857,1.6206610098379315e-07,1.1764436749217566e-06
1858,1.5757636617763637e-07,1.035012473948882e-06
1859,1.537836311626961e-07,1.1228241874050582e-06
1860,1.5242022755046492e-07,1.28344231598021e-06
1861,1.4006411674927222e-07,1.0384552524556057e-06
1862,1.396057740521428e-07,1.1850678447444807e-06
1863,1.423466926553374e-07,1.0054171752926777e-06
1864,1.5918496387712366e-07,1.1397067964935559e-06
1865,1.1814179146085735e-07,1.1560009625100065e-06
1866,1.591055394101204e-07,1.1171447340529994e-06
1867,1.1258522647494829e-07,1.0360752185079036e-06
1868,1.3337660220713587e-07,1.0763985756057082e-06
