year,pouvions_VERB établir_VERB,pouvions_VERB rétablir_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,3.163315653864629e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,2.384235475716423e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,0.0,0.0
1821,1.2819934447350079e-08,0.0
1822,1.0025615893027862e-09,0.0
1823,9.882686891060644e-10,9.882686891060644e-10
1824,8.421112696055388e-10,0.0
1825,1.7610886082763955e-09,8.805443041381977e-10
1826,0.0,0.0
1827,0.0,0.0
1828,7.337841001486822e-09,0.0
1829,2.571952872898464e-09,8.57317605795771e-10
1830,1.0436835840010872e-09,0.0
1831,0.0,7.795603274018958e-09
1832,1.3529969367098715e-09,0.0
1833,1.1583628500844156e-09,3.4750886612755494e-09
1834,0.0,9.334530925997342e-10
1835,3.025235173481633e-09,7.563087933704082e-10
1836,5.376600054063374e-09,0.0
1837,1.6003149028165353e-08,0.0
1838,4.418513555037862e-09,0.0
1839,4.894032734625853e-09,6.9914751765765e-10
1840,8.917564464638872e-09,0.0
1841,1.926164561183441e-09,1.2841097074556274e-09
1842,1.1404051036834062e-08,0.0
1843,6.497602011990011e-09,0.0
1844,4.9397050894128824e-09,0.0
1845,6.138250796539069e-09,0.0
1846,7.025401593807601e-09,0.0
1847,2.6966118227278457e-09,0.0
1848,3.218088684420195e-09,0.0
1849,1.4245005175439474e-08,0.0
1850,3.394498016007219e-09,0.0
1851,2.579775504329973e-09,0.0
1852,1.3021090872200602e-09,0.0
1853,7.763511611358354e-09,0.0
1854,3.117398783558656e-09,5.195664454227256e-10
1855,1.0613874223963649e-09,6.8990182455763716e-09
1856,2.0708756931497874e-09,0.0
1857,1.4644527368545823e-08,0.0
1858,3.4255731584664773e-09,0.0
1859,0.0,5.092173349652285e-10
1860,2.746310290291376e-09,0.0
1861,8.488735048217677e-09,4.715963730639317e-10
1862,9.487771457372673e-09,3.6143890103090826e-09
1863,3.496234635136375e-09,0.0
1864,4.315255264231155e-09,4.794728170054441e-09
1865,1.4120533631256649e-09,0.0
1866,4.865612912574591e-10,9.731225825149181e-10
1867,1.067618526917613e-08,0.0
1868,6.915823469455518e-09,0.0
1869,0.0,0.0
1870,7.454262984651905e-09,2.2936195165357276e-09
1871,1.274541272522356e-08,3.18635318130589e-09
1872,0.0,3.628403577593531e-09
1873,1.496501056408306e-08,1.1972008939764578e-09
1874,3.5847653734322193e-09,1.7923826867161097e-09
1875,6.865832347102696e-09,0.0
1876,1.1487427897804992e-08,0.0
1877,9.895705588292003e-09,0.0
1878,3.6234530931267273e-09,4.22736201599605e-09
1879,1.221865053580018e-09,1.832797580370027e-09
1880,1.9895322722618403e-08,1.2835692508872398e-09
1881,2.649552932609822e-08,4.8807553554297556e-09
1882,9.317538740560849e-09,2.6621540527571597e-09
1883,2.5277355764075082e-09,1.8958017378167824e-09
1884,5.941527270181268e-09,0.0
1885,1.740321664556177e-08,0.0
1886,2.0651084398082276e-08,1.2906927748801422e-09
1887,1.0446279397058333e-08,0.0
1888,8.242799331981132e-09,1.268122939990235e-09
1889,1.7542383545787743e-08,6.265136742733546e-10
1890,9.176140736144589e-09,1.3108772956016423e-09
1891,3.1871101313640793e-09,5.099376032546843e-09
1892,1.2537024751679837e-09,0.0
1893,1.2316833108982905e-09,0.0
1894,1.2603078580752936e-09,1.2603078580752936e-09
1895,1.023164486468886e-08,0.0
1896,9.435246361988447e-09,0.0
1897,6.992056267307589e-09,0.0
1898,1.0750873968845553e-08,5.6583548957434e-10
1899,1.9899282222013426e-08,0.0
1900,5.710158568206225e-09,0.0
