year,pourriez_VERB avoir_VERB
1800,1.6664071722516383e-07
1801,1.5239568540437176e-07
1802,6.265952379180817e-08
1803,7.80135707145746e-08
1804,1.5325475999361515e-07
1805,1.250866148438945e-07
1806,2.0171684411707247e-07
1807,9.11025637151397e-08
1808,7.251436784372345e-08
1809,1.4457795316502597e-07
1810,1.310471020588011e-07
1811,8.022645658911642e-08
1812,1.3069320914382843e-07
1813,7.189353823378042e-08
1814,4.405347908686963e-08
1815,3.776112933451259e-08
1816,1.2515060632267705e-07
1817,1.8059731132780144e-07
1818,6.199012148044858e-08
1819,1.759678553980848e-07
1820,1.18664814863223e-07
1821,3.757226920697576e-07
1822,1.664252238242625e-07
1823,1.4824030358795426e-07
1824,1.8358025499765063e-07
1825,1.4881199206229212e-07
1826,1.1890779205714352e-07
1827,1.5577191447846417e-07
1828,1.6234973543305387e-07
1829,1.3717081515096652e-07
1830,8.34946831673733e-08
1831,1.683850285871813e-07
1832,1.5830063659905136e-07
1833,1.5985406776053424e-07
1834,1.0641365122410207e-07
1835,1.7092578730171226e-07
1836,1.8414854707771156e-07
1837,1.746430626781148e-07
1838,1.1298769919676488e-07
1839,1.8667238066427672e-07
1840,1.1529136401122742e-07
1841,1.3418946309684543e-07
1842,1.0397810967788246e-07
1843,1.4058448982723348e-07
1844,1.3007890231619967e-07
1845,1.4062175068829674e-07
1846,1.042101231973902e-07
1847,1.0085328483455669e-07
1848,1.263099846937621e-07
1849,6.703531596485846e-08
1850,1.5275240627943276e-07
1851,1.2511911506862816e-07
1852,1.5234675743158732e-07
1853,1.4153478389289376e-07
1854,1.901613160271154e-07
1855,1.6663781821080192e-07
1856,1.309828832063431e-07
1857,1.698765146329606e-07
1858,1.389803969686909e-07
1859,1.1711998837427018e-07
1860,2.9522837508011435e-07
1861,1.8250779021400376e-07
1862,1.2153383011082042e-07
1863,1.7581065492322523e-07
1864,1.879533328974503e-07
1865,1.473242292604482e-07
1866,1.4840119888503978e-07
1867,1.0627657331951923e-07
1868,1.0917121784359551e-07
1869,1.5431920985520264e-07
1870,1.032128764677509e-07
1871,9.771483178155904e-08
1872,1.608592299362499e-07
1873,1.1852289105718228e-07
1874,1.0933534611012874e-07
1875,2.0826358593240002e-07
1876,1.1124667054218662e-07
1877,1.0947124451377022e-07
1878,8.877460544454152e-08
1879,1.1546624989478005e-07
1880,1.4825225491676974e-07
1881,1.0667936578556692e-07
1882,1.1114493503328049e-07
1883,1.7820535447299335e-07
1884,1.0100596625761682e-07
1885,9.539540712921735e-08
1886,8.066830048392148e-08
1887,1.0054544219428863e-07
1888,1.1286294210322012e-07
1889,1.2906181723337795e-07
1890,7.996351314432104e-08
1891,9.306361192784607e-08
1892,9.59082413487522e-08
1893,9.91505046954444e-08
1894,9.956431767932372e-08
1895,8.064943557428705e-08
1896,9.31730568254352e-08
1897,8.390467343133423e-08
1898,1.0750873968845553e-07
1899,9.949641111006713e-08
1900,8.46141645638454e-08
1901,1.0618603596412868e-07
1902,1.0016979246074698e-07
1903,8.100330717297766e-08
1904,1.0158041874319679e-07
1905,7.431493287413105e-08
1906,8.179253541129583e-08
1907,8.177121202379567e-08
1908,1.0608600575778837e-07
1909,8.526524197804974e-08
1910,1.0634860103664323e-07
1911,7.501727594672047e-08
1912,9.168581271978837e-08
1913,1.1030218871610487e-07
1914,7.634287868540923e-08
1915,1.260541466763243e-07
1916,5.933229374477378e-08
1917,1.1295416868506436e-07
1918,5.054005569604669e-08
1919,1.0312790266198135e-07
1920,1.0828291152620295e-07
1921,6.361107551811074e-08
1922,8.263288009402459e-08
1923,7.749642350063368e-08
1924,9.281969681751434e-08
1925,6.818870446068104e-08
1926,8.025219955243301e-08
1927,1.371354727552898e-07
1928,6.398582996780533e-08
1929,7.798284684668033e-08
1930,5.04172987803031e-08
1931,8.55401722787974e-08
1932,1.0959536922428015e-07
