year,plus_ADV athée_ADJ
1800,1.2576657937302116e-08
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,1.0028307073639553e-08
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,2.3176038865813098e-09
1817,6.227493631882908e-09
1818,8.344824387052086e-09
1819,1.035105001712111e-09
1820,8.306536791735653e-09
1821,1.0847637454958203e-08
1822,1.303330066093622e-08
1823,1.9765373782121287e-09
1824,1.0947446504872005e-08
1825,8.805443041381977e-10
1826,0.0
1827,2.7651818612639545e-09
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,0.0
1831,7.795603274018958e-09
1832,0.0
1833,0.0
1834,1.4001796166951408e-08
1835,3.781543966852041e-09
1836,4.032449929525228e-09
1837,8.349468672008697e-09
1838,3.787297142565649e-09
1839,0.0
1840,1.2739377330817092e-09
1841,1.3483152372373297e-08
1842,2.683306021822318e-09
1843,1.7130041385371442e-08
1844,1.097712254427563e-09
1845,8.37034175305007e-09
1846,5.269050973311096e-09
1847,5.393223645455691e-10
1848,9.65426583121598e-09
1849,4.1897072478036534e-09
1850,0.0
1851,1.2898877521649865e-09
1852,8.463708844885787e-09
1853,8.957897534855874e-09
1854,5.195664343204953e-09
1855,1.4859423913549108e-08
1856,1.501384794266869e-08
1857,1.4644527812635033e-09
1858,1.9574704079872163e-09
1859,8.656694916453489e-09
1860,2.288591982591015e-09
1861,8.488735048217677e-09
1862,4.517986429419807e-09
1863,5.494082966350788e-09
1864,9.109982990196386e-09
1865,1.4591217123438582e-08
1866,1.702964524952222e-08
1867,2.91168689159349e-09
1868,1.0867722721741302e-08
1869,7.813630631403612e-09
1870,8.601073631098188e-09
1871,1.1683295220166201e-08
1872,4.8378714367913744e-09
1873,1.97538145840781e-08
1874,4.779687312606029e-09
1875,1.602027666081085e-08
1876,8.464420275799966e-09
1877,1.1751150275074451e-08
1878,7.2469061862534545e-09
1879,2.443730107160036e-09
1880,1.0268554007097919e-08
1881,1.3945015142624584e-09
1882,1.3310770263785798e-09
1883,1.7062214752172622e-08
1884,7.922036360241691e-09
1885,3.2228177904158883e-09
1886,3.872078213618124e-09
1887,7.834709769838355e-09
1888,6.340614699951175e-10
1889,8.771191772893872e-09
1890,1.1142456735058204e-08
1891,5.099376032546843e-09
1892,6.268512375839919e-10
1893,6.158416554491453e-10
1894,6.9316934414587195e-09
1895,3.611168697403855e-09
1896,9.435246361988447e-09
1897,2.330685422435863e-09
1898,1.13167097914868e-09
1899,1.6582735185011188e-09
1900,1.038210628578895e-09
1901,7.824234593556412e-09
1902,5.4013122863239005e-09
1903,2.7001101354784396e-09
1904,4.837162670412454e-09
1905,3.6125313851442797e-09
1906,3.600929110447737e-09
1907,4.6285588695127444e-09
1908,1.4734167219643268e-09
1909,2.7504918342913243e-09
1910,3.740905363258662e-09
1911,7.980561100850991e-09
1912,5.730363294986773e-09
1913,9.015082902408267e-09
1914,3.3483718020477227e-09
1915,0.0
