year,puissions_VERB aller_VERB
1800,9.432493897065797e-09
1801,1.6668277424969347e-08
1802,2.2378401354217203e-09
1803,1.3652374342143503e-08
1804,1.4831105232815389e-08
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,2.2775640928784924e-08
1808,4.5321479902327155e-09
1809,2.259030518203531e-09
1810,7.020380277111826e-09
1811,4.011322829455821e-08
1812,1.600324850414836e-08
1813,2.8757416448144113e-09
1814,6.293354282149721e-09
1815,0.0
1816,4.6352077731626196e-09
1817,6.227493631882908e-09
1818,1.1921177378582115e-09
1819,5.175524897538253e-09
1820,2.254631326081835e-08
1821,2.2681422962023134e-08
1822,1.0025615893027862e-08
1823,6.917880934764753e-09
1824,2.4421225930382207e-08
1825,2.289415235168235e-08
1826,2.7304752237000685e-08
1827,2.3043183361437514e-08
1828,1.1006761724274838e-08
1829,1.800366966620004e-08
1830,1.6698937344017395e-08
1831,1.5591206103948707e-09
1832,3.6530916958099624e-08
1833,2.548398292390175e-08
1834,1.7735608537350345e-08
1835,1.9664028627630614e-08
1836,5.8470526198561856e-08
1837,2.0177884252348122e-08
1838,8.2058102535143e-09
1839,1.3283802502428443e-08
1840,1.7835128929277744e-08
1841,2.247191943638427e-08
1842,2.0124794275488966e-08
1843,2.9534556134080958e-08
1844,2.4149668931272572e-08
1845,1.897277535078956e-08
1846,1.9905304071698993e-08
1847,5.9325460100012606e-09
1848,8.04522137798358e-09
1849,1.5920887719289567e-08
1850,1.5614691761811628e-08
1851,2.1283147688677673e-08
1852,1.4974254725075298e-08
1853,2.388772735173461e-08
1854,1.610655964157104e-08
1855,1.3798036491152743e-08
1856,2.174419400091665e-08
1857,1.1715622250108026e-08
1858,4.502182093801821e-08
1859,6.110608019582742e-09
1860,1.327383358784573e-08
1861,2.263662679524714e-08
1862,2.3041730301542884e-08
1863,1.048870412745373e-08
1864,1.2945765348604255e-08
1865,1.3649848362717876e-08
1866,1.702964524952222e-08
1867,2.620518202434141e-08
1868,3.2603168165223906e-08
1869,9.767038733343725e-09
1870,8.601073631098188e-09
1871,1.911811864374613e-08
1872,1.2094679036067646e-08
1873,1.97538145840781e-08
1874,3.2860349108432274e-08
1875,2.2313955128083762e-08
1876,1.9951848173604958e-08
1877,1.5462040536817767e-08
1878,1.5701630218245555e-08
1879,2.3215436684154156e-08
1880,2.1178893305773272e-08
1881,3.2073533162702006e-08
1882,2.2628309892525067e-08
1883,3.033282780506852e-08
1884,2.442627788923346e-08
1885,1.5469526104539e-08
1886,3.2267319927115068e-09
1887,2.285123557044244e-08
1888,4.4384300679212174e-09
1889,2.1301465480405568e-08
1890,1.9007721618891082e-08
1891,1.6572972327821844e-08
1892,1.6298132621272998e-08
1893,2.46336657738766e-08
1894,1.764431090123253e-08
1895,2.2268872967856623e-08
1896,1.533227589334274e-08
1897,2.505486840220783e-08
1898,2.4896761985360172e-08
1899,1.879376654301268e-08
1900,1.245852754294674e-08
