year,pas_ADV accroché_VERB,pas_ADV raccroché_VERB
1800,1.5720821977538435e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,1.730295728918918e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,1.1866481131050932e-09,0.0
1821,2.9584463767662328e-09,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,3.3684450784221553e-09,7.57900142644985e-09
1825,2.641632912414593e-09,0.0
1826,8.80798456392995e-09,0.0
1827,5.530363722527909e-09,0.0
1828,9.172301251858528e-10,4.586150570418113e-09
1829,1.0287811491593857e-08,0.0
1830,2.0873671680021744e-09,0.0
1831,0.0,0.0
1832,0.0,1.3529969367098715e-09
1833,2.3167257001688313e-09,0.0
1834,4.667265685043276e-09,1.3068342852307069e-08
1835,1.5126175867408165e-09,9.832014313815307e-09
1836,1.3441500135158435e-09,2.016224964762614e-09
1837,4.174734336004349e-09,2.0873671680021744e-09
1838,6.312161904276081e-10,4.418513555037862e-09
1839,6.9914751765765e-10,3.4957374772659477e-09
1840,5.095750932326837e-09,4.458782232319436e-09
1841,3.852329122366882e-09,6.420548537278137e-10
1842,2.0124795163667386e-09,1.341653010911159e-09
1843,4.134837805480629e-09,1.1813822142769936e-09
1844,5.488561272137815e-10,3.2931368743049916e-09
1845,5.580227946389016e-10,5.580227835366713e-09
1846,5.854501328173001e-10,2.3418005312692003e-09
1847,0.0,2.1572894581822766e-09
1848,1.6090443422100975e-09,0.0
1849,8.379414939696517e-10,0.0
1850,1.3577992064028876e-09,0.0
1851,2.579775504329973e-09,0.0
1852,1.3021090872200602e-09,0.0
1853,2.388772735173461e-09,0.0
1854,3.117398783558656e-09,1.558699391779328e-09
1855,2.653468555990912e-09,5.306937111981824e-10
1856,3.6240324075009767e-09,0.0
1857,5.857811125054013e-09,0.0
1858,3.4255731584664773e-09,0.0
1859,2.036869339860914e-09,2.5460866748261424e-09
1860,1.8308735638683515e-09,0.0
1861,2.8295783494058924e-09,4.715963730639317e-10
1862,5.421583626485926e-09,0.0
1863,9.489779628779615e-09,7.991393324857654e-09
1864,1.9178911792039344e-09,4.794727948009836e-10
1865,6.118897832863013e-09,1.882737743486018e-09
1866,4.379051787850585e-09,1.9462451650298362e-09
1867,6.308654931785895e-09,0.0
1868,1.0867722721741302e-08,4.93987406535723e-10
1869,1.4650557433881772e-09,0.0
1870,2.2936195165357276e-09,0.0
1871,0.0,0.0
1872,8.4662747923403e-09,1.2094678591978436e-09
1873,4.190203295451056e-09,0.0
1874,1.7923826867161097e-09,0.0
1875,1.1443054281912168e-09,0.0
1876,7.255217759905008e-09,0.0
1877,1.8554447978047506e-09,0.0
1878,4.22736201599605e-09,0.0
1879,3.0546627449723474e-09,0.0
1880,6.417846254436199e-10,0.0
1881,9.064259565150223e-09,0.0
1882,3.3276925659464496e-09,0.0
1883,6.951272890631799e-09,0.0
1884,6.601696966868076e-09,6.601696966868076e-10
1885,1.353583467533781e-08,0.0
1886,3.872078213618124e-09,0.0
1887,2.6115698492645834e-09,6.528924623161458e-10
1888,6.340614699951175e-09,0.0
1889,1.2530273485467092e-09,0.0
1890,7.209825181320184e-09,0.0
1891,1.0836173736095134e-08,0.0
1892,1.8805537127519756e-09,0.0
1893,1.6627724974682678e-08,0.0
1894,9.452309157609307e-09,0.0
1895,7.824199066419624e-09,0.0
1896,7.076434549446731e-09,0.0
1897,2.9133566670225264e-09,0.0
1898,1.13167097914868e-09,0.0
1899,2.7637891975018647e-09,0.0
1900,5.19105292084987e-09,5.191053142894475e-10
1901,7.265360757457984e-09,0.0
1902,1.276673788908056e-08,4.910283846193408e-10
1903,1.1880484152015924e-08,0.0
1904,4.299700151477737e-09,5.374625189347171e-10
1905,2.580379465655369e-09,0.0
1906,4.115347618238729e-09,0.0
1907,1.028568674676933e-09,0.0
1908,1.964555629285769e-09,4.911389073214423e-10
1909,5.5009836685826485e-09,1.6502950117569526e-09
1910,5.878565634276356e-09,5.344150677544235e-10
1911,6.384448969498635e-09,0.0
1912,2.0837685354990754e-08,0.0
1913,5.302989602995467e-09,5.30298971401777e-10
1914,1.6072185360371805e-08,1.3393487430235496e-09
1915,1.6493066468115103e-08,0.0
1916,4.394984820521586e-09,2.197492410260793e-09
1917,1.0966424435210342e-09,2.1932848870420685e-09
1918,1.4932290071101306e-08,0.0
1919,1.012863304339362e-08,0.0
1920,1.2872794385998532e-08,1.514446346106979e-09
