year,tes_DET adieux_NOUN
1800,3.458580977167003e-08
1801,9.524730337773235e-09
1802,1.3427040812530322e-08
1803,1.3652374342143503e-08
1804,7.4155526164076946e-09
1805,3.1271653710973624e-08
1806,8.645007376628655e-09
1807,3.131650672116848e-08
1808,2.2660739951163578e-08
1809,2.259030518203531e-09
1810,2.3401266702194334e-08
1811,1.0028306629550343e-08
1812,2.1337665412346496e-08
1813,1.4378708446116661e-08
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,1.401186100480345e-08
1818,1.4305412854298538e-08
1819,7.245735234029382e-09
1820,8.306536791735653e-09
1821,3.254291114362928e-08
1822,2.606660132187244e-08
1823,2.9648061450338048e-08
1824,1.51580028528997e-08
1825,1.4088708866211164e-08
1826,1.7615968128659176e-08
1827,1.1982455028203276e-08
1828,1.0089531266022078e-08
1829,1.6289033955008136e-08
1830,7.305785310052215e-09
1831,2.18276889896174e-08
1832,2.1647950543268735e-08
1833,3.3592521875291936e-08
1834,3.080395205579123e-08
1835,3.1764969321557146e-08
1836,2.0162249814159594e-08
1837,2.4352618477330168e-08
1838,8.837027110075724e-09
1839,1.3982949909063791e-08
1840,1.8472096741106725e-08
1841,1.219904177673925e-08
1842,1.0062397137744483e-08
1843,5.906911071384968e-09
1844,7.683985669970639e-09
1845,1.0044410192477926e-08
1846,1.4636253098387897e-08
1847,1.240441438454809e-08
1848,1.609044275596716e-08
1849,1.508294644736452e-08
1850,8.146795238417326e-09
1851,5.804494884742439e-09
1852,9.765818598239662e-09
1853,1.3735443005202796e-08
1854,1.1430461466233055e-08
1855,1.539011762474729e-08
1856,1.1389816534368435e-08
1857,3.563501782544165e-08
1858,1.5170395550878624e-08
1859,2.698851964133553e-08
1860,2.6089948951257824e-08
1861,9.431927239234028e-09
1862,7.228778020618165e-09
1863,1.748117206545885e-08
1864,1.7261021389991527e-08
1865,1.0825741691977697e-08
1866,1.216403244796993e-08
1867,9.7056229719783e-09
1868,2.0253484556143064e-08
1869,1.9534076356464425e-08
1870,1.9495765890553685e-08
1871,4.248470908407853e-09
1872,9.071008832961525e-09
1873,1.6760813181804224e-08
1874,1.493652240780463e-08
1875,2.517471980878483e-08
1876,1.3905833817773328e-08
1877,1.793596560162314e-08
1878,1.5701631050912823e-08
1879,1.7717043832021773e-08
1880,1.0910339076630748e-08
1881,1.5339516823420496e-08
1882,3.261138648014139e-08
1883,1.516641390253426e-08
1884,1.9805090900604227e-08
1885,1.8047780159236027e-08
1886,1.7424351739236954e-08
1887,1.6975204464309e-08
1888,1.902184343371971e-08
1889,1.5662841468255806e-08
1890,1.7696843657155625e-08
1891,7.0116419337296065e-09
1892,1.8178685001757344e-08
1893,7.390100087434348e-09
1894,1.6384001710889606e-08
1895,1.083350631425617e-08
1896,9.435246361988447e-09
1897,1.631479795705104e-08
1898,1.8106735888423486e-08
1899,2.04520400615138e-08
1900,1.0901211933145305e-08
1901,1.3412973842719111e-08
1902,6.383369222096036e-09
1903,8.640352433531007e-09
1904,5.912087708281888e-09
1905,1.083759376685478e-08
1906,7.201858220895474e-09
1907,1.4914246171393586e-08
1908,1.6698723515062852e-08
1909,1.1552065415365576e-08
1910,1.5498036631811374e-08
1911,7.980561100850991e-09
1912,9.897900277167082e-09
1913,3.712092910834741e-09
1914,6.696743715117748e-09
1915,4.712304657594757e-09
1916,1.977743147030253e-08
1917,1.5352994098272177e-08
1918,1.1486376294556067e-08
1919,7.366278698128781e-09
1920,9.843901249695364e-09
1921,9.087297137000405e-09
1922,1.9920425087249782e-08
1923,1.4862327368803108e-08
1924,1.8048273764392775e-08
1925,6.598906754362588e-09
1926,1.0031524277920312e-08
1927,5.574612327308159e-09
1928,1.1426041224282812e-09
1929,1.3368487206122381e-08
1930,1.575540586884472e-08
1931,1.596749932275543e-08
1932,5.479768305782784e-09
1933,1.0323596200123575e-08
1934,1.7972370258689807e-08
1935,4.787313656606784e-09
1936,8.487299751891442e-09
1937,1.0072894296442314e-08
1938,1.2965214457594243e-09
1939,6.117620188206274e-09
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,0.0
1943,8.709705845433291e-09
1944,1.927911696952833e-08
1945,6.535512131478072e-09
1946,6.960552134671616e-09
1947,2.264965415221809e-08
1948,4.348755133776194e-09
1949,8.83530737461058e-09
1950,5.317680518146517e-09
1951,6.396841278899501e-09
1952,4.2179215675730575e-09
1953,2.4779803320384985e-08
1954,1.07497895029951e-08
1955,1.8771215692936494e-09
1956,8.721141364631535e-09
1957,1.501956425897788e-08
1958,7.445019101215422e-09
1959,6.200598257066758e-09
1960,8.99708335611038e-09
1961,9.03260666262895e-09
1962,1.3318107949800151e-08
1963,9.052474325699222e-09
1964,7.300761772910391e-09
1965,6.5664522708175355e-09
1966,1.3293779743683842e-08
1967,1.2818872352493571e-08
1968,7.63540694559417e-09
1969,1.090021850558287e-08
1970,1.0577067777184368e-08
1971,1.284599360218408e-08
1972,5.643161660184859e-09
1973,9.37244681864513e-09
1974,8.438357623763437e-09
1975,3.998036124386317e-09
1976,4.570821499072508e-09
1977,2.938390863960194e-09
1978,8.31682822610702e-09
1979,8.777959692451986e-09
1980,1.1370301145063877e-08
1981,1.0753434587229549e-08
1982,7.449002858983533e-09
1983,2.5261264191556165e-09
1984,1.0438215625185876e-08
1985,7.218669662023558e-09
1986,8.392279815527814e-09
1987,1.1610551631235921e-08
1988,7.195864348830128e-09
1989,8.780995375268219e-09
1990,1.3621627381610324e-08
1991,9.964490510494528e-09
1992,4.958949750832886e-09
1993,9.416652624327781e-09
1994,1.0022360608097358e-08
1995,8.13367617702454e-09
1996,8.007138507792888e-09
1997,2.876936688878118e-09
1998,5.244942036242151e-09
1999,1.1882523409667556e-08
2000,1.6346715980830595e-08
2001,5.6955752891774125e-09
2002,9.200565365130586e-09
2003,6.667076779542924e-09
2004,8.80958239690699e-09
2005,1.30608737158866e-08
2006,8.235780224463696e-09
2007,1.9972397791168106e-08
2008,1.7029758131448247e-08
2009,1.8595951445377068e-08
2010,3.731796366368556e-08
2011,3.518054286777428e-08
2012,2.9616998242776305e-08
2013,4.072122394838118e-08
2014,4.3741993457913075e-08
2015,5.186786521116371e-08
2016,5.7583255053117455e-08
2017,4.40231986420514e-08
2018,5.859929297358235e-08
2019,5.5356432770992114e-08
