year,plusieurs_DET ondes_NOUN
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,1.755305234496518e-08
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,4.969867006821005e-08
1810,4.680253518074551e-09
1811,0.0
1812,2.6672083208723052e-08
1813,2.8757416004054903e-08
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,1.1028177482330648e-08
1823,1.9765373782121287e-09
1824,0.0
1825,3.522177216552791e-09
1826,8.807984341885344e-10
1827,3.6869092223668076e-09
1828,4.586150570418113e-09
1829,8.573175946935407e-09
1830,1.5655253093882493e-08
1831,2.0268567268999504e-08
1832,1.0823975493678972e-08
1833,0.0
1834,9.334530925997342e-10
1835,0.0
1836,3.36037508930076e-09
1837,9.045257876039159e-09
1838,6.312161904276081e-09
1839,2.7965900706306e-09
1840,1.7835128929277744e-08
1841,3.852329122366882e-09
1842,3.3541325272778977e-09
1843,1.4767278067040479e-08
1844,2.7442805805577564e-09
1845,1.1718478631905782e-08
1846,5.854501328173001e-10
1847,8.629157832729106e-09
1848,1.528592186161859e-08
1849,2.011059585527164e-08
1850,1.3577992064028876e-09
1851,2.902247508984601e-08
1852,1.3021090872200602e-09
1853,8.957897534855874e-09
1854,7.27393034694046e-09
1855,3.767925349507095e-08
1856,4.504154560436291e-08
1857,1.8549734193129552e-08
1858,9.29798454896158e-09
1859,8.147477359443656e-09
1860,9.15436793036406e-09
1861,9.903524222920623e-09
1862,8.132375661773494e-09
1863,2.4973103585068657e-09
1864,1.4384183844029508e-09
1865,7.0602665935837194e-09
1866,7.784980660119345e-09
1867,6.308654931785895e-09
1868,1.778354707937524e-08
1869,1.5138908793232986e-08
1870,1.9495765446464475e-08
1871,1.6993883633631413e-08
1872,1.814201766592305e-08
1873,2.3944017879529156e-09
1874,1.0754296120296658e-08
1875,1.716458086775674e-09
1876,9.673623679873344e-09
1877,2.040989244278535e-08
1878,1.9325083755461492e-08
1879,1.221865097988939e-08
1880,1.1552122813895949e-08
1881,1.3945014920579979e-08
1882,1.7304001787010748e-08
1883,2.9700892412165558e-08
1884,4.621187876807653e-09
1885,9.668453648803421e-09
1886,1.7424351739236954e-08
1887,4.570247291724172e-09
1888,6.974675947901687e-09
1889,1.50363277384713e-08
1890,1.9007721618891082e-08
1891,8.286486163910922e-09
1892,4.387958441043338e-09
1893,2.771287377356657e-08
1894,2.3945849747519787e-08
1895,1.5648398132839247e-08
1896,1.0024948871034667e-08
1897,0.0
1898,1.3014216371232123e-08
1899,7.185851913504848e-09
1900,7.267474400052265e-09
1901,2.1237207603608255e-08
1902,2.0132164380015638e-08
1903,1.0800440541913758e-08
1904,8.599400302955473e-09
1905,6.708986699521802e-09
1906,9.773950537805831e-09
1907,1.3885677496716653e-08
1908,1.1296195090437777e-08
1909,8.801573692096554e-09
1910,9.085056262847502e-09
1911,6.916486494645824e-09
