year,avais_VERB apporté_VERB,avais_VERB rapporté_VERB
1800,3.144164484325529e-09,0.0
1801,2.1430643926123594e-08,1.6668277424969347e-08
1802,0.0,0.0
1803,5.851017448321727e-09,5.851017448321727e-09
1804,7.4155526164076946e-09,0.0
1805,2.2743021688143017e-08,2.842877711017877e-09
1806,0.0,2.0171682990621775e-08
1807,2.2775640928784924e-08,2.8469551160981155e-09
1808,0.0,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,1.1700633351097167e-08,2.3401267590372754e-09
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,3.1466771410748606e-09
1815,1.3486118000116676e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,3.113746771532533e-08,6.227493631882908e-09
1818,1.0729059418679299e-08,5.960588467246453e-09
1819,4.140420006848444e-09,8.280840013696888e-09
1820,1.3053129244156025e-08,3.5599443393152796e-09
1821,3.550135829755163e-08,2.9584463767662328e-09
1822,4.712039469723095e-08,5.012807946513931e-09
1823,1.4824030003524058e-08,2.9648061783404955e-09
1824,1.6842225392110777e-08,1.2631669044083083e-08
1825,1.4088708866211164e-08,7.924898959288385e-09
1826,6.1655889282974385e-09,6.1655889282974385e-09
1827,4.055600300034712e-08,8.295545583791863e-09
1828,3.0268594741755805e-08,3.668920500743411e-09
1829,1.7146351893870815e-08,5.143905745796928e-09
1830,5.4271545479878114e-08,2.0873671680021744e-09
1831,2.3386808933878456e-08,1.5591206548037917e-08
1832,3.111892965534935e-08,6.764984572527055e-09
1833,5.09679658478035e-08,1.1583628500844156e-09
1834,2.5203233278148218e-08,6.534171426153534e-09
1835,3.7059130875150004e-08,3.781543966852041e-09
1836,2.8227150394855016e-08,7.392825018825988e-09
1837,1.3219993100221927e-08,4.87052354003481e-09
1838,8.837027110075724e-09,1.2624323808552163e-09
1839,2.866504900111977e-08,4.894032734625853e-09
1840,1.2102408852854296e-08,4.458782232319436e-09
1841,3.274479709602929e-08,1.2841097074556274e-08
1842,1.9453969102301016e-08,4.695785538189057e-09
1843,5.906910960362666e-09,3.5441467538532834e-09
1844,1.5916826967554698e-08,3.2931368743049916e-09
1845,2.6785095030845696e-08,3.348136878855712e-09
1846,2.2832555401919308e-08,1.1709002656346001e-08
1847,1.5640349459999925e-08,9.168480197274675e-09
1848,1.769948809737798e-08,2.413566457803995e-09
1849,1.0893239199560867e-08,2.513824481908955e-09
1850,1.425689166723032e-08,6.1100964288129944e-09
1851,7.094382858952031e-09,6.449438760824933e-09
1852,2.2135854038651814e-08,5.859490670445666e-09
1853,2.269334054005867e-08,5.971931837933653e-09
1854,9.352196350675968e-09,2.5978321716024766e-09
1855,9.021793090369101e-09,9.552486801567284e-09
1856,1.1907535402144731e-08,5.694908100650764e-09
1857,1.8549734193129552e-08,6.8341128311999455e-09
1858,1.663849857891364e-08,4.404308473482388e-09
1859,1.2730433596175317e-08,7.129042689513199e-09
1860,2.746310379109218e-08,1.5104706818647173e-08
1861,8.488735048217677e-09,4.715963619617014e-09
1862,1.2198563048571032e-08,6.325180823552046e-09
1863,2.8968800691586694e-08,7.491931519609807e-09
1864,1.726102105692462e-08,3.835782358407869e-09
1865,1.4120533187167439e-08,3.294791106611683e-09
1866,1.3623716377253459e-08,6.3252967308358166e-09
1867,3.0572714138088486e-08,5.82337378318698e-09
1868,2.3711395513714706e-08,1.1361710683388537e-08
1869,1.6115613732381462e-08,1.3185501579471293e-08
1870,1.4335121534259088e-08,5.160643912205387e-09
1871,1.1683295220166201e-08,3.18635318130589e-09
1872,1.8746751706544273e-08,5.442605477412599e-09
1873,1.855661402316855e-08,1.616221290134945e-08
1874,3.1067965977626955e-08,1.4936523129449597e-08
1875,3.1468399441791917e-08,6.865832347102696e-09
1876,1.753344314181504e-08,6.04601479992084e-09
1877,3.277952487223956e-08,1.608052180301911e-08
1878,2.959153455606156e-08,1.2078177347163432e-09
1879,2.5659165459046562e-08,1.4662380642960215e-08
1880,3.144744553651435e-08,1.0268554007097919e-08
1881,2.8587281875047665e-08,6.2752567586699115e-09
1882,2.861815673327328e-08,8.652000893505374e-09
1883,3.6652167523243406e-08,1.8958017378167824e-09
1884,1.5844072720483382e-08,3.300848483434038e-09
1885,1.8047780159236027e-08,1.160214413431504e-08
1886,1.8069698626277386e-08,2.5813855497602844e-09
1887,1.1752064210668323e-08,5.876032105334161e-09
1888,1.775372027168487e-08,1.521747527988282e-08
1889,2.6313573542324775e-08,1.7542383545787743e-08
1890,1.5075089621063853e-08,1.9663159989136147e-09
1891,2.8683990294098294e-08,5.099376032546843e-09
1892,2.4447198043731078e-08,1.0656471260972467e-08
1893,1.7243566574620672e-08,9.853466487186324e-09
1894,1.7014155417882648e-08,4.411077725308132e-09
1895,4.213030280197927e-08,6.018614495673091e-09
1896,2.0639602027472392e-08,5.89702897624278e-10
1897,1.5149455023788505e-08,2.9133566670225264e-09
1898,2.998928039232851e-08,6.224190496340043e-09
1899,1.5477219506010442e-08,2.7637891975018647e-09
1900,2.3359739032002835e-08,6.22926377147337e-09
1901,1.0618603774048552e-08,1.117747761014698e-08
1902,1.3257766440233354e-08,5.4013122863239005e-09
1903,1.83607493653426e-08,4.860198465905796e-09
1904,1.0211787859759625e-08,3.7622376325430196e-09
1905,1.9610883583709438e-08,9.28936660926638e-09
1906,2.0576738535282857e-08,5.658602919567102e-09
1907,1.2342823652033985e-08,1.0799970695529737e-08
1908,2.1118973236866623e-08,9.822778146428846e-09
1909,3.190570296851547e-08,6.60118004702781e-09
1910,2.2979847358328698e-08,6.947395991829808e-09
1911,9.044636151145369e-09,5.852411444351446e-09
1912,1.82329742415277e-08,6.772247651554153e-09
1913,1.6969567084856862e-08,1.113627856597077e-08
1914,1.2723813114234872e-08,6.696743604095445e-09
1915,4.712304768617059e-09,2.3561523843085297e-09
1916,1.648119329900055e-08,4.394984820521586e-09
1917,1.5352993543160665e-08,0.0
1918,2.756730310693456e-08,2.2972752589112133e-09
1919,1.1970202606903513e-08,6.4454939163738345e-09
1920,1.590168707821249e-08,3.028892692213958e-09
1921,1.741731914250977e-08,5.300923255902035e-09
1922,3.9103056792555435e-08,1.4755870969551665e-09
1923,2.1231896241147297e-08,5.307974060286824e-09
1924,2.4494086758863887e-08,7.734974438733389e-09
1925,2.0896537833436923e-08,1.0998178368026856e-08
1926,1.89484357093761e-08,7.802296586589819e-09
1927,2.0068604555945058e-08,2.2298449753321847e-09
1928,3.085031252680892e-08,7.998228745975666e-09
1929,4.9017788938954254e-08,4.4561625500705304e-09
1930,2.4158287814657342e-08,1.575540586884472e-08
1931,1.4826963656844327e-08,4.5621426636444085e-09
1932,1.4247397928102146e-08,1.53433514782364e-08
1933,2.2941325283909464e-08,1.7205993074753678e-08
1934,1.677421224144382e-08,2.7557634396657704e-08
1935,2.8723881939640705e-08,1.196828414151696e-09
1936,3.273672888326473e-08,4.849885826274658e-09
1937,7.554670666820584e-09,1.0072894518486919e-08
1938,1.9447821131279852e-08,3.8895642262559704e-09
1939,2.9058696782158222e-08,3.058810094103137e-09
1940,3.0429394115571995e-08,2.5357829169792012e-09
1941,1.1806010391524069e-08,5.9030051957620344e-09
1942,3.944475324146879e-08,3.034211770724937e-09
1943,1.1612940831184915e-08,1.4516175816936538e-08
1944,3.855823393905666e-08,3.2131861615880553e-09
1945,1.9606536838523425e-08,1.9606536838523425e-08
1946,3.897909195416105e-08,9.744772988540262e-09
1947,2.9802176726434482e-08,9.536696765621855e-09
1948,2.2830963786191205e-08,8.697510267552389e-09
1949,1.1780409536754632e-08,6.8719057111366055e-09
1950,1.701657836861159e-08,5.317680518146517e-09
1951,3.6248767543156646e-08,5.330700769690111e-09
1952,2.319856839960721e-08,6.326882129314981e-09
1953,1.723812381726475e-08,5.386913581872932e-09
1954,2.443134050622575e-08,1.2704297169818801e-08
1955,3.191106756617046e-08,4.6928039232341234e-09
1956,1.5698054411927842e-08,0.0
1957,2.1204090927540165e-08,1.3252556385623393e-08
1958,4.1361218450219894e-08,6.617794756635931e-09
1959,2.5577467255288866e-08,6.975672928177801e-09
1960,2.422291700554524e-08,8.997083078554624e-09
1961,2.91822690456911e-08,5.55852741612739e-09
1962,2.473363025501385e-08,1.2683912808952869e-09
1963,2.4571003010009917e-08,5.819448034571906e-09
1964,1.6426714211092985e-08,5.475571551727398e-09
1965,2.4624196015565758e-08,5.47204326295514e-09
1966,2.880318916709257e-08,3.8773522170743036e-09
1967,2.859594694371026e-08,7.395503320850594e-09
1968,2.649935382237345e-08,4.042274071025531e-09
1969,2.043791091921321e-08,4.087581828571274e-09
1970,1.241655755990223e-08,3.6789800095249348e-09
1971,2.6205826841874114e-08,3.5968783507200897e-09
1972,1.898154344814884e-08,3.0780880067027283e-09
1973,2.3706776985932265e-08,9.923766697284009e-09
1974,1.8564387360697765e-08,3.3753431161187564e-09
1975,2.227477224892027e-08,6.8537762132336866e-09
1976,1.7140580510499603e-08,6.8562320265641574e-09
1977,1.3516598507123945e-08,1.7630346071939584e-09
1978,1.7821774278559133e-08,3.5643548113029055e-09
1979,1.9896710057309974e-08,4.096381456264453e-09
1980,2.2740602290127754e-08,5.6851505725319385e-09
1981,1.4548763971333756e-08,5.060439622894819e-09
1982,1.4277254933858785e-08,5.586751949948621e-09
1983,2.0209011353244932e-08,5.052252838311233e-09
1984,2.145633182237816e-08,2.3196033982486597e-09
1985,2.1054452403745927e-08,5.414002135495366e-09
1986,2.7574632355253925e-08,8.392279760016663e-09
1987,1.8332450224534114e-08,9.777306964053878e-09
1988,1.798966131616453e-08,6.596209356501959e-09
1989,2.4147738031388144e-08,7.134558721588746e-09
1990,2.7788120249283565e-08,8.717841559757744e-09
1991,2.05151273746651e-08,7.033758464558559e-09
1992,2.5345743281945943e-08,7.162927584403178e-09
1993,2.2710750613441633e-08,2.7696036575264316e-09
1994,2.479215588380157e-08,7.384897138251745e-09
1995,2.1689803730851054e-08,9.21816667442954e-09
