year,devions_VERB aller_VERB
1800,5.345079756580162e-08
1801,9.28661236798689e-08
1802,5.370816325012129e-08
1803,4.290746247193056e-08
1804,3.707776485839531e-08
1805,8.528632911009026e-09
1806,4.034336598124355e-08
1807,2.2775640928784924e-08
1808,3.172503681980743e-08
1809,7.680704072754452e-08
1810,6.786367379163494e-08
1811,5.766276700569506e-08
1812,3.467370746079723e-08
1813,9.202373263406116e-08
1814,8.496028414128887e-08
1815,5.933891955578474e-08
1816,3.9399267848239106e-08
1817,1.2454987263765815e-08
1818,4.053200441944682e-08
1819,6.624672010957511e-08
1820,6.40789963313182e-08
1821,6.311352507282209e-08
1822,1.0927921323400369e-07
1823,8.499110748516614e-08
1824,5.642145595174952e-08
1825,8.012953145453139e-08
1826,2.3781558056157337e-08
1827,2.949527377893446e-08
1828,2.7516904310687096e-08
1829,4.543783305166471e-08
1830,9.080046936560393e-08
1831,7.016042502527853e-08
1832,3.6530916958099624e-08
1833,7.18184978154568e-08
1834,6.440826183506942e-08
1835,6.958040899007756e-08
1836,8.871390377862554e-08
1837,3.339787468803479e-08
1838,5.112851297894849e-08
1839,6.362242288560083e-08
1840,3.3759349093998026e-08
1841,6.035315891494974e-08
1842,3.018719141323345e-08
1843,4.016699506337318e-08
1844,2.25031016043431e-08
1845,3.5155437672074186e-08
1846,4.976326195560432e-08
1847,2.3190860787281053e-08
1848,4.505324113779352e-08
1849,3.4355601030711114e-08
1850,5.906426636670403e-08
1851,7.803821233665076e-08
1852,3.450589147746541e-08
1853,5.1955808544335014e-08
1854,4.72805474771576e-08
1855,3.343370380548549e-08
1856,3.2616291889553395e-08
1857,6.345961622855611e-08
1858,3.3766365703513657e-08
1859,4.0228169240208445e-08
1860,4.943358788978003e-08
1861,4.102888340185018e-08
1862,4.653525920161883e-08
1863,2.6970951694238465e-08
1864,4.6029388300894425e-08
1865,4.9421867487353666e-08
1866,5.2548617901493344e-08
1867,5.871901720411188e-08
1868,3.655506830568811e-08
1869,5.616047005219116e-08
1870,5.734048613703635e-08
1871,6.691341525311145e-08
1872,7.196333484671413e-08
1873,3.95076291681562e-08
1874,7.289023074008583e-08
1875,6.350894921069994e-08
1876,6.227395488167531e-08
1877,7.978412952525105e-08
1878,5.1332254003000344e-08
1879,7.331190232662266e-08
1880,4.55667077403632e-08
1881,6.135806529528054e-08
1882,5.1912003584675404e-08
1883,3.854796659652493e-08
1884,5.479408571318345e-08
1885,4.576401479994274e-08
1886,3.87207848007165e-08
1887,4.504957828999068e-08
1888,4.311618084784641e-08
1889,3.884384724983647e-08
1890,3.9326319978272295e-08
1891,5.991766727220238e-08
1892,5.0774950466347946e-08
1893,4.002970754868329e-08
1894,4.348062176973144e-08
1895,4.8750777636996645e-08
1896,3.2433661090180976e-08
1897,4.777905004971217e-08
1898,4.4701003787395166e-08
1899,4.2562355417885556e-08
1900,5.6582479146527476e-08
1901,4.694540578498163e-08
1902,2.995273007400101e-08
1903,5.130209146386733e-08
1904,3.0097901060344157e-08
1905,4.5930754311029887e-08
1906,3.9095802151223324e-08
1907,5.1942716794428634e-08
1908,4.272908427083166e-08
1909,4.2357573448725816e-08
1910,5.9320072409718705e-08
1911,4.788336838146279e-08
1912,6.772247473918469e-08
1913,5.780258760523793e-08
1914,6.161004506566314e-08
1915,6.008188790929125e-08
1916,4.9443578120644815e-08
1917,6.799183438488399e-08
1918,6.432370724951397e-08
1919,6.629650783906982e-08
1920,6.284952291935042e-08
1921,5.14946840723951e-08
1922,4.205423209668879e-08
1923,5.095655097875351e-08
1924,6.059063650809549e-08
1925,5.169143690864075e-08
1926,4.681378129589575e-08
1927,5.4631200896437804e-08
1928,3.7705934374798744e-08
1929,6.015819309368453e-08
1930,3.676261073337628e-08
1931,6.044839295782367e-08
1932,4.931791508511196e-08
1933,4.01473165823063e-08
1934,3.5944740517379614e-08
1935,6.582556011380802e-08
1936,2.66743711563322e-08
1937,3.273690651894867e-08
1938,1.6854778905894818e-08
1939,3.8235125288110794e-08
1940,3.0429394115571995e-08
1941,3.836953510472085e-08
1942,3.6410540360520827e-08
1943,5.8064703267746154e-08
1944,8.354284375400312e-08
1945,6.535512397931598e-08
1946,6.682130049284751e-08
1947,5.9604353452868963e-08
1948,3.8051606310318675e-08
1949,5.2030145525350235e-08
1950,4.1477910883713776e-08
1951,7.996051465397613e-08
1952,4.2179216563908994e-08
1953,4.955960619668076e-08
1954,7.329401796596358e-08
1955,4.411235821066839e-08
1956,4.7966278060584955e-08
1957,4.50586910005768e-08
1958,4.1361218450219894e-08
1959,4.5729411368711226e-08
1960,6.713208478004162e-08
1961,5.489045662443459e-08
1962,5.580921680348183e-08
1963,4.6555584276575246e-08
1964,6.144807684904663e-08
1965,3.3926667697414814e-08
1966,5.0405581930590415e-08
1967,5.324762497593838e-08
1968,4.2668450106475575e-08
1969,4.496340366699769e-08
1970,4.736686776141141e-08
1971,5.1897814046242274e-08
1972,3.9502129567381417e-08
1973,2.921997932503473e-08
1974,4.1629231617434925e-08
1975,3.484002775167028e-08
1976,4.285145038807059e-08
1977,5.1128001388178745e-08
1978,3.801978465389766e-08
1979,4.388979846225993e-08
1980,4.60497204812782e-08
1981,3.28928564385933e-08
1982,3.1037512115972277e-08
1983,4.736487113632393e-08
1984,4.5812168281145205e-08
1985,4.812446263713355e-08
1986,4.7955882820360785e-08
1987,5.6830597117141224e-08
1988,3.537966719591168e-08
1989,4.939310116469642e-08
1990,4.413407239667322e-08
1991,4.0444110283033297e-08
