year,aurons_VERB appelé_VERB,aurons_VERB rappelé_VERB
1800,0.0,6.288328968651058e-09
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,1.556873407970727e-09,2.1796227045456362e-08
1818,1.1921177378582115e-09,0.0
1819,1.035105001712111e-09,2.070210003424222e-09
1820,0.0,2.3732962262101864e-09
1821,5.9168927535324656e-09,0.0
1822,6.015369535816717e-09,1.1028177482330648e-08
1823,0.0,2.9648061783404955e-09
1824,0.0,0.0
1825,0.0,3.522177216552791e-09
1826,2.642395191543301e-09,1.7615968683770689e-09
1827,2.7651818612639545e-09,5.530363722527909e-09
1828,9.172301251858528e-10,0.0
1829,0.0,0.0
1830,4.174734336004349e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,0.0,9.470978667991403e-09
1833,0.0,3.4750886612755494e-09
1834,3.733812370398937e-09,0.0
1835,1.5126175867408165e-09,1.0588323107185715e-08
1836,1.3441500135158435e-09,1.0753200108126748e-08
1837,1.3915781860163179e-09,1.0436836284100082e-08
1838,0.0,6.312161904276081e-10
1839,1.3982950353153e-09,1.8177836125232716e-08
1840,4.458782232319436e-09,2.5478754661634184e-09
1841,6.420548537278137e-10,6.420548537278137e-10
1842,6.708265054555795e-10,2.683306021822318e-08
1843,0.0,4.134837805480629e-09
1844,2.195424508855126e-09,3.841992946007622e-09
1845,2.2320911785556063e-09,7.254296274794569e-09
1846,2.9272506640865004e-09,1.0538101946622191e-08
1847,0.0,1.0247124926365814e-08
1848,2.413566457803995e-09,4.02261068899179e-09
1849,8.379414939696517e-10,1.4245005175439474e-08
1850,6.788996032014438e-10,4.752297222410107e-09
1851,1.9348316282474798e-09,6.449438760824933e-09
1852,0.0,5.208436348880241e-09
1853,5.971931837933653e-10,1.1943863675867306e-08
1854,1.0391328908454511e-09,2.0782657816909023e-09
1855,1.0613874223963649e-09,1.5920811335945473e-09
1856,1.0354378465748937e-09,1.0354378687793542e-08
1857,3.4170564155999728e-09,1.4644527812635033e-09
1858,2.4468380654951716e-09,1.468102750479261e-09
1859,1.018434669930457e-09,5.092173349652285e-09
1860,1.373155145145688e-09,4.57718396518203e-09
1861,3.772770984511453e-09,6.6023493339173456e-09
1862,4.517986262886353e-10,4.9697850279528666e-09
1863,2.9967726078439227e-09,6.493007020935693e-09
1864,1.4384183844029508e-09,1.342523781033833e-08
1865,1.882737743486018e-09,1.6473954644879996e-08
1866,2.432806400776144e-09,7.784980660119345e-09
1867,9.7056229719783e-10,2.620518202434141e-08
1868,0.0,1.9265508299781686e-08
1869,2.441759683335931e-09,7.813630631403612e-09
1870,5.734048791339319e-09,4.013834153937523e-09
1871,2.1242354542039266e-09,1.911811864374613e-08
1872,6.047339295989218e-10,2.3584624031514068e-08
1873,0.0,1.0176207432266438e-08
1874,0.0,8.961913877669758e-09
1875,0.0,1.0870901512305409e-08
1876,6.04601479992084e-09,3.869449471949338e-08
1877,1.8554447978047506e-09,1.2369632429454214e-08
1878,1.8117265465633636e-09,1.5701630218245555e-08
1879,1.832797580370027e-09,6.720257683667796e-09
1880,1.9253538763308597e-09,2.8238524407697696e-08
1881,1.3945015142624584e-09,9.761510710859511e-09
1882,2.6621540527571597e-09,1.2645231528551903e-08
1883,5.687405213450347e-09,2.274962085380139e-08
1884,5.281357573494461e-09,2.6406787867472303e-08
1885,6.445635691854079e-10,2.6427105837001363e-08
1886,1.936039106809062e-09,2.0651084398082276e-08
1887,1.3057849246322917e-09,9.793386546164129e-09
1888,1.268122939990235e-09,2.282621380800265e-08
1889,1.8795409673089125e-09,2.5060547415023393e-08
1890,2.6217545912032847e-09,1.9007721618891082e-08
1891,0.0,8.286486163910922e-09
1892,1.2537024751679837e-09,1.1283322720601063e-08
1893,0.0,2.771287377356657e-08
1894,6.301539290376468e-10,2.9617234886814003e-08
1895,0.0,1.5046536461227333e-08
1896,0.0,2.358811634906033e-08
1897,0.0,2.0976168357833558e-08
1898,1.6975064687230201e-09,1.9238406423482957e-08
1899,0.0,1.0502398950507086e-08
1900,3.633737311048435e-09,2.1283318218934255e-08
1901,3.912117296778206e-09,8.941982265753268e-09
1902,3.928227076954727e-09,2.356936334990678e-08
1903,1.0800440541913758e-09,2.430099144135056e-08
1904,4.299700151477737e-09,2.5260739278110123e-08
1905,5.160758931310738e-09,1.5998352864698973e-08
1906,5.144184522798412e-10,2.777859720026754e-08
1907,0.0,1.542852956504248e-08
1908,4.911389073214423e-10,2.357466755142923e-08
1909,2.7504918342913243e-09,1.4302557360679202e-08
1910,0.0,1.9238942883248455e-08
1911,2.6601871816467337e-09,1.0640748726586935e-08
1912,4.688478938419394e-09,1.40654377034366e-08
1913,0.0,1.7499866444836698e-08
1914,6.696743715117748e-10,1.339348720819089e-08
1915,1.1780761921542648e-09,1.8849219074468238e-08
1916,3.2962386153911893e-09,2.5271162940043723e-08
1917,2.1932848870420685e-09,9.869782324756216e-09
1918,0.0,1.722956355365568e-08
1919,2.762354567309444e-09,1.9336480860943084e-08
1920,7.572231730534895e-10,1.4387239843927091e-08
1921,1.5145494858259667e-09,6.058197943303867e-09
1922,7.377935484775833e-10,7.377935595798135e-09
1923,0.0,1.6985516992917837e-08
1924,0.0,2.3204924204378585e-08
1925,2.1996355847875293e-09,1.2097995494286806e-08
1926,5.57306911730393e-09,1.671920735191179e-08
1927,1.1149224876660924e-09,1.6723836537835268e-08
1928,2.2852082448565625e-09,7.998228745975666e-09
1929,3.342121912552898e-09,7.798284684668033e-09
1930,1.0503603542488804e-09,8.402882833991043e-09
