year,dois_VERB assurer_VERB,dois_VERB rassurer_VERB
1800,1.8864987794131594e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,5.851017448321727e-09,0.0
1804,9.887403784603066e-09,7.4155526164076946e-09
1805,1.7057265822018053e-08,0.0
1806,8.645007376628655e-09,0.0
1807,8.540865792383556e-09,0.0
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,9.360507036149102e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,1.8670457180292033e-08,2.6672082320544632e-09
1813,2.300593315851529e-08,0.0
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,3.476405652236281e-08,0.0
1817,3.113746815941454e-09,0.0
1818,2.384235475716423e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,5.458581142647745e-08,0.0
1821,4.930744257336528e-09,0.0
1822,5.012807946513931e-09,1.0025615893027862e-09
1823,4.941343334508019e-09,0.0
1824,2.0210670470532932e-08,3.3684450784221553e-09
1825,3.258013947515792e-08,3.522177216552791e-09
1826,7.0463874735082754e-09,0.0
1827,1.013900075008678e-08,4.608636583469661e-09
1828,3.668920500743411e-09,0.0
1829,2.4862210068476998e-08,0.0
1830,4.174734336004349e-09,1.1480519646056564e-08
1831,1.2472964883158966e-08,1.5591206103948707e-09
1832,1.3529969367098715e-09,0.0
1833,2.20088942626262e-08,2.3167257001688313e-09
1834,8.401078055442213e-09,0.0
1835,9.075705520444899e-09,6.806779140333674e-09
1836,1.2769425516978572e-08,0.0
1837,1.1828414692161004e-08,1.3915781860163179e-09
1838,1.3886756633496589e-08,0.0
1839,8.38977065598101e-09,1.3982950353153e-09
1840,5.732719632334238e-09,5.095750932326837e-09
1841,2.632424944692957e-08,3.852329122366882e-09
1842,1.0062397137744483e-08,1.0733224087289273e-08
1843,1.0041748765843295e-08,5.31621990873532e-09
1844,4.9397050894128824e-09,3.841992946007622e-09
1845,5.022205318283568e-09,2.7901139176833567e-09
1846,1.0538101946622191e-08,0.0
1847,2.6966118227278457e-09,1.6179670936367074e-09
1848,1.448139919091318e-08,0.0
1849,7.54147322368226e-09,1.6758829879393033e-09
1850,8.82569484161877e-09,2.7155984128057753e-09
1851,4.514607354622058e-09,0.0
1852,5.208436348880241e-09,3.2552727180501506e-09
1853,4.180352064508952e-09,0.0
1854,1.7145692865483397e-08,2.5978321716024766e-09
1855,1.1675261646360013e-08,5.306937111981824e-10
1856,8.801221973442352e-09,0.0
1857,8.298565390418844e-09,0.0
1858,6.361778659424999e-09,1.468102750479261e-09
1859,1.323965115318515e-08,5.092173349652285e-09
1860,2.288591982591015e-09,4.119465657481669e-09
1861,9.431927239234028e-09,0.0
1862,1.1294965851504912e-08,1.8071945051545413e-09
1863,1.048870412745373e-08,2.4973103585068657e-09
1864,9.589455896019672e-10,2.8768367688059016e-09
1865,6.118897832863013e-09,0.0
1866,3.4059290943133647e-09,1.4596839292835284e-09
1867,3.396968040192405e-09,9.7056229719783e-10
1868,3.457911734727759e-09,3.951899252285784e-09
1869,9.278686263769487e-09,3.4184632902167778e-09
