year,avions_VERB enseigné_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,1.504245972228091e-08
1812,8.00162425207418e-09
1813,1.1502966579257645e-08
1814,1.5733386149463513e-08
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,2.070210003424222e-09
1820,0.0
1821,1.97229765852569e-09
1822,0.0
1823,5.929612356680991e-09
1824,1.6842225392110777e-09
1825,1.7610886082763955e-09
1826,7.0463874735082754e-09
1827,3.6869092223668076e-09
1828,9.172301251858528e-10
1829,1.1145129263923081e-08
1830,8.349468672008697e-09
1831,0.0
1832,8.117981842303834e-09
1833,0.0
1834,1.8669061851994684e-09
1835,7.563087933704082e-10
1836,0.0
1837,4.174734336004349e-09
1838,2.5248647617104325e-09
1839,4.194885327990505e-09
1840,0.0
1841,3.2102742686390684e-09
1842,2.683306021822318e-09
1843,5.906911071384968e-10
1844,8.232841963717874e-09
1845,2.7901139176833567e-09
1846,0.0
1847,2.6966118227278457e-09
1848,2.413566457803995e-09
1849,7.54147322368226e-09
1850,4.752297222410107e-09
1851,5.8044946626978344e-09
1852,1.3021090872200602e-09
1853,1.7915795513800958e-09
1854,3.63696517347023e-09
1855,2.653468555990912e-09
1856,6.212626857404757e-09
1857,3.905207268672939e-09
1858,4.893676130990343e-09
1859,6.619825576592575e-09
1860,1.8308735638683515e-09
1861,4.715963730639317e-10
1862,9.035972525772706e-10
1863,5.9935452156878455e-09
1864,4.794727948009836e-10
1865,1.4120533631256649e-09
1866,4.865612801552288e-09
1867,2.91168689159349e-09
1868,0.0
1869,9.767038733343725e-09
1870,9.17447806614291e-09
1871,1.805600113868877e-08
1872,3.628403577593531e-09
1873,6.584604861359367e-09
1874,0.0
1875,4.005069165202713e-09
1876,6.04601479992084e-10
1877,1.2369631985365004e-09
1878,1.8117265465633636e-09
1879,6.109325489944695e-09
1880,0.0
1881,2.091752326904839e-09
1882,6.655385131892899e-10
1883,1.2638677882037541e-09
1884,2.6406787867472303e-09
1885,3.86738152613475e-09
1886,0.0
1887,6.528924623161458e-10
1888,0.0
1889,1.8795409673089125e-09
1890,1.3108772956016423e-09
1891,4.461953917456185e-09
1892,0.0
1893,4.926733243593162e-09
1894,6.301539290376468e-10
1895,0.0
1896,2.358811590497112e-09
1897,5.826713556089658e-10
1898,0.0
1899,0.0
1900,5.191053142894475e-10
1901,2.235495566438317e-09
1902,1.4730852093691738e-09
1903,0.0
1904,0.0
1905,0.0
1906,1.5432553013283723e-09
1907,5.142843373384665e-10
1908,4.911389073214423e-10
1909,5.500983557560346e-10
1910,0.0
1911,1.5961122423746588e-09
1912,5.209421227725386e-10
1913,4.772690687104841e-09
1914,6.696743715117748e-10
1915,9.424609537234119e-09
1916,0.0
1917,0.0
1918,0.0
1919,6.4454939163738345e-09
1920,1.514446346106979e-09
1921,0.0
1922,0.0
1923,4.246379248229459e-09
1924,0.0
1925,0.0
1926,4.458455382660986e-09
1927,2.2298449753321847e-09
1928,1.1426041224282812e-09
1929,0.0
1930,0.0
1931,1.1405356659111021e-09
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,2.3963160344919743e-09
1935,0.0
1936,0.0
1937,0.0
1938,2.5930428915188486e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,1.9634016634739737e-09
1950,0.0
1951,1.0661401761424827e-09
1952,2.1089607837865287e-09
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,2.4816730892496253e-09
1959,7.750747821333448e-10
1960,0.0
1961,0.0
1962,8.8787386332001e-09
1963,1.939815863494232e-09
1964,1.8251904432275978e-09
1965,1.0944086747954884e-09
1966,1.1078149508847446e-09
1967,1.4791006197611978e-09
1968,1.3474247273492779e-09
1969,0.0
1970,4.5987250119061684e-10
1971,1.541519245584766e-09
1972,0.0
1973,4.9618833486420044e-09
1974,5.625571675160757e-10
1975,0.0
1976,5.713526873840635e-10
1977,0.0
1978,4.158414057542359e-09
1979,5.851973350345929e-10
1980,0.0
1981,3.1627747087981106e-09
1982,0.0
1983,6.315316047889041e-10
1984,1.1598016991243298e-09
1985,1.8046674155058895e-09
1986,1.1988970927134801e-09
1987,6.110816852533674e-10
1988,1.1993107618124554e-09
1989,5.488122178931576e-10
1990,1.6345953479657283e-09
1991,5.861465202094962e-10
1992,0.0
1993,5.539207426075166e-10
1994,0.0
1995,3.253470381991974e-09
1996,0.0
1997,9.58978896292706e-10
1998,5.72175506974304e-09
1999,3.1991407301035224e-09
2000,2.2090156370779823e-09
2001,8.762423564512289e-10
2002,2.1906108038649563e-09
2003,1.2500769308587678e-09
2004,0.0
2005,9.007499190971657e-10
2006,2.0589450144825605e-09
2007,2.7961355453243186e-09
2008,3.405951742863067e-09
2009,3.814554005998616e-09
2010,6.613310343794865e-09
2011,2.6767803529281764e-09
2012,2.0425516833455504e-09
2013,4.741512515948898e-09
2014,3.897801192920269e-09
2015,3.989835573037226e-09
2016,4.971216327476213e-09
2017,5.0312225496895735e-09
2018,4.904786798931582e-09
2019,1.53059265262101e-09
