year,autres_ADJ ans_NOUN,autres_ADJ rangs_NOUN
1800,2.5153315874604232e-08,1.131899196593622e-07
1801,9.524730337773235e-09,1.2382149350287364e-07
1802,4.475680270843441e-09,8.951360541686881e-08
1803,1.950339223455444e-09,8.776526527753958e-08
1804,2.4718509461507665e-09,1.408955085935304e-07
1805,5.685755422035754e-09,1.1655798459742073e-07
1806,8.645007376628655e-09,6.051504897186533e-08
1807,2.8469551160981155e-09,1.0249038240317532e-07
1808,4.5321479902327155e-09,8.837688625362716e-08
1809,6.7770917766551975e-09,8.132509776714869e-08
1810,0.0,6.552355102940055e-08
1811,2.5070767684098882e-09,4.262030373070047e-08
1812,0.0,1.0135391192989118e-07
1813,5.751483289628823e-09,6.326631307729258e-08
1814,6.293354282149721e-09,9.125363931161701e-08
1815,5.394447111228828e-09,6.74305908887618e-08
1816,0.0,1.5296186006708012e-07
1817,4.670620334934483e-09,1.4478922594207688e-07
1818,4.768470951432846e-09,5.96058882251782e-08
1819,1.3456364911235141e-08,7.556266723440785e-08
1820,1.4239777357261119e-08,6.170570543417853e-08
1821,1.3806083387635226e-08,5.1279737789400315e-08
1822,2.105379337535851e-08,1.1429202118051762e-07
1823,4.941343334508019e-09,1.2155705064742506e-07
1824,3.3684450784221553e-09,9.263224143296611e-08
1825,1.6730341556581152e-08,9.069606221601134e-08
1826,4.403992281964975e-09,8.719904798226707e-08
1827,5.530363722527909e-09,6.359918103271411e-08
1828,2.2930752408001354e-08,5.228211819030548e-08
1829,6.001223074036943e-09,1.1573787617180642e-07
1830,7.305785310052215e-09,1.2628571255390852e-07
1831,2.182768810143898e-08,5.456922025359745e-08
1832,6.764984683549358e-09,1.4477066656581883e-07
1833,4.6334514003376626e-09,1.054110185805257e-07
1834,9.334531148041947e-09,7.934351486937885e-08
1835,1.9664028627630614e-08,1.1193370141882042e-07
1836,3.36037508930076e-09,1.2702217588866915e-07
1837,3.4789454650407947e-09,9.880205453782764e-08
1838,3.1560809521380406e-09,8.079567237473384e-08
1839,2.09744255297295e-09,6.85164565084051e-08
1840,8.280595042986505e-09,1.0255198645836572e-07
1841,5.1364388298225094e-09,6.869986890478685e-08
1842,1.0062397137744483e-08,6.238686722781495e-08
1843,1.1813822142769936e-09,4.8436671562512856e-08
1844,1.6465684371524958e-09,5.3787900355928286e-08
1845,3.348136878855712e-09,1.0993048960017404e-07
1846,2.9272506640865004e-09,8.898842196458645e-08
1847,8.089835468183537e-09,7.874106700000993e-08
1848,4.022610855525244e-09,4.103063133698015e-08
1849,8.379414495607307e-09,1.248532868203256e-07
1850,2.0366988096043315e-09,6.042206734946376e-08
1851,1.096404611544699e-08,7.545843061507185e-08
1852,1.2370036550635177e-08,6.250123618656289e-08
1853,2.9859659189668264e-09,6.270528274399112e-08
1854,9.352195906586758e-09,5.351534326791807e-08
1855,1.3798036491152743e-08,6.474463276617826e-08
1856,3.624032518523279e-09,4.918329921110853e-08
1857,7.322263795295214e-09,5.857810947418329e-08
1858,1.468102750479261e-09,5.04048642824273e-08
1859,8.147477359443656e-09,5.448625373105642e-08
1860,8.238931398230065e-09,5.1722178540103414e-08
1861,7.545542080045209e-09,8.818852137437716e-08
1862,1.445755604123633e-08,5.647482836934614e-08
1863,6.493007298491449e-09,5.3442441583229083e-08
1864,9.109982990196386e-09,4.315255275333385e-08
1865,6.589581991178761e-09,6.683718822841911e-08
1866,4.865612801552288e-09,7.152451075853605e-08
1867,9.220341823379385e-09,3.494024269912188e-08
1868,6.9158236915001225e-09,4.6928803953960596e-08
1869,9.767038733343725e-09,5.030024752272766e-08
1870,4.013834153937523e-09,8.085008573743835e-08
1871,3.18635318130589e-09,4.779529660936532e-08
1872,3.0236697590169115e-09,9.554796065458504e-08
1873,4.1902030178953e-09,6.764184945495799e-08
1874,9.559374625212058e-09,3.823749850084823e-08
1875,5.149374426860476e-09,4.863298030954866e-08
1876,9.06902175579205e-09,4.776351758550845e-08
1877,1.0514186854493346e-08,5.3807898581226254e-08
1878,6.039088784604019e-09,3.985798358030479e-08
