year,devons_VERB apporter_VERB,devons_VERB rapporter_VERB
1800,8.489244152087849e-08,2.641098149069876e-07
1801,4.286128785224719e-08,1.5477687043130572e-07
1802,2.4616241489638924e-08,1.320325679898815e-07
1803,2.145373123596528e-08,1.8918289867997373e-07
1804,4.449331569844617e-08,7.909923027682453e-08
1805,2.2743021688143017e-08,5.1171799242411e-08
1806,8.645007376628655e-09,1.181484350354367e-07
1807,5.693910232196231e-09,2.4768510797912313e-07
1808,1.3596443970698147e-08,1.2236799307174806e-07
1809,1.8072244145628247e-08,8.810219043198231e-08
1810,3.7442028144596406e-08,6.552355102940055e-08
1811,1.504245972228091e-08,7.270522672797597e-08
1812,2.1337665856435706e-08,8.268345652595599e-08
1813,1.4378708002027452e-08,7.764502640839055e-08
1814,3.1466771410748606e-09,1.1642705288750221e-07
1815,8.091670444798638e-09,4.3964743667856965e-07
1816,5.0987285504788815e-08,2.0858435334503156e-07
1817,1.8682481339737933e-08,8.095742032310227e-08
1818,1.668964877410417e-08,1.585516571367407e-07
1819,1.7596784473994376e-08,1.552657522552181e-07
1820,2.1359666035891678e-08,1.1510486785937246e-07
1821,2.3667571014129862e-08,7.987805616949117e-08
1822,2.4061478143266868e-08,7.920236555492011e-08
1823,5.830785099192326e-08,1.5416991061556473e-07
1824,2.6947560627377243e-08,9.431646219582035e-08
1825,2.553578504205234e-08,1.3296218526193115e-07
1826,3.787433300317389e-08,1.2595417331340286e-07
1827,2.1199728195142598e-08,9.8624823863247e-08
1828,2.4765213879618386e-08,1.0731592681167967e-07
1829,2.6576845613135447e-08,8.230249193275085e-08
1830,5.844628248041772e-08,1.4611569554290327e-07
1831,4.053713453799901e-08,9.198811312671751e-08
1832,3.3824925083081325e-08,9.065079353831607e-08
1833,5.444305273272221e-08,1.332117278707301e-07
1834,2.7070139907436896e-08,1.213489042584115e-07
1835,4.764745398233572e-08,1.2554725969948777e-07
1836,2.9571300075303952e-08,1.0618784784810487e-07
1837,2.922314124020886e-08,1.2037151009280933e-07
1838,1.5780404538645598e-08,7.700837301172214e-08
1839,1.957613093850341e-08,1.0766871838541192e-07
1840,2.293087852933695e-08,8.981260890550402e-08
1841,3.980740004294603e-08,8.66774030328088e-08
1842,3.7566284305512454e-08,1.348361280406607e-07
1843,4.548321541619771e-08,9.273850309909903e-08
1844,8.836583731408609e-08,1.3392089215358283e-07
1845,6.863680113156079e-08,1.132786238144945e-07
1846,3.8639708321852595e-08,1.1709002478710318e-07
1847,2.6966118227278457e-08,1.0732514965638984e-07
1848,2.896279838182636e-08,9.49336182998195e-08
1849,4.357295679824347e-08,1.2150151462719805e-07
1850,3.93761752093269e-08,8.554135177973876e-08
1851,1.6768540334055615e-08,1.457573119978406e-07
1852,2.9948509450150596e-08,6.640756566866912e-08
1853,4.658106789179328e-08,1.128695146235259e-07
1854,8.98849918939959e-08,8.105236304345453e-08
1855,3.502578493908004e-08,9.97704177052583e-08
1856,4.555926480520611e-08,9.784887566866018e-08
