year,pouvons_VERB approcher_VERB,pouvons_VERB rapprocher_VERB
1800,1.2576657937302116e-08,2.829747991484055e-08
1801,2.1430643926123594e-08,2.1430643926123594e-08
1802,3.1329761895904085e-08,0.0
1803,0.0,0.0
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,5.685755422035754e-09
1806,1.152667650217154e-08,2.881669125542885e-09
1807,1.1387820464392462e-08,1.7081731584767113e-08
1808,2.039466551195801e-08,0.0
1809,2.0331274441787173e-08,2.259030518203531e-09
1810,2.3401266702194334e-08,2.106114038724627e-08
1811,7.521229861140455e-09,5.0141535368197765e-09
1812,2.6672082320544632e-09,1.0668832928217853e-08
1813,4.888760685162197e-08,0.0
1814,0.0,0.0
1815,2.966945977789237e-08,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,3.113746815941454e-09,0.0
1818,2.1458118837358597e-08,0.0
1819,1.449147024601416e-08,0.0
1820,1.3053129244156025e-08,1.898636980968149e-08
1821,8.875339574387908e-09,5.9168927535324656e-09
1822,7.017931125119503e-09,5.012807946513931e-09
1823,2.174191138237802e-08,2.8659792761231984e-08
1824,1.7684335773537896e-08,0.0
1825,1.2327619813845558e-08,1.7610886082763955e-09
1826,1.9377566218281572e-08,8.807984341885344e-10
1827,1.3825909306319772e-08,1.7512819638909605e-08
1828,1.2841221419535032e-08,1.3758452155343548e-08
1829,2.1432940755516938e-08,9.430493719264632e-09
1830,2.5048406016026092e-08,1.0436835840010872e-09
1831,1.5591206548037917e-08,0.0
1832,0.0,6.764984572527055e-09
1833,3.4750886612755494e-08,1.1583628278799551e-08
1834,2.8003592333902816e-08,8.401078055442213e-09
1835,1.1344631900556124e-08,6.806779140333674e-09
1836,1.5457725766054864e-08,4.704525213838906e-09
1837,1.0436836284100082e-08,1.461157062010443e-08
1838,1.7042836475411605e-08,3.1560809521380406e-09
1839,4.194885327990505e-09,4.194885327990505e-09
1840,1.6561189752906103e-08,1.1465439264668476e-08
1841,1.0914932957462042e-08,1.0272877659645019e-08
1842,1.0062397137744483e-08,1.0062397137744483e-08
1843,1.7130041385371442e-08,1.0041748765843295e-08
1844,9.330554107123135e-09,4.9397050894128824e-09
1845,5.022205318283568e-09,1.2276501593078137e-08
1846,2.1661655580373917e-08,6.439951683034906e-09
1847,1.1325769655456952e-08,1.240441438454809e-08
1848,2.011305433313737e-08,2.413566457803995e-09
1849,9.217356655710773e-09,1.6758829879393033e-09
1850,8.82569484161877e-09,9.504594444820214e-09
1851,4.514607354622058e-09,1.9348316726564008e-08
1852,5.208436348880241e-09,8.463708844885787e-09
1853,1.0152284346531815e-08,2.030456869306363e-08
1854,2.909572138776184e-08,1.3508727469968562e-08
1855,8.491099379170919e-09,2.5473298137512757e-08
1856,5.177189343896771e-09,2.174419400091665e-08
1857,4.881508974818871e-09,1.0739319655783675e-08
1858,4.893676130990343e-09,2.397901255335455e-08
1859,1.782260738991681e-08,1.018434669930457e-08
1860,6.865775947773045e-09,6.865775947773045e-09
1861,6.13075279431996e-09,1.4619487842537637e-08
1862,6.325180823552046e-09,1.490935552794781e-08
1863,1.39849385405455e-08,1.5982786649715308e-08
1864,7.1920918109924514e-09,1.2945765348604255e-08
1865,1.0825742080555756e-08,3.294790928975999e-08
1866,1.3623716377253459e-08,2.0435575009969398e-08
1867,1.6014277903764196e-08,3.4454963326879806e-08
1868,1.3831646938911035e-08,3.655506830568811e-08
1869,1.2697149998075474e-08,2.490594752657671e-08
1870,1.77755516972411e-08,1.7202147262196377e-08
1871,4.248470908407853e-09,4.779529660936532e-08
1872,6.047339518033823e-09,3.265563108811875e-08
1873,1.496501056408306e-08,3.591602748542755e-08
1874,7.766991494406739e-09,4.480956761199195e-08
1875,2.2886108563824337e-09,2.6319025181464895e-08
1876,6.650616057868319e-09,2.9625471853478302e-08
1877,9.27722432209066e-09,3.3398006138440905e-08
1878,3.6234530931267273e-09,3.38188961279684e-08
1879,1.832797580370027e-09,5.5594860270957724e-08
1880,1.9253538763308597e-09,2.759673911612026e-08
1881,1.6036766581351003e-08,2.5798277292210514e-08
1882,4.6587693702804245e-09,3.1945848633085916e-08
1883,1.7062214752172622e-08,4.423537092179686e-08
1884,2.3766109080725073e-08,6.271611852071146e-08
1885,6.445635580831777e-09,3.674012205578947e-08
1886,7.744156427236248e-09,5.549978965291302e-08
1887,2.2198344495905076e-08,4.7661149693567495e-08
1888,8.876860135842435e-09,5.199304098368884e-08
1889,5.6386229019267375e-09,4.51089832154139e-08
1890,8.520702365899524e-09,2.7528423984790606e-08
1891,5.099376032546843e-09,3.4420789774003424e-08
1892,1.5044429702015805e-08,3.761107336686109e-08
1893,9.853466487186324e-09,5.9120800699474785e-08
1894,1.8904617871129403e-09,2.520615716150587e-08
1895,2.046328972937772e-08,2.467631965430428e-08
1896,1.7691086373616827e-09,5.5432071377481407e-08
1897,4.078699600285063e-09,6.467652013952829e-08
1898,2.8291773368493978e-09,5.2056865484928494e-08
1899,3.3165470370022376e-09,5.472302433418008e-08
1900,1.5573159428683425e-09,7.47511634813236e-08
1901,6.706486921359556e-09,6.42704947040329e-08
1902,3.928227076954727e-09,5.695929417015577e-08
1903,8.100330184390714e-09,4.9142006020019835e-08
1904,8.599400302955473e-09,7.685714109584296e-08
1905,3.096455536422127e-09,6.347733716438597e-08
1906,8.745113966313056e-09,4.4754404626701216e-08
1907,5.65712765521198e-09,5.142843306771283e-08
1908,2.161011281032188e-08,5.746325371092098e-08
1909,2.2003934230241384e-09,4.8958753495753626e-08
1910,6.412980813053082e-09,5.076943310200477e-08
1911,1.0640748726586935e-08,3.8838731342139e-08
1912,7.293189607793238e-09,3.4903123946605774e-08
1913,1.0075680734189518e-08,4.295421618394357e-08
1914,1.2054139020278853e-08,4.486818383497848e-08
