year,telles_ADJ humeurs_NOUN,telles_ADJ rumeurs_NOUN
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,2.8469551160981155e-09
1808,2.2660739951163578e-09,1.5862518409903714e-08
1809,0.0,0.0
1810,0.0,9.360507036149102e-09
1811,0.0,0.0
1812,2.6672082320544632e-09,1.600324850414836e-08
1813,0.0,2.0130190847567064e-08
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,2.3176038865813098e-09
1817,1.556873407970727e-09,1.556873407970727e-09
1818,0.0,1.4305412854298538e-08
1819,0.0,7.24573512300708e-09
1820,0.0,0.0
1821,0.0,6.903041693817613e-09
1822,1.2030739071633434e-08,0.0
1823,9.882686891060644e-10,9.882686891060644e-10
1824,8.421112696055388e-09,0.0
1825,2.641632912414593e-09,0.0
1826,0.0,2.642395191543301e-09
1827,9.217273055917019e-10,1.566936447261469e-08
1828,8.255071293206129e-09,1.559291185060374e-08
1829,4.286587973467704e-09,6.858540846366168e-09
1830,0.0,9.39315203396518e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,0.0
1833,0.0,0.0
1834,1.0267983796552471e-08,3.733812370398937e-09
1835,0.0,3.025235173481633e-09
1836,2.016224964762614e-09,0.0
1837,0.0,2.7831563720326358e-09
1838,2.5248647617104325e-09,5.049729523420865e-09
1839,1.3982950353153e-09,5.5931801412612e-09
1840,6.369688665408546e-10,6.3696887764308485e-09
1841,9.630822361827995e-09,1.2841097074556274e-09
1842,2.0124795163667386e-09,1.609983613093391e-08
1843,2.3627644285539873e-09,8.269675610961258e-09
1844,6.586273748609983e-09,6.586273748609983e-09
1845,1.674068439427856e-09,7.812318791877715e-09
1846,1.7563503984519002e-09,4.0981511517657054e-09
1847,0.0,1.0786447290911383e-09
1848,6.43617736884039e-09,6.43617736884039e-09
1849,0.0,8.379414939696517e-10
1850,0.0,1.3577992064028876e-09
1851,0.0,5.159551008659946e-09
1852,6.510545436100301e-09,0.0
1853,5.971931837933653e-10,3.5831591027601917e-09
1854,7.27393034694046e-09,1.7145692865483397e-08
1855,4.776243400783642e-09,1.3798036491152743e-08
1856,5.177189232874468e-10,4.659470143053568e-09
1857,5.857811125054013e-09,1.610898081594314e-08
1858,8.31924928945682e-09,1.4191660291373864e-08
1859,5.092173349652285e-10,1.9350258284589472e-08
1860,4.577183909670879e-10,3.661747127736703e-09
1861,2.357981809808507e-09,7.545541969022906e-09
1862,2.2589932147099034e-09,1.0391368654438793e-08
1863,3.496234635136375e-09,1.548332484446746e-08
1864,5.753673537611803e-09,3.835782358407869e-09
1865,4.706844358715045e-10,7.530950973944073e-09
1866,0.0,2.432806400776144e-09
1867,9.7056229719783e-10,1.8925964795357686e-08
1868,9.87974813071446e-10,0.0
1869,0.0,5.860222973552709e-09
1870,2.2936195165357276e-09,9.17447806614291e-09
1871,1.0621177271019633e-09,0.0
1872,1.2094678591978436e-09,1.2094678591978436e-09
1873,5.986004469882289e-10,2.0352414864532875e-08
1874,0.0,8.364453130127458e-09
1875,5.721527140956084e-10,5.721527251978387e-09
1876,7.255217759905008e-09,0.0
1877,1.2369631985365004e-09,2.4739263970730008e-09
1878,6.039088673581716e-10,5.435179861734696e-09
1879,3.0546627449723474e-09,1.832797580370027e-09
1880,6.417846254436199e-10,1.9253538763308597e-09
1881,0.0,4.8807553554297556e-09
1882,0.0,2.6621540527571597e-09
1883,0.0,1.2638677882037541e-09
1884,0.0,3.9610181801208455e-09
1885,5.80107206715752e-09,1.2891271383708158e-09
1886,0.0,5.162771099520569e-09
1887,6.528924623161458e-10,3.264462256069578e-09
