year,veuillez_VERB ajouter_VERB
1800,3.144164484325529e-09
1801,4.7623651688866175e-09
1802,1.7902721083373763e-08
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,0.0
1819,1.035105001712111e-09
1820,1.898636980968149e-08
1821,1.97229765852569e-09
1822,5.012807946513931e-09
1823,2.9648060007048116e-08
1824,3.3684450784221553e-09
1825,1.7610886082763955e-09
1826,0.0
1827,5.530363722527909e-09
1828,0.0
1829,6.858540846366168e-09
1830,8.349468894053302e-09
1831,0.0
1832,0.0
1833,3.4750886612755494e-09
1834,9.334530925997342e-10
1835,7.563087933704082e-09
1836,1.3441500135158435e-09
1837,7.653680356156656e-09
1838,0.0
1839,1.3283802502428443e-08
1840,5.732719632334238e-09
1841,1.3483152372373297e-08
1842,6.037438549100216e-09
1843,5.31621990873532e-09
1844,4.939705144924034e-09
1845,0.0
1846,1.7563503984519002e-09
1847,0.0
1848,1.045878805783218e-08
1849,4.1897072478036534e-09
1850,4.752297222410107e-09
1851,6.449438760824933e-10
1852,7.161600201754936e-09
1853,3.5831591027601917e-09
1854,0.0
1855,5.306937111981824e-10
1856,4.141751386299575e-09
1857,0.0
1858,5.3830437884982985e-09
1859,3.5645213447565993e-09
1860,2.288591982591015e-09
1861,3.772771095533756e-09
1862,8.58417428806213e-09
1863,1.9978483867255648e-09
1864,5.753673537611803e-09
1865,1.4120533076145136e-09
1866,9.731225825149181e-10
1867,2.426405742994575e-09
1868,4.93987406535723e-10
1869,5.371871170112286e-09
1870,5.734048791339319e-10
1871,0.0
1872,1.2094678591978436e-09
1873,6.584604750337064e-09
1874,1.1949218281515073e-09
1875,1.1443054059867563e-08
1876,1.5115037221846706e-08
1877,1.8554447978047506e-09
1878,3.0195443923020093e-09
1879,1.832797580370027e-09
1880,6.417846254436199e-09
1881,4.183504542787375e-09
1882,4.658769592325029e-09
1883,3.791603475633565e-09
1884,1.0562715146988921e-08
