year,avions_VERB emporté_VERB,avions_VERB remporté_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,0.0,4.475680270843441e-09
1803,5.851017448321727e-09,5.851017448321727e-09
1804,5.438072037122765e-08,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,3.701041606518629e-08,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,2.259030518203531e-09
1810,4.212228077449254e-08,0.0
1811,0.0,0.0
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,4.670620334934483e-09,0.0
1818,1.1921176934492905e-08,2.384235475716423e-09
1819,0.0,0.0
1820,1.1866481131050932e-08,1.1866481131050932e-09
1821,9.86148829262845e-10,9.86148829262845e-10
1822,3.0076847679083585e-09,1.0025615893027862e-09
1823,1.9765373782121287e-09,1.9765373338032077e-08
1824,2.2737005167527968e-08,4.463189640091514e-08
1825,4.4027217427355936e-09,2.289415235168235e-08
1826,8.807984341885344e-10,0.0
1827,9.217273055917019e-10,8.295545583791863e-09
1828,2.0179061976932644e-08,3.668920500743411e-09
1829,6.001223074036943e-09,3.429270423183084e-09
1830,9.39315203396518e-09,0.0
1831,7.795603274018958e-09,0.0
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,2.3167256557599103e-08,1.7375443306377747e-08
1834,8.401078055442213e-09,2.0535967593104942e-08
1835,1.2100940693926532e-08,9.075705520444899e-09
1836,2.016224964762614e-09,5.376600054063374e-09
1837,1.87863058442872e-08,2.0873672568200163e-08
1838,2.2723781967215473e-08,6.312161904276081e-09
1839,7.690622361167243e-09,4.194885327990505e-09
1840,8.280594876453051e-09,1.2102408852854296e-08
1841,2.5682194149112547e-08,3.852329122366882e-09
1842,1.542900918138912e-08,4.695785538189057e-09
1843,2.953455480181333e-09,8.860366662588604e-09
1844,1.097712254427563e-09,5.488561161115513e-09
1845,1.0044410636567136e-08,5.580227835366713e-09
1846,8.781752214304106e-09,1.1709002656346001e-08
1847,9.168480197274675e-09,3.235934187273415e-09
1848,0.0,8.84974404868899e-09
1849,8.379414939696517e-10,0.0
1850,6.1100964288129944e-09,2.0366988096043315e-09
1851,4.5791015423901626e-08,1.2898877521649865e-09
1852,1.6276363368206148e-08,6.510545436100301e-10
1853,7.763511611358354e-09,1.1943863675867306e-09
1854,1.7145692865483397e-08,7.79349651480743e-09
1855,2.600399184871094e-08,2.653468555990912e-09
1856,1.6049286344355096e-08,1.0354378465748937e-09
1857,1.3668225662399891e-08,2.9289055625270066e-09
1858,1.1255455234504552e-08,6.361778659424999e-09
1859,8.656694916453489e-09,1.5276520048956854e-09
1860,1.327383358784573e-08,1.0527522853465143e-08
1861,1.131831339762357e-08,9.903524222920623e-09
1862,3.6143890103090826e-09,2.710791813242963e-09
1863,8.990317823531768e-09,1.9978483312144135e-09
1864,1.821996598039277e-08,4.794727948009836e-10
1865,2.2122168985561075e-08,4.23615986733239e-09
