year,pourrions_VERB apporter_VERB,pourrions_VERB rapporter_VERB
1800,6.288328968651058e-09,2.829747991484055e-08
1801,2.3811825844433088e-09,2.6193008650921e-08
1802,1.1189200677108602e-08,1.320325679898815e-07
1803,0.0,7.996391104825307e-08
1804,0.0,1.1123329102247226e-07
1805,0.0,6.254330742194725e-08
1806,0.0,3.458002950651462e-08
1807,0.0,5.97860605466849e-08
1808,6.798221985349073e-09,2.039466551195801e-08
1809,0.0,1.1746958961111886e-07
1810,1.6380887757350138e-08,7.254392642153107e-08
1811,0.0,3.760615285841595e-08
1812,5.3344164641089264e-09,1.440292436427626e-07
1813,0.0,5.7514832008109806e-08
1814,0.0,5.349351184236184e-08
1815,0.0,2.0498899289123074e-07
1816,1.622322720606917e-08,1.7382029682266875e-07
1817,1.2454987263765815e-08,7.628679554727569e-08
1818,8.344824387052086e-09,1.9193095113223535e-07
1819,5.175524897538253e-09,6.314140676977331e-08
1820,0.0,3.797273961936298e-08
1821,1.7750679148775816e-08,7.494730880353018e-08
1822,1.1028177482330648e-08,9.323822780515911e-08
1823,4.941343334508019e-09,5.929612001409623e-08
1824,3.452656116564867e-08,1.1452713266635328e-07
1825,2.905796137042671e-08,4.9310479255382234e-08
1826,7.927186018719112e-09,1.1186140369545683e-07
1827,4.608636583469661e-09,9.309445658800541e-08
1828,8.255071293206129e-09,6.420610532131832e-08
1829,1.2859763920403111e-08,7.372931065674493e-08
1830,9.39315203396518e-09,7.097048637660919e-08
1831,9.354723218280014e-09,4.677361786775691e-08
1832,2.705993873419743e-09,5.411987658021644e-08
1833,8.108539617524002e-09,5.3284690437749305e-08
1834,8.401078055442213e-09,8.494423298088805e-08
1835,1.8907719834260206e-08,5.445423312266939e-08
1836,1.68018754465038e-08,5.645430078971003e-08
1837,5.5663127440652715e-09,5.0792603900617905e-08
1838,1.2624323808552163e-08,5.112851297894849e-08
1839,2.23727205650448e-08,7.410963576148788e-08
1840,1.2739377552861697e-08,6.942960339983983e-08
1841,1.219904177673925e-08,6.805781538332667e-08
1842,2.95163662400455e-08,7.71450459069456e-08
1843,1.1223130869097986e-08,4.4892523476391943e-08
1844,7.683985892015244e-09,5.3239045172404076e-08
1845,1.7298706467272496e-08,6.138250796539069e-08
1846,1.2879903366069811e-08,5.1519613464279246e-08
1847,1.0247124926365814e-08,2.3190860787281053e-08
1848,8.84974404868899e-09,4.98803736093123e-08
1849,3.1841775438579134e-08,5.111443002192573e-08
1850,2.987158254086353e-08,4.6844071732721204e-08
1851,2.5152811389261842e-08,5.804495017969202e-08
1852,1.9531636752390114e-08,6.510545347282459e-08
1853,1.0749477752369785e-08,4.777545470346922e-08
1854,2.0782657372819813e-08,4.676098086520142e-08
1855,2.175844215912548e-08,4.2986190607052777e-08
1856,8.28350277259915e-09,3.36517302912398e-08
1857,1.122747050885664e-08,3.221796163188628e-08
1858,4.893676130990343e-09,2.6915218498402282e-08
1859,2.036869339860914e-08,2.9025388315062628e-08
1860,1.9681891672007623e-08,3.524431591017674e-08
1861,2.357981809808507e-09,3.065376574795664e-08
1862,2.3945327498609004e-08,4.563166200455271e-08
1863,1.548332484446746e-08,2.5472566278494924e-08
1864,8.151037178549814e-09,2.0617330065419992e-08
1865,9.88437331983505e-09,2.9653119071326728e-08
1866,1.3137154475373336e-08,2.77339928800302e-08
1867,6.79393608038481e-09,3.591080499631971e-08
1868,2.4699369660652337e-08,2.667531973088444e-08
1869,8.30198221279943e-09,1.660396442559886e-08
1870,1.77755516972411e-08,2.8096838633473453e-08
1871,1.805600113868877e-08,1.274541272522356e-08
1872,2.237515595027162e-08,2.0560953828407946e-08
1873,2.1549615425442425e-08,2.7535620006347017e-08
1874,3.5847653734322193e-09,1.6131444624534197e-08
1875,9.154443425529735e-09,1.3159512590732447e-08
1876,3.3857681103199866e-08,3.4462285469771814e-08
1877,9.27722432209066e-09,3.030559980743419e-08
1878,1.3285995414946683e-08,2.6571990829893366e-08
1879,1.0996785704264767e-08,1.0996785704264767e-08
1880,4.492492600149944e-09,1.7969970400599777e-08
1881,1.324776466304911e-08,1.8128519130300447e-08
1882,7.986462158271479e-09,1.6638463051776853e-08
1883,8.847074184359371e-09,1.516641390253426e-08
1884,1.5183903911974994e-08,1.650424152899177e-08
1885,2.5782542767416317e-09,1.2891271161663553e-08
1886,5.808117542471791e-09,1.2261581083805595e-08
1887,7.834709769838355e-09,1.6322312390570914e-08
1888,1.5851536971922542e-08,9.510921827882157e-09
1889,2.380751951136517e-08,1.4409814674820609e-08
1890,1.3764211992395303e-08,1.5075089621063853e-08
1891,6.3742202627281586e-09,1.1473596295275001e-08
1892,1.4417578242387208e-08,6.8953633913793055e-09
1893,1.4780200174868696e-08,1.3548516086814288e-08
1894,1.3863386882917439e-08,1.0082462864602348e-08
1895,1.8657704714541978e-08,1.9259566386153892e-08
1896,1.1794058174530164e-08,5.307326134129653e-09
1897,7.574727511894253e-09,6.992056267307589e-09
1898,1.2448380992680086e-08,1.584339415217073e-08
1899,1.4371703827009696e-08,1.7688250864011934e-08
1900,1.349673794948103e-08,6.22926377147337e-09
1901,1.620734302321125e-08,1.3412973842719111e-08
1902,1.1293653123800595e-08,1.178468167495339e-08
1903,4.860198465905796e-09,2.7001101354784396e-09
1904,9.674325340824907e-09,8.061937784020756e-09
1905,1.7030505006232488e-08,1.8062657147766004e-08
1906,8.230695236477459e-09,1.2346042410626978e-08
1907,1.0285686968813934e-08,1.131425531042396e-08
1908,2.0136695866312948e-08,1.1787333775714615e-08
1909,7.701377313651392e-09,7.701377313651392e-09
1910,1.9238942883248455e-08,7.481810726517324e-09
1911,1.1172785363555704e-08,1.1172785363555704e-08
1912,2.135862686714063e-08,4.688478938419394e-09
1913,1.6439267724877027e-08,1.0605979205990934e-08
1914,1.339348720819089e-08,1.4063162190325329e-08
1915,7.068456930880984e-09,1.5314990164938536e-08
1916,2.5271162940043723e-08,1.538244731591476e-08
1917,1.7546279096336548e-08,1.973956464951243e-08
1918,1.722956355365568e-08,6.89182577673364e-09
1919,1.4732557396257562e-08,1.1049418269237776e-08
1920,1.4387239843927091e-08,1.0601124422748853e-08
1921,1.8931869405491852e-08,6.058197943303867e-09
1922,7.377935595798135e-09,1.623145884366295e-08
1923,5.307974060286824e-09,2.1231896241147297e-09
1924,5.156649773851996e-09,1.0313299547703991e-08
1925,1.6497267552040284e-08,3.299453377181294e-09
1926,1.3375366592072169e-08,1.2260752413340015e-08
1927,1.6723836537835268e-08,1.2264147031260109e-08
1928,7.998228745975666e-09,4.570416489713125e-09
1929,1.3368487650211591e-08,5.570202965543558e-09
1930,1.6805765667982087e-08,5.2518016602221e-09
1931,9.124285327288817e-09,7.983749661377715e-09
1932,2.520693342944469e-08,3.287861094491973e-09
1933,4.588264879146209e-09,5.735331320977366e-09
1934,2.036868629318178e-08,3.5944740517379614e-09
1935,8.377798899061872e-09,9.574627313213568e-09
1936,6.0623572828433225e-09,8.487299751891442e-09
