year,pourrais_VERB entrer_VERB,pourrais_VERB rentrer_VERB
1800,3.772997558826319e-08,0.0
1801,1.904946067554647e-08,2.3811825844433088e-09
1802,0.0,2.2378401354217203e-09
1803,5.851017448321727e-09,1.950339223455444e-09
1804,9.887403784603066e-09,0.0
1805,1.9900143755080535e-08,0.0
1806,1.152667650217154e-08,0.0
1807,5.693910232196231e-09,1.1387820464392462e-08
1808,1.1330369531492579e-08,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,4.680253518074551e-09,0.0
1811,2.2563691359778204e-08,0.0
1812,8.00162425207418e-09,0.0
1813,5.7514832008109806e-08,0.0
1814,2.2026739543434815e-08,3.1466772298927026e-08
1815,5.664169577812572e-08,2.697223555614414e-09
1816,2.0858434979231788e-08,6.952811659743929e-09
1817,4.670620157298799e-08,0.0
1818,4.172412104708201e-08,0.0
1819,3.9333990287104825e-08,0.0
1820,3.085285271708926e-08,0.0
1821,4.536284592404627e-08,9.86148829262845e-10
1822,3.8097340393505874e-08,8.02049271442229e-09
1823,1.1859224713361982e-08,0.0
1824,2.0210670470532932e-08,0.0
1825,4.0505039322624725e-08,1.7610886082763955e-09
1826,3.3470339388941284e-08,0.0
1827,2.3043183361437514e-08,0.0
1828,2.109629271274116e-08,9.172301251858528e-10
1829,2.0575622983187714e-08,8.57317605795771e-10
1830,4.5922078584226256e-08,0.0
1831,5.456922025359745e-08,0.0
1832,3.788391467196561e-08,1.3529969367098715e-09
1833,4.170106393530659e-08,0.0
1834,3.547121707470069e-08,4.667265685043276e-09
1835,3.932805725526123e-08,7.563087933704082e-09
1836,3.629205025390547e-08,3.36037508930076e-09
1837,1.6003149028165353e-08,9.74104708006962e-09
1838,3.787297231383491e-08,1.8936485712828244e-09
1839,3.635567225046543e-08,0.0
1840,3.3122379505812205e-08,7.0066574764382494e-09
1841,4.55858959469424e-08,2.5682194149112547e-09
1842,6.238686722781495e-08,2.0124795163667386e-09
1843,3.4260082770742883e-08,2.953455480181333e-09
1844,2.9638231424655714e-08,1.6465684371524958e-09
1845,5.022205229465726e-08,1.674068439427856e-09
1846,2.6345256642912318e-08,5.854501328173001e-10
1847,3.66739207890987e-08,5.393223645455691e-10
1848,2.333114323960217e-08,3.218088684420195e-09
1849,3.4355601030711114e-08,8.379414939696517e-10
1850,4.2091777174846357e-08,1.3577992064028876e-09
1851,1.2898877521649865e-08,1.2898877521649865e-08
1852,2.278690836021724e-08,7.161600201754936e-09
1853,1.4929829816878737e-08,2.388772735173461e-09
1854,2.1302223984775992e-08,1.6626126253527218e-08
1855,1.0613874223963649e-08,5.306937111981824e-09
1856,1.2942972915652717e-08,1.5531567143511893e-09
1857,2.782460128969433e-08,1.2691923956253959e-08
1858,3.1808895073481835e-08,1.9574704079872163e-09
