year,plus_ADV rusé_VERB
1800,0.0
1801,3.5717739876872656e-08
1802,5.594600338554301e-08
1803,1.3652374120098898e-08
1804,1.2359254952798437e-08
1805,2.842877755426798e-08
1806,8.645007376628655e-09
1807,8.540865792383556e-09
1808,1.5862517521725295e-08
1809,6.325285539787728e-08
1810,2.574139479349924e-08
1811,4.262030373070047e-08
1812,2.400487453257938e-08
1813,3.163315653864629e-08
1814,6.293354282149721e-09
1815,1.8880564667256294e-08
1816,2.3176038865813098e-08
1817,1.0898113522728181e-08
1818,1.5497530370112145e-08
1819,2.5877625375869684e-08
1820,2.7292905713238724e-08
1821,8.875339574387908e-09
1822,1.1028177482330648e-08
1823,2.174191138237802e-08
1824,2.77896727851612e-08
1825,2.3774695989686734e-08
1826,1.0569580766173203e-08
1827,8.295545583791863e-09
1828,1.4675682002973645e-08
1829,1.5431716349212365e-08
1830,1.7742620928018482e-08
1831,1.5591206548037917e-08
1832,6.764984572527055e-09
1833,1.9692167896323554e-08
1834,7.467624740797874e-09
1835,2.117664621437143e-08
1836,8.736974699274924e-09
1837,1.0436836284100082e-08
1838,1.3886755745318169e-08
1839,1.1885507689157748e-08
1840,2.165694112932215e-08
1841,3.338685417020315e-08
1842,1.6770663080478698e-08
1843,1.6539351221922516e-08
1844,2.195424464446205e-08
1845,3.5155436339806556e-08
1846,4.039605983052752e-08
1847,1.77976389181822e-08
1848,1.850401076808339e-08
1849,1.4245005175439474e-08
1850,1.968808760466345e-08
1851,2.3217978650791338e-08
1852,7.161600201754936e-09
1853,2.5679307569248522e-08
1854,1.0391329130499116e-08
1855,2.600399184871094e-08
1856,1.863788057221427e-08
1857,2.0014186807859602e-08
1858,2.0064071071246303e-08
1859,1.9350258284589472e-08
1860,1.7851017636294486e-08
1861,1.4619487842537637e-08
1862,1.762014717465732e-08
1863,3.146611149418277e-08
1864,7.1920918109924514e-09
1865,1.1296426682960714e-08
1866,1.4110277390955162e-08
1867,1.2132028714972876e-08
1868,4.44588676984381e-09
1869,1.0743741896135361e-08
1870,1.9495765002375265e-08
1871,2.1242354542039266e-09
1872,2.0560953828407946e-08
1873,1.616221290134945e-08
1874,1.4339061493728877e-08
1875,8.58229043387837e-09
1876,2.9020870595530823e-08
1877,8.040260901509555e-09
1878,1.328599530392438e-08
1879,2.5659166014158075e-08
1880,9.626769603698904e-09
1881,2.022027167924989e-08
1882,1.6638463051776853e-08
1883,4.423537369735442e-09
1884,6.601696966868076e-09
1885,3.86738152613475e-09
1886,1.6779006128953e-08
1887,2.0892558794116667e-08
1888,2.028996703984376e-08
1889,1.1277246247942685e-08
1890,1.7041404731799048e-08
1891,2.5496880162734215e-09
1892,9.402768341715273e-09
1893,4.310891643655168e-09
1894,2.520615716150587e-09
1895,6.018614495673091e-09
1896,1.6511680911435178e-08
1897,4.661370844871726e-09
1898,1.2448380992680086e-08
1899,9.39688327150634e-09
1900,6.22926377147337e-09
1901,1.117747761014698e-08
1902,3.928227132465878e-09
1903,7.560307935250421e-09
1904,8.599400302955473e-09
1905,1.2901897328276846e-08
1906,6.173021205313489e-09
1907,7.199980611716228e-09
1908,1.4243028090277221e-08
1909,9.351672325408344e-09
1910,3.740905363258662e-09
1911,7.980561100850991e-09
1912,4.167536982180309e-09
1913,7.424185766158331e-09
1914,1.0714789944188396e-08
1915,5.890381071793627e-09
1916,2.0876178119522137e-08
1917,5.483212106582869e-09
1918,1.2635013924011673e-08
1919,3.6831393490643904e-09
1920,1.8930579770426448e-08
1921,7.572747762196741e-09
1922,3.6889677978990676e-09
1923,1.6985516992917837e-08
1924,2.578324886925998e-09
1925,4.399271169575059e-09
1926,7.802296586589819e-09
1927,1.0034302277972529e-08
1928,2.399468712610542e-08
1929,4.4561625500705304e-09
1930,6.302162347537887e-09
1931,1.0264820993199919e-08
