year,jeunes_ADJ oies_NOUN,jeunes_ADJ rois_NOUN
1800,2.2009151834367913e-08,0.0
1801,4.524246932646747e-08,2.6193008650921e-08
1802,3.8043282302169246e-08,5.594600338554301e-08
1803,1.950339223455444e-09,2.3404070015331513e-08
1804,7.4155526164076946e-09,2.2246657849223084e-08
1805,2.842877711017877e-09,1.0234359670846516e-07
1806,5.76333825108577e-09,1.152667650217154e-08
1807,0.0,1.7081730252499483e-08
1808,2.2660739951163578e-09,4.7587553009265093e-08
1809,0.0,1.581321384946932e-08
1810,0.0,3.978215445954447e-08
1811,2.5070767684098882e-09,7.52123057168319e-08
1812,0.0,1.8670457180292033e-08
1813,0.0,4.601186631703058e-08
1814,0.0,3.1466772298927026e-08
1815,0.0,7.012781111370714e-08
1816,6.952811659743929e-09,5.3304891167726964e-08
1817,0.0,9.341240669868967e-09
1818,4.768470951432846e-09,6.199011903795792e-08
1819,0.0,1.2835302243274782e-07
1820,1.0679833017945839e-08,4.50926265216367e-08
1821,2.9584464655840748e-08,6.607197011732069e-08
1822,1.0025615893027862e-08,3.0076847679083585e-08
1823,5.929612356680991e-09,4.842516432290722e-08
1824,0.0,1.0021123841852386e-07
1825,4.4027217427355936e-09,5.723537910284904e-08
1826,1.7615968683770689e-09,6.694067877788257e-08
1827,1.8434546111834038e-09,2.21214555007343e-08
1828,5.503380862137419e-09,5.870272623553774e-08
1829,2.571952872898464e-09,3.172075191404389e-08
1830,7.305785310052215e-09,4.383470941782264e-08
1831,1.5591206103948707e-09,1.2472964883158966e-08
1832,2.705993873419743e-09,5.411987746839486e-09
1833,4.6334514003376626e-09,4.285942678539101e-08
1834,1.3068342852307069e-08,1.8669062740173104e-08
1835,6.806779140333674e-09,9.302598158456021e-08
1836,6.048674894287842e-09,5.1749776019960336e-08
1837,3.478945576063097e-09,4.1747345913556444e-08
1838,4.418513332993257e-09,4.986607748946881e-08
1839,2.7965900706306e-09,2.1533743677082384e-07
1840,5.732719632334238e-09,5.223144583510475e-08
1841,7.0626033910059505e-09,2.3756030032018316e-08
1842,8.720744570922534e-09,5.366612043644636e-08
1843,4.1348376944583265e-09,5.493427224223524e-08
1844,3.2931368743049916e-09,7.135129842517074e-08
