year,ces_DET août_NOUN,ces_DET routes_NOUN
1800,3.144164484325529e-09,1.1318991894881947e-06
1801,0.0,6.19107503041505e-07
1802,1.1189200677108602e-08,6.982060938298673e-07
1803,0.0,4.992868412045937e-07
1804,0.0,6.822308407095079e-07
1805,0.0,7.675769708725966e-07
1806,0.0,9.307791160040324e-07
1807,0.0,5.722380009842709e-07
1808,0.0,6.82088266756864e-07
1809,2.259030518203531e-09,8.990941466890945e-07
1810,0.0,8.237246333919757e-07
1811,0.0,9.426608826856864e-07
1812,2.6672082320544632e-09,7.414838716357508e-07
1813,0.0,1.7053147871592955e-06
1814,0.0,1.2555242108192033e-06
1815,0.0,6.635170084479114e-07
1816,0.0,5.724481368929446e-07
1817,0.0,5.511331604424186e-07
1818,0.0,8.332903007612913e-07
1819,0.0,1.0527017977324249e-06
1820,0.0,7.499615861661368e-07
1821,0.0,5.88730824091499e-07
1822,0.0,6.967803045654364e-07
1823,0.0,8.133451530056846e-07
1824,8.421112696055388e-10,8.741114712051967e-07
1825,0.0,8.567696312411499e-07
1826,0.0,9.151495774517571e-07
1827,9.217273055917019e-10,9.106665679325943e-07
1828,0.0,5.989512787962781e-07
1829,0.0,1.0373543446462463e-06
1830,0.0,8.839999878773597e-07
1831,3.1182412207897414e-09,1.2722424216349282e-06
1832,0.0,9.646867908941203e-07
1833,1.1583628500844156e-09,1.3274838153165547e-06
1834,0.0,1.2134890710058244e-06
1835,7.563087933704082e-10,1.0686643321378142e-06
1836,1.3441500135158435e-09,8.192594265210573e-07
1837,3.478945576063097e-09,1.025593121539714e-06
1838,0.0,9.424057765272664e-07
1839,0.0,9.501414837131961e-07
1840,1.910906599622564e-09,9.503575739699954e-07
1841,0.0,9.1878050767491e-07
1842,6.708265054555795e-10,1.0002023032029683e-06
1843,0.0,1.0272118124987628e-06
1844,0.0,8.781698284110462e-07
1845,3.3481367123222583e-09,1.0697297341266676e-06
1846,0.0,9.062767993839316e-07
1847,5.393223645455691e-10,8.515900127292753e-07
1848,0.0,5.720152742583196e-07
1849,0.0,7.993961617103196e-07
1850,0.0,7.528996412986544e-07
1851,0.0,8.229483938748672e-07
1852,0.0,7.786612528093428e-07
1853,2.388772735173461e-09,9.017616875439671e-07
1854,0.0,8.946934357823011e-07
1855,0.0,8.066544374685236e-07
1856,0.0,6.580207383422021e-07
1857,1.4644527812635033e-09,8.215580038495318e-07
1858,9.787352039936081e-10,7.272002591207638e-07
1859,0.0,7.852131318486499e-07
1860,0.0,8.399132198633197e-07
1861,1.4147891747029462e-09,7.446506486985527e-07
1862,0.0,8.222734919627328e-07
1863,0.0,1.1133010247021957e-06
1864,4.794727948009836e-10,8.203779273685541e-07
1865,4.706844358715045e-10,8.552336225875479e-07
1866,0.0,8.685118828566374e-07
1867,9.7056229719783e-10,7.502446450757816e-07
1868,4.93987406535723e-10,8.056934888145406e-07
1869,9.767038289254515e-10,7.647591147019739e-07
1870,0.0,7.591880333279732e-07
1871,0.0,8.688122790090347e-07
1872,6.047339295989218e-10,5.96267632602121e-07
1873,0.0,8.128994295475422e-07
1874,1.1949218281515073e-09,8.842421763688435e-07
1875,1.1443054281912168e-09,7.65540313807378e-07
1876,0.0,7.267310024872131e-07
1877,0.0,6.667231815526975e-07
1878,0.0,7.790424518816508e-07
1879,0.0,7.068489367156872e-07
1880,0.0,8.798867412451727e-07
1881,0.0,7.167738047542116e-07
1882,0.0,6.422446467979626e-07
1883,0.0,6.88807915594225e-07
1884,0.0,6.885569945325187e-07
1885,0.0,7.270677144788351e-07
1886,0.0,7.711889438155595e-07
1887,3.2644623670918804e-09,7.436444988684343e-07
1888,0.0,6.067968030265547e-07
1889,6.265136742733546e-10,6.265136747174438e-07
1890,0.0,6.213558307877065e-07
1891,0.0,6.629189002183011e-07
1892,0.0,8.123992145669945e-07
1893,0.0,7.057545374777874e-07
1894,0.0,6.055779095959224e-07
1895,1.2037228991346183e-09,6.644550367695956e-07
1896,0.0,6.286233116270523e-07
1897,0.0,6.409384667449558e-07
1898,0.0,5.901664046348287e-07
1899,0.0,5.522050869899431e-07
1900,0.0,7.833299093817914e-07
1901,0.0,6.253799114119829e-07
1902,0.0,5.695929345961304e-07
1903,1.0800440541913758e-09,7.819518970109129e-07
1904,0.0,6.202317734960161e-07
1905,5.160759042333041e-10,6.311608444775629e-07
1906,5.144184522798412e-10,6.049561029897177e-07
1907,5.142843373384665e-10,6.490268305014979e-07
1908,9.822778146428846e-10,7.573361955337532e-07
1909,0.0,5.677015231242422e-07
1910,5.344150677544235e-10,5.830468623457818e-07
1911,0.0,6.565341763575816e-07
1912,0.0,5.886646121666672e-07
1913,0.0,5.955257407208592e-07
1914,0.0,6.415480662269601e-07
1915,1.1780761921542648e-09,6.85640344499916e-07
1916,0.0,7.537398687418317e-07
1917,1.0966424435210342e-09,6.843048936389096e-07
1918,0.0,8.120867747152261e-07
1919,0.0,8.093698582456454e-07
1920,0.0,6.996742101250675e-07
1921,7.572747429129834e-10,5.528105404550843e-07
1922,0.0,7.17135321792739e-07
1923,1.0615948120573648e-09,7.473627476883848e-07
1924,0.0,6.26532951741865e-07
1925,0.0,6.96184642379194e-07
