year,pourrons_VERB amener_VERB,pourrons_VERB ramener_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,1.97229765852569e-09
1822,0.0,1.0025615893027862e-09
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,1.7615968683770689e-09,1.7615968683770689e-09
1827,7.373818444733615e-09,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,0.0,0.0
1833,0.0,1.1583628500844156e-09
1834,4.667265685043276e-09,1.3068342852307069e-08
1835,0.0,0.0
1836,0.0,6.720750067579218e-10
1837,6.957890930081589e-10,6.957890930081589e-10
1838,0.0,3.1560809521380406e-09
1839,0.0,3.4957374772659477e-09
1840,0.0,6.369688665408546e-10
1841,0.0,0.0
1842,0.0,6.708265054555795e-10
1843,0.0,2.953455480181333e-09
1844,5.488561272137815e-10,1.6465684371524958e-09
1845,0.0,1.674068439427856e-09
1846,0.0,2.3418005312692003e-09
1847,1.0786447290911383e-09,3.775256551818984e-09
1848,3.218088684420195e-09,8.045221711050488e-10
1849,0.0,2.513824481908955e-09
1850,6.788996032014438e-10,2.0366988096043315e-09
1851,5.159551008659946e-09,0.0
1852,6.510545436100301e-10,7.161600201754936e-09
1853,5.971931837933653e-10,0.0
1854,0.0,5.195664454227256e-10
1855,1.5920811335945473e-09,3.714855978387277e-09
1856,0.0,1.5531567143511893e-09
1857,0.0,2.4407544874094356e-09
1858,0.0,4.893676019968041e-10
1859,1.018434669930457e-09,5.092173349652285e-10
1860,2.288591982591015e-09,5.950338888283113e-09
1861,0.0,4.715963730639317e-10
1862,4.517986262886353e-10,0.0
1863,1.9978483312144135e-09,0.0
1864,4.315255264231155e-09,4.794728170054441e-09
1865,4.706844358715045e-10,0.0
1866,9.731225825149181e-10,4.865612912574591e-10
1867,3.396968040192405e-09,2.91168689159349e-09
1868,4.93987406535723e-10,9.385760613156435e-09
1869,0.0,9.767038289254515e-10
1870,1.7202146374017957e-09,4.013834153937523e-09
1871,1.0621177271019633e-09,4.248470908407853e-09
1872,0.0,3.628403577593531e-09
1873,3.591602570907071e-09,0.0
1874,0.0,4.182226565063729e-09
1875,5.721527140956084e-10,5.149374260327022e-09
1876,0.0,4.836811839936672e-09
1877,6.184815992682502e-10,6.184816214727107e-09
1878,4.831270938865373e-09,7.2469061862534545e-09
1879,6.10932526790009e-10,5.498392852132383e-09
1880,0.0,0.0
1881,3.4862537301449947e-09,1.3945015142624584e-09
1882,3.3276925659464496e-09,3.3276925659464496e-09
1883,3.159669414998234e-09,1.579834751908038e-08
1884,3.9610181801208455e-09,6.601696966868076e-10
1885,4.511945039809007e-09,6.445635691854079e-10
1886,6.453463874400711e-10,6.453463874400711e-10
1887,6.528924623161458e-10,6.528924623161458e-10
1888,5.07249175996094e-09,1.9021844099853524e-09
1889,4.385595886446936e-09,3.132568426877924e-09
1890,1.3108772956016423e-09,1.9663159989136147e-09
1891,6.374220040683554e-10,1.9122659011827636e-09
1892,8.775916882086676e-09,3.1342561879199593e-09
1893,9.23762488724833e-09,6.158416554491453e-10
1894,1.8904617871129403e-09,1.764431090123253e-08
1895,3.0093072478365457e-09,4.213029924926559e-09
1896,3.5382172747233653e-09,1.7691086373616827e-09
1897,5.826713334045053e-09,6.992056267307589e-09
1898,1.6975064687230201e-09,2.8291773368493978e-09
1899,1.1055156790007459e-09,7.738609753005221e-09
1900,2.07642125715779e-09,1.5573159428683425e-09
1901,5.029864968975062e-09,0.0
1902,1.4730852093691738e-09,2.455141867585553e-09
1903,8.640352433531007e-09,2.1600881083827517e-09
1904,3.2247751136083025e-09,1.0749250378694342e-09
1905,2.580379465655369e-09,2.580379465655369e-09
1906,5.144184522798412e-10,4.115347618238729e-09
1907,2.5714217422034835e-09,6.1714118260169926e-09
1908,9.822778146428846e-10,9.822778146428846e-10
1909,1.1001967115120692e-09,1.6502950117569526e-09
1910,5.34415089958884e-09,1.1757131268552712e-08
1911,3.7242617878519013e-09,5.3203743632934675e-09
1912,1.5628263128064646e-09,3.125652625612929e-09
1913,1.0605979205990934e-08,3.71209285532359e-09
1914,6.027069510139427e-09,0.0
1915,4.712304768617059e-09,1.1780761921542648e-09
1916,0.0,4.394984820521586e-09
1917,1.0966424435210342e-09,5.483212106582869e-09
1918,1.4932290071101306e-08,0.0
1919,1.8415696745321952e-09,2.762354567309444e-09
1920,1.514446346106979e-09,1.514446346106979e-09
1921,7.572747429129834e-10,1.5145494858259667e-09
1922,0.0,4.426761179843197e-09
1923,0.0,4.246379248229459e-09
1924,2.578324886925998e-09,7.734974438733389e-09
1925,6.598906754362588e-09,5.499089184013428e-09
1926,3.343841648018042e-09,3.343841648018042e-09
1927,5.574612327308159e-09,0.0
1928,2.2852082448565625e-09,1.1426041224282812e-09
1929,0.0,5.570202965543558e-09
1930,1.0503603542488804e-09,2.100720708497761e-09
1931,9.124285327288817e-09,0.0
1932,2.1919073223131136e-09,0.0
1933,1.1470662197865522e-09,1.1470662197865522e-09
1934,1.1981580172459871e-09,2.3963160344919743e-09
1935,1.196828414151696e-09,3.590485242455088e-09
1936,3.6374143697059935e-09,6.0623572828433225e-09
1937,1.2591118148108649e-09,2.5182236296217297e-09
1938,2.5930428915188486e-09,1.2965214457594243e-09
1939,0.0,0.0
1940,0.0,5.0715658339584024e-09
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,5.806470415592457e-09
1944,0.0,0.0
1945,2.178504043826024e-09,8.714016175304096e-09
1946,0.0,8.352662561605939e-09
1947,3.5762612871081956e-09,3.5762612871081956e-09
1948,4.348755133776194e-09,1.0871887834440486e-09
1949,0.0,5.890204768377316e-09
1950,1.0635361480382244e-09,0.0
1951,1.0661401761424827e-09,3.1984206394497505e-09
1952,0.0,6.326882129314981e-09
1953,4.3095309543161875e-09,0.0
1954,0.0,0.0
1955,1.8771215692936494e-09,1.1262729415761896e-08
1956,8.72114158667614e-10,8.72114114258693e-09
1957,8.835037701437898e-10,1.7670075402875796e-09
1958,3.3088973783179654e-09,8.272243445794913e-10
1959,7.750747821333448e-10,3.100299128533379e-09
1960,2.076250060767393e-09,2.076250060767393e-09
1961,6.948159270159238e-10,6.948159270159238e-10
1962,1.9025869768540815e-09,3.170978146727066e-09
1963,4.526237162849611e-09,3.2330267352165265e-09
1964,0.0,2.4335873316516654e-09
1965,0.0,0.0
1966,2.215629901769489e-09,0.0
1967,3.944268467392931e-09,4.930335584241163e-10
1968,4.4914158503495116e-10,4.491415683816058e-09
1969,0.0,2.7250546263957176e-09
1970,2.7592350626548523e-09,2.2993624781975086e-09
1971,2.569198631618974e-09,1.541519245584766e-09
1972,2.0520587451500205e-09,5.130146862875051e-10
1973,0.0,1.6539611902288698e-09
1974,1.1251143350321513e-09,1.1251143350321513e-09
1975,1.7134440533084216e-09,0.0
1976,2.285410749536254e-09,0.0
1977,2.3507127355770763e-09,5.876781838942691e-10
1978,1.7821774056514528e-09,0.0
1979,4.681578680276743e-09,1.1703946700691858e-09
1980,1.7055452605774235e-09,2.8425752862659692e-09
1981,2.5302198114474095e-09,3.795329828193417e-09
1982,1.8622506869903077e-09,2.483000915987077e-09
1983,1.2630632095778083e-09,1.2630632095778083e-09
1984,3.479405208395292e-09,1.1598016991243298e-09
1985,0.0,6.015558051686298e-10
1986,1.1988970927134801e-09,2.3977941854269602e-09
1987,0.0,0.0
1988,5.996553809062277e-10,4.197587610832443e-09
1989,5.488122178931576e-10,5.488122178931576e-10
1990,5.44865097484859e-10,5.44865097484859e-10
1991,3.5168792322792797e-09,0.0
1992,5.509944167592096e-10,2.2039776670368383e-09
1993,1.1078414852150331e-09,5.539207426075166e-10
1994,4.747434001473039e-09,5.274926606624319e-10
1995,5.422450821690461e-10,3.253470381991974e-09
1996,1.6014276571496566e-09,1.067618438099771e-09
1997,9.58978896292706e-10,9.58978896292706e-10
1998,1.43043876743576e-09,9.536258449571733e-10
1999,9.140402323914998e-10,3.1991407301035224e-09
2000,4.4180314962005696e-10,0.0
2001,1.3143635069212678e-09,8.762423564512289e-10
2002,0.0,2.6287327870022636e-09
2003,0.0,8.333845835650777e-10
2004,2.2023955992267474e-09,1.7619165015858584e-09
2005,2.702249757291497e-09,0.0
2006,0.0,1.2353669198716943e-09
2007,1.997239706952314e-09,1.5977917877663117e-09
2008,8.514879357157668e-10,0.0
2009,3.814554005998616e-09,3.814554005998616e-09
2010,2.3618964561933353e-09,2.8342759250676863e-09
2011,7.64794394481072e-10,3.4415748029203996e-09
2012,3.404252713057332e-10,2.382976926895708e-09
2013,2.5102124823206395e-09,4.183687618564136e-09
2014,1.9489005964601347e-09,2.815078836704288e-09
2015,1.5516027351836215e-09,2.438232948875907e-09
2016,1.86420612280358e-09,2.4856081637381067e-09
2017,1.7609279590047322e-09,2.0124890642847504e-09
2018,2.323319980845895e-09,4.130346731301415e-09
2019,2.2958890344426663e-09,3.3162841361900064e-09
