year,dix_DET oies_NOUN,dix_DET rois_NOUN
1800,0.0,3.45858084394024e-08
1801,7.143547975374531e-09,9.048493621044429e-08
1802,3.1329761895904085e-08,2.663029761151847e-07
1803,1.950339267864365e-08,6.0460517481431e-08
1804,0.0,9.640218356921082e-08
1805,2.842877755426798e-08,1.1655798703991138e-07
1806,0.0,5.763338162267928e-08
1807,2.8469551160981155e-09,8.256169525822088e-08
1808,0.0,1.6315732587202092e-07
1809,1.581321384946932e-08,1.1069249383766078e-07
1810,0.0,6.78636764561702e-08
1811,2.5070767684098882e-09,1.6295999039073195e-07
1812,0.0,4.000812481308458e-08
1813,0.0,5.463909147351842e-08
1814,0.0,5.66401889834367e-08
1815,0.0,2.4814456534016927e-07
1816,0.0,1.0429217667251578e-07
1817,0.0,9.652615440280954e-08
1818,1.668964877410417e-08,1.192117720094643e-07
1819,0.0,1.0454560384065559e-07
1820,0.0,7.950542002532757e-08
1821,0.0,1.3707468493606711e-07
1822,6.015369535816717e-09,1.0426640528748976e-07
1823,1.9765373782121287e-09,1.6998221319397544e-07
1824,0.0,5.810567582642534e-08
1825,1.7610886082763955e-09,8.541279705731597e-08
1826,8.807984341885344e-10,7.662946699404927e-08
1827,9.217273055917019e-10,7.189473316682182e-08
1828,1.8344602503717056e-09,8.071624790773058e-08
1829,0.0,9.601956901805764e-08
1830,4.174734336004349e-09,1.262857161066222e-07
1831,3.1182412207897414e-09,1.0134283856544357e-07
1832,0.0,1.312406965325863e-07
1833,1.1583628500844156e-09,8.224376069065897e-08
1834,0.0,1.3068343096556134e-07
1835,5.294161553592858e-09,9.22696727911898e-08
1836,1.3441500135158435e-09,1.3105462892681885e-07
1837,2.7831562610103333e-09,7.236206600591544e-08
1838,6.312161904276081e-10,8.395175021824741e-08
1839,7.690622361167243e-09,6.99147513216758e-08
1840,5.095750932326837e-09,1.375852775598041e-07
1841,0.0,7.704658333551606e-08
1842,0.0,7.312009087101501e-08
1843,5.906911071384968e-10,1.394030948453917e-07
1844,6.586273748609983e-09,8.232841897104493e-08
1845,1.0602433153650281e-08,8.370342075014747e-08
1846,1.1709002656346001e-09,6.381406736366557e-08
1847,0.0,9.168480197274675e-08
1848,2.413566457803995e-09,1.214828476703289e-07
1849,0.0,5.279031300986503e-08
1850,0.0,1.1133953758957205e-07
1851,0.0,3.22471953584369e-08
1852,0.0,7.747549091163819e-08
1853,0.0,1.0032845243479471e-07
