year,nous_PRON appelons_VERB,nous_PRON rappelons_VERB
1800,6.907729215299696e-06,4.590480031652078e-07
1801,5.445764486466942e-06,4.2146931278352895e-07
1802,5.811671030642174e-06,4.386166665426572e-07
1803,6.837889230837391e-06,7.196751568017135e-07
1804,5.232908279140247e-06,5.957160702507736e-07
1805,6.086601359811539e-06,4.832892024353441e-07
1806,8.152242060077697e-06,4.178420347500378e-07
1807,5.5714913855808845e-06,5.352275707082299e-07
1808,5.7512959870109626e-06,5.461238252735257e-07
1809,6.496971764136106e-06,8.335822556659878e-07
1810,5.064034439783427e-06,6.879972573869964e-07
1811,5.159563869483463e-06,4.2871013405942904e-07
1812,4.862320707843537e-06,3.5473868820190546e-07
1813,4.816867061663288e-06,3.565919719505928e-07
1814,4.1158535708518684e-06,6.733888859855597e-07
1815,5.035716355905606e-06,6.473336391366047e-07
1816,6.73495713954253e-06,5.608601441053906e-07
1817,6.616712084905885e-06,6.336474527302016e-07
1818,6.574529464842271e-06,5.900982529283283e-07
1819,5.846273182896766e-06,5.22728036855824e-07
1820,5.15479925411455e-06,5.814575700924252e-07
1821,6.264017343937667e-06,4.93074423957296e-07
1822,5.863982948994817e-06,6.516650472576657e-07
1823,4.540106431250024e-06,6.799288669867565e-07
1824,4.423610647563692e-06,6.273729127315164e-07
1825,4.758461187748253e-06,5.943674210584504e-07
1826,5.251320260413195e-06,6.332940500897166e-07
1827,5.069500048193731e-06,8.166504130713292e-07
1828,5.966581909433444e-06,6.319715737390652e-07
1829,6.189833015923796e-06,6.849967633115739e-07
1830,5.58892548951917e-06,7.91112171327768e-07
1831,6.09148429475681e-06,1.0461699559982662e-06
1832,7.042349182029284e-06,8.848599861721596e-07
1833,5.682927906036639e-06,1.0378931420973458e-06
1834,5.919025966250047e-06,9.063829367050857e-07
1835,5.729795475417632e-06,9.128646922818007e-07
1836,5.482788111521586e-06,8.508469804269225e-07
1837,5.457769702843507e-06,8.892184411024573e-07
1838,5.764897451854267e-06,7.978572824640651e-07
1839,5.635827960759343e-06,9.47344901192082e-07
1840,6.001520489462564e-06,9.267896956544064e-07
1841,6.125845345650305e-06,1.070947476478068e-06
1842,6.256128074255685e-06,1.1424175170304807e-06
1843,7.406675706533861e-06,1.0886437280532846e-06
1844,6.155970481813711e-06,1.0708183140195615e-06
1845,6.327420351226465e-06,1.1138135249666448e-06
1846,6.287734549914603e-06,1.0789846101033618e-06
1847,5.749715796810051e-06,1.2350482165857102e-06
1848,5.88668888212851e-06,1.1005863314039743e-06
1849,5.78766179160084e-06,1.1781457089909964e-06
1850,5.713619088965061e-06,1.1928266445693225e-06
1851,5.643259044063598e-06,9.964383025362622e-07
1852,6.1791588450432755e-06,1.0742399894070331e-06
1853,5.570020761069827e-06,1.0361301718830873e-06
1854,5.81031150659328e-06,1.1633092640295217e-06
1855,5.624822676963959e-06,1.1128647088298749e-06
1856,5.845564146511606e-06,1.1876472001404181e-06
1857,6.311791423740942e-06,1.1046854950791385e-06
1858,5.9453270182530105e-06,1.133375377548873e-06
1859,6.2465691712532134e-06,1.2200846981613722e-06
1860,5.462869012262672e-06,1.2463672192097874e-06
1861,6.292510192906775e-06,1.194553590266878e-06
1862,5.57564663949961e-06,1.263680758256669e-06
1863,6.29521991868387e-06,1.3360610466861544e-06
1864,6.5074047483904e-06,1.4595152038054948e-06
1865,5.964042657069513e-06,1.3150923052762664e-06
1866,6.251825936942623e-06,1.3944846273261646e-06
1867,5.831623354879412e-06,1.506797957517847e-06
1868,6.3912088421602675e-06,1.5718678696430288e-06
1869,6.466267564064765e-06,1.3971747989671712e-06
1870,6.647482621247036e-06,1.5183761092885106e-06
1871,6.420501676984713e-06,1.7790472384149325e-06
1872,6.61155587522444e-06,1.6007306840037927e-06
1873,6.027906295003049e-06,1.5264311059581814e-06
1874,5.732040108341607e-06,1.7033610220096307e-06
1875,7.116435369880492e-06,1.4378198045505997e-06
1876,6.365848946643382e-06,1.40751222943436e-06
1877,5.937423452451185e-06,2.0972710785827076e-06
1878,5.9201188378210645e-06,1.4898431288656866e-06
1879,5.789196791283757e-06,1.5792605836395524e-06
1880,5.386498116877192e-06,1.5505516728353541e-06
1881,5.628208270991308e-06,1.8832742512131517e-06
1882,5.254426696410519e-06,1.571336497363518e-06
1883,5.598302550424705e-06,1.5956330798871932e-06
1884,5.322948368302605e-06,1.5263123600561812e-06
1885,4.942513498917833e-06,1.6275229768325516e-06
1886,4.842679345529177e-06,1.6927435808611335e-06
1887,4.8633960432198364e-06,1.659652639318665e-06
1888,4.745316005028144e-06,1.469754465688311e-06
1889,5.003964815841755e-06,1.7229126001439e-06
1890,5.060641683485301e-06,1.6313867945427774e-06
1891,5.170129838916182e-06,1.7554602322888968e-06
1892,4.871260841809999e-06,1.7620788526073738e-06
1893,5.358438272651256e-06,1.7249724919565779e-06
1894,4.982627274330298e-06,1.7480470546615834e-06
1895,4.846790091050934e-06,1.6292389091177029e-06
1896,4.9110455506706785e-06,1.656475433264859e-06
1897,5.098957103655266e-06,1.6856682236721099e-06
1898,5.186448049698811e-06,1.9589224393712357e-06
1899,4.569649206587201e-06,1.8069653719976486e-06
1900,5.028054260947101e-06,1.8080438053402759e-06
1901,4.83202347822953e-06,1.8778162598209747e-06
1902,4.142806403706345e-06,1.6915927858462965e-06
1903,4.9703625109032146e-06,1.9122180674457923e-06
1904,5.018825220304279e-06,2.081054901736934e-06
1905,4.546628701973532e-06,1.8738716676125478e-06
1906,4.782548415960264e-06,1.8822570950760564e-06
1907,4.779758512540866e-06,2.021651766881405e-06
1908,5.247819274245558e-06,2.0146518409092096e-06
1909,4.823262486297608e-06,1.9225937535338744e-06
1910,4.971128873876296e-06,2.0810122123293695e-06
1911,4.915493548196537e-06,2.0302547909523128e-06
1912,4.944261632999769e-06,2.0702240135506145e-06
1913,4.731327464924107e-06,1.9594546643020294e-06
1914,4.815628244614345e-06,2.1603696040983777e-06
1915,3.945377102354541e-06,1.9155519339619786e-06
1916,4.163149185387738e-06,1.9843356540150126e-06
1917,4.333930888833493e-06,1.854422407632228e-06
1918,4.612928591996024e-06,1.9653189724522235e-06
1919,4.463964813794519e-06,1.967717196293961e-06
1920,5.015846511469135e-06,1.8567112078926584e-06
1921,4.783704696365021e-06,1.9325651692270185e-06
1922,4.945429992631034e-06,1.910885259803763e-06
1923,5.3610536951964605e-06,2.010660523410479e-06
1924,5.108950688281766e-06,2.0729731886603986e-06
1925,4.994272757130602e-06,1.8542927477938065e-06
1926,5.179610468530882e-06,1.9606058003773796e-06
1927,5.04502412468355e-06,1.999055996293464e-06
1928,5.062878813077987e-06,1.9447121530902223e-06
1929,4.584277405683679e-06,1.8727022847997432e-06
1930,5.34003220309387e-06,2.0807638065889478e-06
1931,5.133551098879252e-06,2.19553112401627e-06
1932,5.062209822881414e-06,2.155740844500542e-06
1933,4.714442241038341e-06,2.0922487919960986e-06
1934,5.148484916617235e-06,2.1818457298650173e-06
1935,5.08891443473658e-06,2.250037368867197e-06
1936,5.154216125902167e-06,2.2842962152935797e-06
1937,5.05911134496273e-06,2.0724979776787222e-06
