year,pourrions_VERB envoyer_VERB,pourrions_VERB renvoyer_VERB
1800,0.0,6.288328968651058e-09
1801,2.3811825844433088e-09,0.0
1802,6.713520406265161e-09,3.8043282302169246e-08
1803,7.801356893821776e-09,7.801356893821776e-09
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,8.540865792383556e-09
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,0.0,0.0
1810,1.1700633351097167e-08,9.360507036149102e-09
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,0.0,0.0
1815,1.6183340889597275e-08,1.6183340889597275e-08
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,3.113746815941454e-09,0.0
1818,5.960588467246453e-09,5.960588467246453e-09
1819,2.070210003424222e-09,1.9666995143552413e-08
1820,2.3732962262101864e-09,1.542642635854463e-08
1821,0.0,9.86148829262845e-10
1822,3.0076847679083585e-09,2.0051231786055723e-09
1823,0.0,5.929612356680991e-09
1824,1.6842225392110777e-09,0.0
1825,2.641632912414593e-09,4.4027217427355936e-09
1826,0.0,0.0
1827,7.373818444733615e-09,4.608636583469661e-09
1828,0.0,7.337841001486822e-09
1829,0.0,1.0287811491593857e-08
1830,5.218417697960831e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,0.0,2.841293600397421e-08
1833,8.108539617524002e-09,6.950177322551099e-09
1834,0.0,7.467624740797874e-09
1835,9.075705520444899e-09,1.4369867074037757e-08
1836,1.3441500135158435e-09,2.688300027031687e-09
1837,4.87052354003481e-09,1.0436836284100082e-08
1838,0.0,6.943378316748294e-09
1839,1.3982950353153e-09,1.2584655095793096e-08
1840,2.5478754661634184e-09,1.0191501864653674e-08
1841,1.0914932957462042e-08,3.2102742686390684e-09
1842,4.024959032733477e-09,4.024959032733477e-09
1843,1.7720733769266417e-09,1.1813822142769936e-09
1844,4.9397050894128824e-09,1.097712254427563e-09
1845,5.580227946389016e-10,9.48638767539478e-09
1846,1.1709002656346001e-09,2.2832555401919308e-08
1847,2.6966118227278457e-09,7.550513103637968e-09
1848,8.045221711050488e-10,2.735375304041554e-08
1849,4.1897072478036534e-09,2.011059585527164e-08
1850,5.431196825611551e-09,8.146795238417326e-09
1851,6.449438760824933e-10,7.739326512989919e-09
1852,9.114764054629632e-09,4.557382027314816e-09
1853,0.0,2.09017620989016e-08
1854,4.676098175337984e-09,1.7665259477439577e-08
1855,1.1675261646360013e-08,1.1675261646360013e-08
1856,1.5531567143511893e-09,1.3978411317339123e-08
1857,4.881509085841174e-10,1.3668225662399891e-08
1858,9.297984604472731e-09,1.565976326389773e-08
1859,0.0,0.0
1860,3.661747127736703e-09,2.197048232233101e-08
1861,2.2165028923382124e-08,5.659156698811785e-09
1862,9.487771457372673e-09,9.939570055905733e-09
1863,4.994620828036034e-10,1.0988165932701577e-08
1864,2.8768367688059016e-09,8.63051052846231e-09
1865,4.23615986733239e-09,8.943004559114343e-09
1866,1.9462451650298362e-09,6.3252967308358166e-09
1867,2.91168689159349e-09,1.5043715606566366e-08
1868,4.939874287401835e-09,1.432563490055827e-08
1869,1.4650557433881772e-09,6.8369265804335555e-09
1870,1.1468097582678638e-09,1.3188312664169644e-08
1871,0.0,8.496941816815706e-09
1872,1.3304146229131675e-08,1.269941218851045e-08
1873,2.9930022904522957e-09,2.095101514498765e-08
1874,6.572069999322139e-09,1.7923827755339516e-08
1875,5.721527140956084e-10,1.94531928343622e-08
1876,8.464420275799966e-09,9.673623679873344e-09
1877,4.329371083855449e-09,9.27722432209066e-09
1878,1.6305540029293297e-08,2.4156354694326865e-09
1879,9.163987790827832e-09,1.221865053580018e-09
1880,6.417846254436199e-09,4.492492600149944e-09
1881,2.7890030285249168e-09,9.064259565150223e-09
1882,3.3276925659464496e-09,1.3310770263785798e-08
1883,1.8958017378167824e-09,1.516641390253426e-08
1884,1.3203393933736152e-09,3.9610181801208455e-09
1885,8.379326565943757e-09,3.86738152613475e-09
1886,6.453463874400711e-10,5.808117542471791e-09
1887,4.570247291724172e-09,1.5016526688782506e-08
1888,5.07249175996094e-09,5.07249175996094e-09
1889,6.891650361495749e-09,1.1277245803853475e-08
1890,9.176140736144589e-09,1.1142456735058204e-08
1891,4.461953917456185e-09,8.286486163910922e-09
1892,1.56712811616444e-08,1.002961980134387e-08
1893,2.463366621796581e-09,1.3548516086814288e-08
1894,7.561847148451761e-09,8.822155450616265e-09
1895,4.213029924926559e-09,1.1435367319734269e-08
1896,5.307326134129653e-09,5.897029087265082e-09
1897,1.1653427112179315e-09,8.740070001067579e-09
1898,9.05336783318944e-09,1.3580051749784161e-08
1899,5.527578395003729e-09,3.3165470370022376e-09
1900,6.748368974740515e-09,7.26747462209687e-09
1901,5.588738916095792e-10,2.794369402536745e-09
