year,sans_ADP égaler_VERB,sans_ADP régaler_VERB
1800,1.4148740490327327e-07,0.0
1801,3.5717739876872656e-08,0.0
1802,4.699464284385613e-08,0.0
1803,5.0708818033484704e-08,0.0
1804,6.426812282356309e-08,0.0
1805,7.675769975179492e-08,0.0
1806,1.0950342499427279e-07,0.0
1807,3.701041606518629e-08,0.0
1808,6.798222074166915e-08,0.0
1809,2.710836710662079e-08,0.0
1810,1.1466621430145096e-07,2.3401267590372754e-09
1811,4.011322829455821e-08,0.0
1812,2.400487453257938e-08,0.0
1813,1.322841143291953e-07,0.0
1814,6.293354459785405e-08,0.0
1815,5.933891955578474e-08,0.0
1816,4.1716869958463576e-08,0.0
1817,5.1376822796100896e-08,0.0
1818,6.675859243188143e-08,0.0
1819,5.072014686025028e-08,0.0
1820,1.3053129244156025e-08,0.0
1821,2.7612166775270452e-08,0.0
1822,3.308453244699194e-08,0.0
1823,1.4824030003524058e-08,9.882686891060644e-10
1824,6.063201318795564e-08,0.0
1825,4.842993828191311e-08,0.0
1826,2.6423953580767545e-08,0.0
1827,6.544264152807955e-08,0.0
1828,7.429564163885516e-08,1.8344602503717056e-09
1829,8.230248804697027e-08,0.0
1830,5.114049494991946e-08,0.0
1831,3.274153392851531e-08,0.0
1832,7.982681893281551e-08,0.0
1833,5.3284690437749305e-08,1.1583628500844156e-09
1834,3.5471215964477665e-08,9.334531370086552e-09
1835,3.857174846189082e-08,0.0
1836,4.2340726480460944e-08,0.0
1837,5.1488392993626064e-08,0.0
1838,5.996554008902422e-08,6.312161904276081e-10
1839,4.474544157417881e-08,2.0974426639952526e-09
1840,3.758116307039927e-08,0.0
1841,4.751206006403663e-08,0.0
1842,3.6224630406422875e-08,0.0
1843,4.0757684782732895e-08,5.906911071384968e-10
1844,5.4336757315809336e-08,0.0
1845,4.296775557577348e-08,0.0
1846,2.6930706775729618e-08,5.854501328173001e-10
1847,7.172987714909596e-08,5.393223645455691e-10
1848,5.792559498729588e-08,8.045221711050488e-10
1849,4.357295768642189e-08,0.0
1850,5.2275269446511174e-08,0.0
1851,3.418202609850596e-08,0.0
1852,3.320378239024535e-08,6.510545436100301e-10
1853,5.3150194023743325e-08,5.971931837933653e-10
1854,5.195664520840637e-08,0.0
1855,8.331891621082832e-08,0.0
1856,6.1608550705472e-08,5.177189232874468e-10
1857,4.442173395791116e-08,0.0
1858,4.4532450615974994e-08,0.0
1859,4.4811124588761686e-08,5.092173349652285e-10
1860,1.1305644598280651e-07,4.577183909670879e-10
1861,5.564837302074466e-08,0.0
1862,6.415540543258658e-08,0.0
1863,6.093437310283889e-08,4.994620828036034e-10
1864,7.144144476001202e-08,9.589455896019672e-10
1865,7.4838826691348e-08,0.0
1866,5.157549765044678e-08,0.0
1867,8.395364048396914e-08,0.0
1868,5.335064146017032e-08,4.93987406535723e-10
1869,6.64158603669307e-08,0.0
1870,4.185855750904466e-08,0.0
1871,6.797553453452565e-08,0.0
1872,8.466274703522458e-08,0.0
1873,7.961385684041034e-08,0.0
1874,6.572069999322139e-08,0.0
1875,5.492666144135683e-08,0.0
1876,7.134297752564578e-08,0.0
1877,6.184815948273581e-08,6.184815992682502e-10
1878,7.367687970827319e-08,0.0
1879,3.787781643893595e-08,6.10932526790009e-10
1880,6.99545257276668e-08,0.0
1881,5.508281031296747e-08,0.0
1882,1.0315847287500901e-07,0.0
1883,6.951272890631799e-08,0.0
1884,5.6114425106557064e-08,0.0
1885,4.8342267300327535e-08,0.0
1886,5.679048165063705e-08,6.453463874400711e-10
1887,4.961982735807169e-08,0.0
1888,5.0090855907569676e-08,0.0
1889,4.51089832154139e-08,6.265136742733546e-10
