year,veux_VERB acheter_VERB,veux_VERB racheter_VERB
1800,5.65949598296811e-08,3.144164484325529e-09
1801,5.476719877606229e-08,0.0
1802,4.475680270843441e-09,0.0
1803,4.095712213825209e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,5.685755422035754e-09,0.0
1806,1.729001475325731e-08,0.0
1807,1.1387820464392462e-08,2.8469551160981155e-09
1808,2.2660739062985158e-08,0.0
1809,3.388545621874073e-08,0.0
1810,5.8503168531842675e-08,1.6380887757350138e-08
1811,4.512738271955641e-08,0.0
1812,2.400487453257938e-08,0.0
1813,2.300593315851529e-08,0.0
1814,3.1466771410748606e-09,6.293354282149721e-09
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,2.3353100786493997e-08,0.0
1818,2.2650237241350624e-08,0.0
1819,4.34744116262209e-08,0.0
1820,1.898636980968149e-08,1.1866481131050932e-09
1821,4.141825016290568e-08,0.0
1822,3.8097340393505874e-08,0.0
1823,2.2730180404550993e-08,9.882686891060644e-10
1824,5.052667617633233e-09,2.5263338088166165e-09
1825,7.044354433105582e-09,0.0
1826,2.8185549894033102e-08,8.807984341885344e-10
1827,3.7790819362726324e-08,0.0
1828,2.4765213879618386e-08,9.172301251858528e-10
1829,3.0006116702452346e-08,0.0
1830,3.1310506187764986e-08,7.305785310052215e-09
1831,4.053713453799901e-08,0.0
1832,5.411987658021644e-08,2.705993873419743e-09
1833,1.3900354645102198e-08,0.0
1834,3.453776287187793e-08,0.0
1835,2.571449897459388e-08,6.050470346963266e-09
1836,1.344150035720304e-08,2.016224964762614e-09
1837,1.2524203896191466e-08,4.174734336004349e-09
1838,1.7042836475411605e-08,0.0
1839,1.3283802502428443e-08,0.0
1840,4.7772665823231364e-08,1.9109065441114126e-09
1841,2.118781061710706e-08,2.5682194149112547e-09
1842,8.720745015011744e-09,6.708265054555795e-10
1843,2.7762482091020502e-08,5.906911071384968e-10
1844,2.9638231424655714e-08,3.841992946007622e-09
1845,2.9575208060350633e-08,8.928364714222425e-09
1846,1.9319854160926297e-08,5.854501328173001e-10
1847,1.77976389181822e-08,2.1572894581822766e-09
1848,2.896279838182636e-08,1.045878850192139e-08
1849,1.3407063903514427e-08,0.0
1850,1.5614691761811628e-08,6.788996032014438e-10
1851,5.482023013314574e-08,1.9348316282474798e-09
1852,1.4323200403509873e-08,5.208436348880241e-09
1853,1.6124216628554677e-08,0.0
1854,2.0263090760863633e-08,5.195664454227256e-10
1855,1.8043586180738203e-08,5.306937111981824e-10
1856,1.2425253714809514e-08,6.212626857404757e-09
1857,2.0502337605421417e-08,7.322263684272912e-09
1858,4.5511185930990905e-08,4.404308473482388e-09
1859,1.3748867822016564e-08,1.018434669930457e-09
1860,1.6020143434047895e-08,9.612086238064421e-09
1861,2.263662679524714e-08,7.073945429425521e-09
1862,2.2589931703009825e-08,6.776979422085105e-09
1863,3.646073309937492e-08,5.9935452156878455e-09
1864,2.0617330065419992e-08,2.8768367688059016e-09
1865,3.530133341200781e-08,1.882737743486018e-09
1866,2.3841502994059738e-08,1.9462451650298362e-09
1867,1.844068364675877e-08,9.7056229719783e-10
1868,1.778354707937524e-08,0.0
1869,2.6859355628516823e-08,5.371870948067681e-09
1870,2.5229814681893004e-08,3.4404292748035914e-09
1871,1.911811864374613e-08,3.18635318130589e-09
1872,1.69325495846806e-08,6.652073114565837e-09
1873,1.97538145840781e-08,5.986004469882289e-10
1874,2.5690820137924675e-08,9.559374625212058e-09
1875,6.293679799540541e-09,4.005069165202713e-09
1876,4.836811839936672e-08,0.0
1877,1.4843558382438005e-08,0.0
1878,3.985798358030479e-08,6.039088673581716e-10
1879,1.4051448005147904e-08,6.10932526790009e-10
1880,3.2089232604448625e-08,1.0268554007097919e-08
1881,3.834879080955034e-08,2.091752326904839e-09
1882,1.5972924316542958e-08,3.9932310791357395e-09
1883,1.7694148368718743e-08,6.319338941018771e-10
1884,1.2543224237049344e-08,1.3203393933736152e-09
1885,1.353583467533781e-08,6.445635691854079e-10
1886,1.2906927970846027e-08,6.453463874400711e-10
1887,3.0685946228459215e-08,2.6115698492645834e-09
1888,1.4583413587843097e-08,0.0
1889,2.0048437576747347e-08,7.51816386923565e-09
1890,1.5075089621063853e-08,2.6217545912032847e-09
1891,2.5496881050912634e-08,0.0
1892,1.5044429702015805e-08,2.5074049503359674e-09
1893,7.390100087434348e-09,2.463366621796581e-09
1894,1.0082462864602348e-08,6.301539290376468e-10
1895,1.2639090662958097e-08,0.0
1896,7.076434549446731e-09,1.179405795248556e-09
1897,1.5732126712464378e-08,2.9133566670225264e-09
1898,2.3765091228256097e-08,1.6975064687230201e-09
1899,1.6029977345510815e-08,5.527578395003729e-10
1900,2.4397950326715545e-08,5.191053142894475e-10
1901,1.117747761014698e-08,1.676621730339889e-09
1902,4.910283735171106e-09,0.0
1903,1.5660639007819555e-08,5.400220270956879e-10
1904,9.674325340824907e-09,0.0
1905,1.2385822145688508e-08,0.0
1906,1.0802787109298606e-08,0.0
1907,2.5714216533856415e-08,0.0
1908,1.5225305460830896e-08,4.911389073214423e-10
1909,1.1552065082298668e-08,1.1001967115120692e-09
1910,1.5498036631811374e-08,0.0
1911,6.916486494645824e-09,3.1922244847493175e-09
1912,8.335073964360618e-09,0.0
1913,7.954484182448596e-09,1.060597942803554e-09
1914,1.7411533548283842e-08,2.0090231700464756e-09
1915,1.5314990164938536e-08,1.1780761921542648e-09
1916,2.307367097387214e-08,0.0
1917,1.2063066989753679e-08,0.0
1918,1.722956355365568e-08,0.0
1919,3.038589824200244e-08,0.0
