year,voudrais_VERB entrer_VERB,voudrais_VERB rentrer_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,1.5664880947952042e-08,0.0
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,2.2775640928784924e-08
1808,0.0,0.0
1809,4.518061036407062e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,0.0,4.930744257336528e-09
1822,3.0076847679083585e-09,1.0025615893027862e-09
1823,6.917880934764753e-09,0.0
1824,0.0,0.0
1825,1.7610886082763955e-09,2.641632912414593e-09
1826,2.642395191543301e-09,0.0
1827,6.452091305675367e-09,9.217273055917019e-10
1828,2.7516904310687096e-09,1.8344602503717056e-09
1829,0.0,0.0
1830,2.0873671680021744e-09,4.174734336004349e-09
1831,9.354723218280014e-09,1.5591206103948707e-09
1832,6.764984572527055e-09,1.3529969367098715e-09
1833,0.0,4.6334514003376626e-09
1834,2.8003592777992026e-09,2.8003592777992026e-09
1835,4.5378527602224494e-09,1.5126175867408165e-09
1836,1.3441500135158435e-09,0.0
1837,4.174734336004349e-09,0.0
1838,5.049729523420865e-09,1.2624323808552163e-09
1839,4.194885327990505e-09,0.0
1840,5.732719632334238e-09,6.369688665408546e-10
1841,1.733548060656176e-08,0.0
1842,1.0062397137744483e-08,1.0062397137744483e-08
1843,4.7255288571079745e-09,1.1813822142769936e-09
1844,1.1525978393933656e-08,1.5916826967554698e-08
1845,5.580227946389016e-10,5.580227946389016e-10
1846,1.1709002656346001e-09,5.854501328173001e-10
1847,0.0,3.775256551818984e-09
1848,8.84974404868899e-09,8.045221711050488e-10
1849,1.5920887719289567e-08,8.379414939696517e-10
1850,2.0366988096043315e-09,3.394498016007219e-09
1851,1.9348316282474798e-09,0.0
1852,7.812654523320361e-09,6.510545436100301e-10
1853,4.180352064508952e-09,2.388772735173461e-09
1854,3.63696517347023e-09,5.195664454227256e-10
1855,4.776243400783642e-09,3.1841622671890946e-09
1856,7.765783571755946e-09,0.0
1857,4.881508974818871e-09,4.881509085841174e-10
1858,6.8511463169329545e-09,3.9149408159744326e-09
1859,3.055304009791371e-09,5.092173349652285e-10
1860,5.034902272882391e-09,5.034902272882391e-09
1861,2.357981809808507e-09,4.715963730639317e-10
1862,3.162590411776023e-09,2.2589932147099034e-09
1863,8.990317823531768e-09,1.4983863039219614e-09
1864,1.965838514195184e-08,4.794727948009836e-10
1865,7.530950973944073e-09,5.177528628053096e-09
1866,1.702964524952222e-08,3.4059290943133647e-09
1867,1.164674756637396e-08,9.7056229719783e-10
1868,1.1361710683388537e-08,9.87974813071446e-10
1869,1.904572499711321e-08,3.4184632902167778e-09
1870,2.465641024684828e-08,5.734048791339319e-09
1871,5.3105884134652115e-09,4.248470730772169e-08
1872,4.8378714367913744e-09,9.675742873582749e-09
1873,7.183205141814142e-09,5.387403856360606e-09
1874,4.182226565063729e-09,1.4936523129449597e-08
1875,7.437985338754061e-09,5.721527140956084e-10
1876,3.02300739996042e-09,4.232210137899983e-09
1877,1.2369632429454214e-08,4.9478527941460015e-09
1878,9.058632954861423e-09,4.22736201599605e-09
1879,1.832797580370027e-09,1.832797580370027e-09
1880,1.0910338410496934e-08,2.5671385017744797e-09
1881,6.2752567586699115e-09,4.8807553554297556e-09
1882,7.986462158271479e-09,5.324308105514319e-09
1883,1.0110942305630033e-08,8.847074184359371e-09
1884,3.9610181801208455e-09,3.300848483434038e-09
1885,4.511945039809007e-09,6.445635691854079e-10
1886,1.8069698626277386e-08,5.162771099520569e-09
1887,5.223139698529167e-09,1.9586774424595887e-09
1888,1.2047167707862627e-08,4.4384300679212174e-09
1889,2.5060546970934183e-09,1.2530273485467092e-09
1890,1.1142456735058204e-08,3.9326319978272295e-09
1891,3.1871101313640793e-09,6.374220040683554e-10
1892,1.6924984080901595e-08,1.191017329205124e-08
1893,8.621783287310336e-09,2.463366621796581e-09
1894,8.192000855444803e-09,6.301539290376468e-09
1895,9.629783193076946e-09,7.824199066419624e-09
1896,1.1794058174530164e-08,1.179405795248556e-09
1897,9.905413378419325e-09,1.7480140668268973e-09
1898,1.867257104493092e-08,6.224190496340043e-09
1899,6.633094074004475e-09,3.3165470370022376e-09
1900,1.5054054003371675e-08,0.0
1901,8.941982265753268e-09,6.147612641171918e-09
1902,4.419255628107521e-09,2.9461704187383475e-09
1903,1.9980815224585058e-08,3.2401321625741275e-09
1904,9.674325340824907e-09,0.0
1905,1.2385822145688508e-08,6.708986699521802e-09
1906,2.1091157265118454e-08,1.5432553013283723e-09
1907,9.771402353919711e-09,6.685696440911215e-09
1908,8.840499887696751e-09,6.384805573134145e-09
1909,1.4852655993990993e-08,1.6502950117569526e-09
1910,8.01622590529405e-09,4.809735720812114e-09
1911,4.788336838146279e-09,9.576673676292558e-09
1912,1.40654377034366e-08,2.0837684910901544e-09
1913,9.015082902408267e-09,1.0605979205990934e-08
1914,8.705766774141921e-09,6.696743604095445e-09
1915,1.1780762143587253e-08,3.534228465440492e-09
1916,5.493730803607377e-09,0.0
1917,2.1932848426331475e-08,2.1932848426331475e-08
1918,4.5945505178224266e-08,1.033773866510046e-08
1919,1.6574126959767455e-08,2.762354567309444e-09
1920,1.514446346106979e-08,4.543339038320937e-09
1921,9.844571380313027e-09,3.0290989716519334e-09
1922,2.951174193910333e-09,8.115729421831475e-09
1923,2.229349149729387e-08,3.1847844361720945e-09
1924,5.156649773851996e-09,3.867487219366694e-09
1925,1.2097995494286806e-08,9.898360353588487e-09
1926,8.916910765321973e-09,6.687683296036084e-09
1927,1.5608915049369898e-08,3.3447675740205796e-09
1928,1.3711249025050165e-08,1.1426041446327417e-08
1929,1.3368487650211591e-08,7.798284684668033e-09
1930,1.575540586884472e-08,9.453243521306831e-09
1931,1.710803587684495e-08,1.3686427990933225e-08
1932,9.863582839386709e-09,2.7398842306070037e-08
1933,4.588264879146209e-09,6.882397318719313e-09
1934,9.585264137967897e-09,7.188948103475923e-09
1935,9.574627313213568e-09,9.574627313213568e-09
1936,1.2124714565686645e-08,3.6374143697059935e-09
1937,1.1332006444320086e-08,1.3850230295986421e-08
1938,1.5558256905023882e-08,3.8895642262559704e-09
1939,1.070583532936098e-08,4.588215141154706e-09
1940,0.0,0.0
1941,8.854508237732261e-09,1.7709016475464523e-08
1942,9.102635090130207e-09,6.068423541449874e-09
1943,5.806470415592457e-09,5.806470415592457e-09
1944,1.2852744646352221e-08,9.639558484764166e-09
1945,4.357008087652048e-09,1.3071024262956144e-08
1946,6.960552134671616e-09,5.568441707737293e-09
1947,1.1920871401116528e-08,9.536696765621855e-09
1948,7.610321262063735e-09,1.6307831529616124e-08
1949,1.9634016634739737e-09,9.817008539414473e-09
1950,7.444753258312176e-09,1.808011518278363e-08
1951,1.0661401539380222e-08,1.5992101864981123e-08
1952,9.490323193972472e-09,5.272402070488624e-09
1953,9.69644453618912e-09,9.69644453618912e-09
1954,6.840775057526116e-09,1.172704333640695e-08
1955,1.5016972554349195e-08,8.447047505910632e-09
1956,1.4825940475304833e-08,1.2209598665435806e-08
1957,9.718541527092839e-09,6.184526224473075e-09
1958,6.617794756635931e-09,9.926692356998501e-09
1959,2.1702094343822864e-08,1.7826719656000023e-08
1960,1.1073333361366622e-08,1.9378333604436193e-08
1961,1.459113452284555e-08,1.80652133252579e-08
1962,1.3952304200870458e-08,2.473363025501385e-08
1963,8.405868889838075e-09,1.8751554975438012e-08
1964,7.909158661334459e-09,1.5818317322668918e-08
1965,1.3680108601477059e-08,1.641613067704384e-08
1966,1.7725039214155913e-08,1.495550172592175e-08
1967,8.381570104631919e-09,1.1339771788243524e-08
1968,1.1677681044375277e-08,8.084548142051062e-09
1969,9.083515273289322e-09,1.3171097990039016e-08
1970,8.277704743875347e-09,1.0577067222072856e-08
1971,1.2332153964678128e-08,9.762954888969944e-09
1972,1.539044092169206e-08,7.69522046084603e-09
1973,8.269805285010534e-09,7.1671650836435674e-09
1974,1.5751600912494723e-08,1.1813700240281833e-08
1975,1.0851811893530794e-08,1.0851811893530794e-08
1976,8.570290255249802e-09,5.713526984862938e-09
1977,1.057820764316375e-08,7.639816779203557e-09
1978,1.1881182260253809e-08,1.1881182260253809e-08
1979,1.287434159280565e-08,1.462993370893173e-08
1980,9.664756106531058e-09,1.2507331170752423e-08
1981,8.855769451088236e-09,2.213942273954217e-08
1982,5.586751949948621e-09,9.311253101884631e-09
1983,7.57837881337764e-09,1.136756910824488e-08
1984,1.2177918229383522e-08,1.333771937339634e-08
1985,1.2632671797518924e-08,1.0226449020933615e-08
1986,1.1389522214244607e-08,1.6185110141009318e-08
1987,7.944062296871834e-09,1.649920555735207e-08
1988,7.195864348830128e-09,1.9188972188999287e-08
1989,1.0427432250992297e-08,7.134558721588746e-09
1990,1.198703181159999e-08,1.0352437129768077e-08
1991,1.2895223555631219e-08,1.1136783939491579e-08
1992,1.1019888113139586e-08,1.2672871640972971e-08
1993,1.1078414630105726e-08,9.970573700002205e-09
1994,1.160483886764041e-08,1.4242301560329906e-08
1995,5.4224509327127635e-09,1.4640617607142303e-08
1996,1.1743802375008272e-08,2.1352368761995422e-08
1997,1.1987236092636522e-08,1.1507746755512471e-08
1998,8.582632382569955e-09,1.144351013948608e-08
1999,7.769341614505265e-09,1.4624643718263997e-08
2000,6.185244316725402e-09,2.164835422036049e-08
2001,1.5334240544007116e-08,1.4896119893137438e-08
2002,8.324320788233308e-09,1.445803121669087e-08
2003,8.750538071922165e-09,1.91678459771083e-08
2004,8.369103632333008e-09,1.497629043001325e-08
2005,4.954124666056714e-09,1.8915748967174295e-08
2006,1.070651389767363e-08,1.6471560115860484e-08
2007,7.988958827809256e-09,2.5564668604260987e-08
2008,8.089135583588813e-09,3.874270149140102e-08
2009,1.0013204487790972e-08,3.4330987830344384e-08
2010,1.4171378737160012e-08,4.393127639445993e-08
2011,1.0707121411712706e-08,5.162362270993981e-08
2012,1.327658516458996e-08,6.944675590148108e-08
2013,2.4265387921218462e-08,7.112269173603636e-08
2014,2.555225364631042e-08,8.207037183183274e-08
2015,2.2830725754374726e-08,6.538897423524759e-08
2016,1.9470595802317803e-08,5.67547182583894e-08
2017,1.9370206771895937e-08,7.270116952895478e-08
2018,2.2458760184917992e-08,7.925103062689232e-08
2019,2.1938495464723928e-08,7.780512589761202e-08
