year,ses_DET ondes_NOUN,ses_DET rondes_NOUN
1800,8.929427242065913e-07,1.2576657937302116e-08
1801,6.405381327567738e-07,4.7623651688866175e-09
1802,7.720548182987841e-07,1.5664880947952042e-08
1803,5.890024374899383e-07,0.0
1804,1.4509764696413185e-06,3.213406074564773e-08
1805,1.111565200773157e-06,2.55858996212055e-08
1806,8.328023675119312e-07,1.729001475325731e-08
1807,6.377179602168326e-07,4.27043254092041e-08
1808,6.254364244284716e-07,0.0
1809,6.280105009359715e-07,2.25903047379461e-08
1810,8.471258690079253e-07,2.3401267590372754e-09
1811,8.900122452359938e-07,5.0141534924108555e-08
1812,5.681153538716899e-07,1.0668832928217853e-08
1813,7.591957853492204e-07,4.026038169513413e-08
1814,7.30029082518513e-07,3.1466771410748606e-09
1815,8.010753926868119e-07,0.0
1816,4.7279119108623036e-07,0.0
1817,4.2969706548490194e-07,6.227493631882908e-09
1818,3.600195661590533e-07,1.3113295338484932e-08
1819,5.361843886664275e-07,9.315945348475907e-09
1820,5.304317340915077e-07,7.119888678630559e-09
1821,6.173291762223698e-07,5.9168927535324656e-09
1822,6.516650188359563e-07,2.5064039732569654e-08
1823,4.5361531597620797e-07,6.917880934764753e-09
1824,7.427421593320105e-07,1.51580028528997e-08
1825,7.317323067468351e-07,3.258013947515792e-08
1826,6.526716678223465e-07,1.145037931138404e-08
1827,4.977327643373997e-07,1.2904182611350734e-08
1828,4.980559298317644e-07,7.337841001486822e-09
1829,4.792405290388047e-07,2.4004892296147773e-08
1830,6.888311676611636e-07,1.878630406793036e-08
1831,6.579488933677879e-07,4.8332740476553226e-08
1832,5.317277924632435e-07,3.3824925083081325e-08
1833,5.919234284945674e-07,1.2741991461950875e-08
1834,6.412822504131555e-07,1.4001795944906803e-08
1835,5.785762482446444e-07,1.5882484660778573e-08
1836,7.769186840533848e-07,2.1506400216253496e-08
1837,6.01857585103005e-07,4.244313345225237e-08
1838,6.615145498045649e-07,2.019891809368346e-08
1839,5.544239680688179e-07,1.3283802502428443e-08
1840,4.2549520173906785e-07,5.98750720115504e-08
1841,5.881222406856068e-07,2.1829865470834875e-08
1842,4.6756607474662815e-07,2.0795620780944546e-08
1843,6.267232777190657e-07,2.953455580101405e-08
1844,4.110932385614774e-07,2.7991663265058975e-08
1845,3.5657657027066136e-07,2.622707206967334e-08
1846,3.752735384665584e-07,5.854501328173001e-09
1847,3.866941220564968e-07,6.47186837454683e-09
1848,3.0893651992158766e-07,2.735375304041554e-08
1849,4.516504752416495e-07,6.703531951757213e-09
1850,5.729912686547323e-07,1.5614690873633208e-08
1851,4.959618680189237e-07,1.8703373294570724e-08
1852,3.925858860220899e-07,9.765818376195057e-09
1853,3.6189906804651173e-07,1.3138249599364826e-08
1854,3.366790481962312e-07,1.6626126253527218e-08
1855,4.797471220285843e-07,1.751289246954002e-08
1856,4.1831690000826427e-07,8.80122141833084e-09
1857,4.5251590519157503e-07,1.9037886156425543e-08
1858,3.1123779709041344e-07,1.419166006932926e-08
1859,5.336597435068313e-07,2.49516496353408e-08
1860,4.2613581480166474e-07,2.288591893773173e-08
1861,5.18755989498132e-07,2.499460782789953e-08
1862,4.16106545220174e-07,3.5240294238292336e-08
1863,4.769862860243279e-07,2.747041377704207e-08
1864,3.5385092900241943e-07,1.1986819536957682e-08
1865,3.38422095902402e-07,1.2237795665726026e-08
1866,3.2015734241497285e-07,2.8707116073167782e-08
1867,2.8583058409026307e-07,5.338092634588065e-09
1868,2.9293454417711473e-07,1.679557115608077e-08
1869,3.49659969423044e-07,1.4162205852485954e-08
1870,3.5780463392143247e-07,1.7202147262196377e-08
1871,2.803990923894162e-07,1.0621176826930423e-08
1872,3.0297169484327924e-07,2.2375155728227014e-08
1873,2.2267937199726973e-07,2.6937019892425695e-08
1874,2.778193111119265e-07,1.3144139998644278e-08
1875,2.7692191889583384e-07,2.0597498262553415e-08
1876,2.605832383206774e-07,1.3301232559825849e-08
1877,2.585252991682552e-07,3.896434108696667e-08
1878,2.8685670372397e-07,2.3552445327368332e-08
1879,2.48649537071266e-07,1.4051447894125602e-08
1880,2.8751951308692014e-07,1.9253539207397807e-08
1881,2.830838061740337e-07,1.1853263259808955e-08
1882,2.9350248254012e-07,1.3310770707875008e-08
1883,2.3065587689830025e-07,2.0853818227806187e-08
1884,2.58786521989407e-07,2.5746618170785496e-08
1885,2.442895861154426e-07,2.7071669683742527e-08
1886,2.2458054921292714e-07,2.4523162944767307e-08
1887,2.3699995843617927e-07,2.0239666942423185e-08
1888,2.4284554589470986e-07,1.648559844191766e-08
1889,2.142676717720171e-07,1.8168896165349224e-08
1890,1.7827930776093126e-07,1.9007720397645755e-08
1891,1.7465362966984088e-07,8.28648560879941e-09
1892,1.9620444224877076e-07,1.56712811616444e-08
1893,1.896792274358461e-07,1.1085149742573464e-08
1894,2.394584948106626e-07,1.3863386882917439e-08
1895,2.1245709191930473e-07,1.625025980445116e-08
1896,2.435472951090034e-07,2.299841245223533e-08
1897,1.7188805268020246e-07,2.214151106905149e-08
1898,2.2859753512349812e-07,1.5843394263193034e-08
1899,2.4874101534066995e-07,3.814029092552573e-08
1900,2.102376553958507e-07,1.6611369946240018e-08
1901,2.2075519057196402e-07,2.2354955331316262e-08
1902,1.654765691139204e-07,3.093478895266344e-08
1903,2.5219030019840716e-07,2.592105818877144e-08
1904,1.8864934148155044e-07,2.6335664315979557e-08
1905,1.8681948366072731e-07,2.3739491483709685e-08
1906,1.7953203368392678e-07,1.4403716774857855e-08
1907,1.9388519656438064e-07,3.4457048936342716e-08
