year,quelques_DET routes_NOUN
1800,9.746909768182377e-08
1801,2.1430643926123594e-08
1802,2.6854081625060644e-08
1803,5.851017803593095e-08
1804,1.730295728918918e-08
1805,9.950071699904584e-08
1806,9.509508203109363e-08
1807,3.131650672116848e-08
1808,4.758755522971114e-08
1809,8.358412628695078e-08
1810,2.8081521108447305e-08
1811,6.267691787797958e-08
1812,5.3344166417446104e-08
1813,1.4378708002027452e-08
1814,0.0
1815,4.8550024445148665e-08
1816,6.952811659743929e-09
1817,1.2454987263765815e-08
1818,2.6226590454925258e-08
1819,3.001804671498576e-08
1820,2.610625848831205e-08
1821,6.508582117703554e-08
1822,3.408709403629473e-08
1823,4.644862983127496e-08
1824,7.663212642228245e-08
1825,2.4655239627691117e-08
1826,5.989429263664192e-08
1827,3.410391080649333e-08
1828,3.3020285172824515e-08
1829,7.45866306495202e-08
1830,3.861629238599562e-08
1831,7.795603096383275e-08
1832,2.4353944638733083e-08
1833,3.1275797951479944e-08
1834,5.0406466556296436e-08
1835,6.126101226300307e-08
1836,2.2850549896702432e-08
1837,2.922314124020886e-08
1838,6.501526916835587e-08
1839,4.194885172559282e-08
1840,5.223144583510475e-08
1841,8.025685716006592e-08
1842,4.8970334898257306e-08
1843,2.4218335781256428e-08
1844,3.78710738324628e-08
1845,5.133809644064513e-08
1846,3.102885770545072e-08
1847,4.2067142658197554e-08
1848,4.907585404723136e-08
1849,3.184177743698058e-08
1850,2.3761487000228954e-08
1851,6.126966667352463e-08
1852,3.906327350478023e-08
1853,5.0761421732659073e-08
1854,3.429138506483298e-08
1855,4.192480318465641e-08
1856,7.86932753404912e-08
1857,2.4895696171256532e-08
1858,3.376636548146905e-08
1859,6.05968633049514e-08
1860,4.7602713326710955e-08
1861,4.433006051129951e-08
1862,5.1956843272193964e-08
1863,3.446288365793748e-08
1864,6.712619393667296e-08
1865,2.4004906062913278e-08
1866,3.551897559406214e-08
1867,1.0093847713221749e-07
1868,5.0386715244599145e-08
1869,5.127695190676462e-08
1870,3.096386436141074e-08
1871,1.3807530674370128e-08
1872,3.0236695813812275e-08
1873,3.29230228635069e-08
1874,4.839433520587022e-08
1875,2.6319025181464895e-08
1876,4.171750056514156e-08
1877,4.0201302731190935e-08
1878,3.563062334066558e-08
1879,3.7266884023168245e-08
1880,4.043243118090345e-08
1881,3.2770783919833235e-08
1882,4.6587697255517924e-08
1883,2.9700892412165558e-08
1884,3.564916184473077e-08
1885,3.931837699866492e-08
1886,4.646494033977433e-08
1887,2.8727267675776602e-08
1888,3.994587172151398e-08
1889,5.074760922596511e-08
1890,3.9326319534183085e-08
1891,2.4859457936621254e-08
1892,5.7043463286277074e-08
1893,4.0029707659705593e-08
1894,3.906954448851252e-08
1895,5.055636087547555e-08
1896,3.2433659702402196e-08
1897,3.96216535136773e-08
1898,2.6594268121016285e-08
1899,2.8743407654019393e-08
1900,4.2047531678690575e-08
1901,5.0298649023616804e-08
1902,5.4995179965544594e-08
1903,3.834156370174924e-08
1904,3.9234765658591186e-08
1905,4.799505992636455e-08
1906,4.835533484737198e-08
1907,3.239991341885684e-08
1908,5.549869674936758e-08
1909,3.5206294768386215e-08
1910,3.687463823176529e-08
1911,5.213966591810504e-08
1912,4.323819657869876e-08
1913,3.87118264111308e-08
1914,3.214436983256519e-08
1915,2.0027294933555595e-08
1916,3.625862321499085e-08
1917,6.360525972581854e-08
1918,3.10132168834798e-08
1919,4.788081175988168e-08
1920,4.39189444811916e-08
1921,3.332008891021587e-08
1922,4.721878710256533e-08
1923,4.883336135463878e-08
1924,1.933743654092268e-08
1925,3.299453421590215e-08
1926,5.3501465036021045e-08
1927,5.1286432878328014e-08
1928,4.341895543102936e-08
1929,4.567566413982149e-08
1930,5.88201798379373e-08
1931,5.018357107644533e-08
1932,4.7126008428932664e-08
1933,4.588265012372972e-08
1934,4.073737258636356e-08
1935,3.8298509252854274e-08
1936,4.00115567344983e-08
1937,5.666003222160043e-08
1938,6.871563829058402e-08
1939,5.8117390899781185e-08
1940,4.817987520056022e-08
1941,2.6563523380929155e-08
1942,5.158160121254696e-08
1943,4.064529335323641e-08
1944,6.105053707017305e-08
1945,5.446259976338297e-08
1946,2.645009899993056e-08
1947,4.768348449424309e-08
1948,4.4574739899161386e-08
1949,4.7121641255643e-08
1950,6.7002780212988e-08
1951,3.731490694214301e-08
1952,3.268889159357968e-08
1953,5.386913803917537e-08
1954,4.8862680124273083e-08
