year,voudriez_VERB aller_VERB
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,2.4718509461507665e-09
1805,0.0
1806,2.881669125542885e-08
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,6.293354282149721e-09
1815,1.6183340889597275e-08
1816,2.3176038865813098e-09
1817,9.341240669868967e-09
1818,0.0
1819,2.070210003424222e-09
1820,3.5599443393152796e-09
1821,0.0
1822,3.0076847679083585e-09
1823,8.894418535021487e-09
1824,1.6842225392110777e-09
1825,3.522177216552791e-09
1826,1.7615968683770689e-09
1827,9.217273055917019e-10
1828,7.337841001486822e-09
1829,1.0287811491593857e-08
1830,7.305785310052215e-09
1831,1.5591206103948707e-09
1832,0.0
1833,0.0
1834,9.334530925997342e-10
1835,2.2689263801112247e-09
1836,8.736974699274924e-09
1837,1.3915781860163179e-09
1838,1.0730675015224733e-08
1839,5.5931801412612e-09
1840,0.0
1841,5.1364388298225094e-09
1842,4.695785538189057e-09
1843,0.0
1844,6.586273748609983e-09
1845,2.7901139176833567e-09
1846,4.0981511517657054e-09
1847,1.6179670936367074e-09
1848,0.0
1849,1.6758829879393033e-09
1850,1.1541293254424545e-08
1851,1.2898877521649865e-09
1852,2.6042181744401205e-09
1853,4.777545470346922e-09
1854,5.195664343204953e-09
1855,7.429711956774554e-09
1856,4.141751386299575e-09
1857,6.8341128311999455e-09
1858,0.0
1859,3.5645213447565993e-09
1860,4.57718396518203e-09
1861,2.357981809808507e-09
1862,1.0391368654438793e-08
1863,3.995696662428827e-09
1864,6.233146443435089e-09
1865,1.3179164426446732e-08
1866,4.379051787850585e-09
1867,6.308654931785895e-09
1868,9.87974813071446e-10
1869,2.9301114867763545e-09
1870,1.1468097582678638e-09
1871,9.559059321873065e-09
1872,6.047339295989218e-10
1873,2.3944017879529156e-09
1874,2.9873046258899194e-09
1875,1.1443054281912168e-09
1876,1.813804439976252e-09
1877,1.2369631985365004e-09
1878,6.039088673581716e-10
1879,1.221865053580018e-09
1880,0.0
1881,6.972507571312292e-10
1882,7.986462158271479e-09
1883,3.159669414998234e-09
1884,3.9610181801208455e-09
1885,9.023890079618013e-09
1886,6.453463874400711e-10
1887,5.223139698529167e-09
1888,6.340614699951175e-10
1889,0.0
1890,2.6217545912032847e-09
1891,0.0
1892,1.2537024751679837e-09
1893,3.079208221734575e-09
1894,4.411077725308132e-09
1895,3.611168697403855e-09
1896,2.948514543632541e-09
1897,2.330685422435863e-09
1898,2.26334195829736e-09
1899,2.7637891975018647e-09
1900,2.07642125715779e-09
1901,2.794369402536745e-09
1902,2.9461704187383475e-09
1903,7.560307935250421e-09
1904,3.2247751136083025e-09
1905,2.0643036169332163e-09
1906,2.0576738091193647e-09
1907,2.5714217422034835e-09
1908,3.929111258571538e-09
1909,4.400786846048277e-09
1910,6.412980813053082e-09
