year,pouvons_VERB ajouter_VERB,pouvons_VERB rajouter_VERB
1800,2.5467733166806283e-07,0.0
1801,1.73826322225068e-07,0.0
1802,2.953948978756671e-07,0.0
1803,1.735801902214007e-07,0.0
1804,2.3235398316501232e-07,0.0
1805,3.7810272601745964e-07,0.0
1806,1.6425514104412287e-07,0.0
1807,3.21705925898641e-07,0.0
1808,2.1074488643080258e-07,0.0
1809,2.9141494906070875e-07,0.0
1810,1.591286178381779e-07,0.0
1811,1.6797415014480066e-07,0.0
1812,3.5207148130211863e-07,0.0
1813,2.933256553205865e-07,0.0
1814,2.0453401816666883e-07,0.0
1815,2.9669459422621003e-07,0.0
1816,2.0394914201915526e-07,0.0
1817,3.347277868215315e-07,0.0
1818,3.075663812523999e-07,0.0
1819,3.7056759083498036e-07,0.0
1820,2.788623021388048e-07,0.0
1821,3.126091883132176e-07,0.0
1822,3.0778642212681007e-07,0.0
1823,2.67820809085606e-07,0.0
1824,2.071593740993194e-07,0.0
1825,2.6328274316256284e-07,0.0
1826,2.4398116238444345e-07,0.0
1827,3.5117810170959274e-07,0.0
1828,3.2378224545936973e-07,0.0
1829,2.6148185838792415e-07,0.0
1830,3.2249823789243237e-07,0.0
1831,3.695115822210937e-07,0.0
1832,2.92247335664797e-07,0.0
1833,3.799430032813689e-07,0.0
1834,2.8283628239478276e-07,9.334530925997342e-10
1835,2.866410397928121e-07,0.0
1836,3.622484427978634e-07,0.0
1837,3.9103346693991625e-07,0.0
1838,3.2949483852462436e-07,0.0
1839,3.1811211442800413e-07,0.0
1840,3.229432081752748e-07,0.0
1841,3.524881151406589e-07,0.0
1842,3.3943820199056063e-07,0.0
1843,3.4201013932033675e-07,0.0
1844,4.138375118145632e-07,0.0
1845,3.14724843519798e-07,0.0
1846,3.6766269317922706e-07,0.0
1847,3.672785169328563e-07,0.0
1848,3.7571186339846463e-07,0.0
1849,3.2847307807060133e-07,0.0
1850,4.243122475600103e-07,0.0
1851,3.785820581470034e-07,0.0
1852,4.908951041215914e-07,0.0
1853,4.592415621118562e-07,0.0
1854,4.478662845031067e-07,0.0
1855,4.4472133708950423e-07,0.0
1856,4.98045608310349e-07,0.0
1857,4.6227890493355517e-07,0.0
1858,4.507075743731548e-07,4.893676019968041e-10
1859,5.255122914604726e-07,0.0
1860,5.163063292457082e-07,0.0
1861,4.800851343134127e-07,0.0
1862,5.01496458582551e-07,0.0
1863,4.3403255745033675e-07,0.0
1864,5.240637506176427e-07,0.0
1865,5.139874019732815e-07,0.0
1866,5.52733638414793e-07,0.0
1867,5.925282948737731e-07,0.0
1868,5.532659201890056e-07,0.0
1869,5.425589506558026e-07,0.0
1870,5.206516107136849e-07,0.0
1871,5.682329629053129e-07,0.0
1872,5.992912974761566e-07,0.0
1873,5.938116487413936e-07,0.0
1874,5.813294592371676e-07,0.0
1875,4.834690230381966e-07,0.0
1876,5.405137244451907e-07,0.0
1877,5.065364234724257e-07,0.0
1878,6.02097145474545e-07,0.0
1879,5.504501814357354e-07,0.0
1880,5.962179443486093e-07,6.417846254436199e-10
1881,5.849933586432599e-07,0.0
1882,5.883360358893697e-07,0.0
1883,5.801153406537196e-07,0.0
1884,6.146179885035963e-07,0.0
1885,6.265157708185143e-07,0.0
1886,5.214398584030278e-07,0.0
1887,6.372230245688115e-07,0.0
1888,6.125033564785554e-07,0.0
1889,6.208750278346997e-07,0.0
1890,5.715425004382269e-07,0.0
1891,5.392590196606761e-07,0.0
1892,5.38465201316285e-07,0.0
1893,4.877466039943101e-07,0.0
1894,4.5812191729055485e-07,0.0
1895,4.778780180458853e-07,0.0
1896,4.7412112280653673e-07,0.0
1897,4.935226343150134e-07,0.0
1898,5.403728664532537e-07,0.0
1899,5.289892328619317e-07,5.527578395003729e-10
1900,5.175480168873037e-07,0.0
1901,4.845436478717602e-07,0.0
1902,4.20811318235792e-07,0.0
1903,4.773794444190571e-07,0.0
1904,4.3641955471684923e-07,0.0
1905,4.211179316371272e-07,0.0
1906,5.149328785591933e-07,0.0
1907,4.7005588044157776e-07,0.0
1908,5.235540925241366e-07,0.0
1909,4.598822158641269e-07,0.0
1910,4.355482872142602e-07,0.0
1911,4.4425124201552535e-07,0.0
1912,4.271725515536673e-07,0.0
1913,4.4757231876246806e-07,0.0
1914,4.7011141646180477e-07,0.0
1915,4.099705108728813e-07,1.1780761921542648e-09
1916,4.2521477894297277e-07,0.0
1917,4.013711247807805e-07,0.0
1918,3.9513133742730133e-07,0.0
1919,4.1803630779213563e-07,0.0
1920,4.142010823215969e-07,3.786115865267448e-09
1921,3.3850182035166654e-07,7.572747429129834e-10
1922,3.7922589513073035e-07,0.0
