year,pouvez_VERB entrer_VERB,pouvez_VERB rentrer_VERB
1800,5.65949598296811e-08,3.144164484325529e-09
1801,2.6193008650921e-08,1.4287095950749062e-08
1802,1.3427040812530322e-08,3.1329761895904085e-08
1803,2.3404069793286908e-08,5.851017448321727e-09
1804,1.4831105232815389e-08,1.4831105232815389e-08
1805,2.2743021688143017e-08,1.421438877713399e-08
1806,2.881669125542885e-08,5.76333825108577e-09
1807,1.7081731584767113e-08,1.1387820464392462e-08
1808,2.039466551195801e-08,4.5321479902327155e-09
1809,2.9367397402779716e-08,4.518061036407062e-09
1810,3.510190182964834e-08,2.106114038724627e-08
1811,1.2535384286138651e-08,7.521229861140455e-09
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,2.8757416004054903e-08,2.8757416448144113e-09
1814,9.440030979135372e-09,0.0
1815,1.0788894222457657e-08,0.0
1816,1.3905623319487859e-08,4.6352077731626196e-09
1817,1.8682481339737933e-08,1.556873407970727e-09
1818,4.410835785506606e-08,0.0
1819,3.519356894798875e-08,9.315945348475907e-09
1820,2.4919611263385377e-08,2.3732962262101864e-09
1821,3.8459806006585495e-08,9.861488514673056e-09
1822,8.120748873352568e-08,1.0025615893027862e-09
1823,3.656594316225892e-08,3.162459805139406e-08
1824,5.221090049190025e-08,8.421112696055388e-09
1825,3.9624492131906663e-08,2.0252519661312363e-08
1826,3.52319382557198e-08,0.0
1827,4.3321183085254233e-08,1.8434546111834038e-09
1828,2.4765213879618386e-08,2.384798314380987e-08
1829,5.229637523029851e-08,7.715858174606183e-09
1830,4.0703660886265425e-08,9.39315203396518e-09
1831,7.016042502527853e-08,2.3386808933878456e-08
1832,7.982681893281551e-08,1.2176972319366541e-08
1833,5.09679658478035e-08,1.1583628278799551e-08
1834,6.254136053485126e-08,1.7735608537350345e-08
1835,1.2932881077176717e-07,1.285724948729694e-08
1836,5.443807538085821e-08,8.736974699274924e-09
1837,5.218418053232199e-08,1.6003149028165353e-08
1838,6.56464820281144e-08,1.8936485712828244e-09
1839,6.082583325905944e-08,2.1673573158409454e-08
1840,2.8663599493938818e-08,1.7198159341091923e-08
1841,6.292137300079048e-08,1.219904177673925e-08
1842,4.762868144325694e-08,6.708265054555795e-09
1843,4.252975926988256e-08,1.1813821920725331e-08
1844,6.586273570974299e-08,9.879410178825765e-09
1845,8.202935219969731e-08,1.0044410636567136e-08
1846,3.7468808500307205e-08,6.439951683034906e-09
1847,1.77976389181822e-08,7.550513103637968e-09
1848,4.746680914990975e-08,7.24069959545659e-09
1849,5.362825561405771e-08,6.703531951757213e-09
1850,5.0917471128286707e-08,1.6293590476834652e-08
1851,5.482023013314574e-08,9.029214709244116e-09
1852,5.5339636872986375e-08,9.114764054629632e-09
1853,5.852493245583901e-08,2.20961471342207e-08
1854,4.052618152172727e-08,5.195664343204953e-09
1855,5.200798369742188e-08,1.2736649068756378e-08
1856,4.038207634948776e-08,1.1907535402144731e-08
1857,7.322263684272912e-08,2.001418764052687e-08
1858,5.04048642824273e-08,1.7127865348243176e-08
1859,3.666364989385329e-08,5.601390462572908e-09
1860,6.04188272745887e-08,2.4259074749011234e-08
1861,5.234719679947375e-08,9.903524222920623e-09
1862,2.891511208247266e-08,1.581295272501393e-08
1863,6.842630284609186e-08,5.494082966350788e-09
1864,6.472883029573495e-08,1.4384183621984903e-08
1865,3.859612363044107e-08,2.2592853810010638e-08
1866,5.4494865509013835e-08,1.556996132023869e-08
1867,6.890992665375961e-08,1.067618526917613e-08
1868,5.285665238830006e-08,1.1361710683388537e-08
1869,5.030024752272766e-08,2.4417595057002472e-08
1870,5.9060702994884196e-08,5.160643912205387e-09
1871,4.779529660936532e-08,2.1242353653860846e-08
1872,6.107812566824578e-08,1.269941218851045e-08
1873,6.225444337815134e-08,7.183205141814142e-09
1874,7.468261742360482e-08,2.4495896866483235e-08
1875,5.263805036292979e-08,6.293679799540541e-09
1876,4.353130833578689e-08,1.9951848173604958e-08
1877,6.679601227688181e-08,1.6699003069220453e-08
1878,4.3481438893877566e-08,1.69094480639842e-08
1879,3.848874996492668e-08,1.0385853066452455e-08
1880,5.134277003548959e-08,1.4761046607247863e-08
1881,4.741305303923582e-08,9.064259565150223e-09
1882,6.655385220710741e-08,6.655385131892899e-09
1883,4.676310894069502e-08,8.21514056781325e-09
1884,4.4891539374702916e-08,1.386356363042296e-08
1885,2.9649923405372647e-08,3.480643329112354e-08
1886,6.25986018576441e-08,9.034849313138693e-09
1887,3.395040693021656e-08,2.0892558794116667e-08
1888,2.6630582183884144e-08,8.876860135842435e-09
1889,4.9494580878217675e-08,1.7542383545787743e-08
1890,4.9813337454907014e-08,7.865263995654459e-09
1891,4.143242904319777e-08,8.92390783491237e-09
1892,3.0715710863660206e-08,1.0656471260972467e-08
1893,3.387129154930335e-08,9.853466487186324e-09
1894,3.843938856107343e-08,6.301539290376468e-09
1895,3.972285611553161e-08,9.027921521465032e-09
1896,2.889544248318998e-08,7.66613794667137e-09
1897,3.029891004757701e-08,1.1070755867592652e-08
1898,2.998928039232851e-08,1.0185038590293516e-08
1899,6.080335879232734e-08,9.39688327150634e-09
1900,2.7512582434496835e-08,6.22926377147337e-09
1901,3.4650181390816215e-08,6.706486921359556e-09
1902,3.879124221839447e-08,7.856454153909453e-09
1903,3.7801541452608944e-08,6.480264325148255e-09
1904,3.654745128756076e-08,1.3436562973367927e-08
1905,3.560923644840841e-08,5.676835002077496e-09
1906,3.549487459508782e-08,1.2346042410626978e-08
1907,3.857132568896304e-08,1.337139288182243e-08
1908,3.830883343880487e-08,4.911389073214423e-09
1909,4.455796798197298e-08,1.1552065082298668e-08
1910,3.580580809625644e-08,1.7635697346918278e-08
