year,as_VERB enseigné_VERB,as_VERB renseigné_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,2.5173417128598885e-08,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,1.401186100480345e-08,0.0
1818,7.152706427149269e-09,0.0
1819,1.449147024601416e-08,0.0
1820,4.746592452420373e-09,0.0
1821,1.4792232327920374e-08,0.0
1822,1.0025615893027862e-08,0.0
1823,2.2730180404550993e-08,0.0
1824,2.5263338088166165e-09,0.0
1825,1.584979791857677e-08,0.0
1826,7.927186018719112e-09,0.0
1827,2.488663675137559e-08,0.0
1828,3.668920500743411e-09,0.0
1829,1.714635211591542e-09,0.0
1830,3.1310506187764986e-08,0.0
1831,2.182768810143898e-08,0.0
1832,1.8941957335982806e-08,0.0
1833,1.0425265983826648e-08,0.0
1834,1.3068342852307069e-08,0.0
1835,1.2100940693926532e-08,0.0
1836,2.016224964762614e-09,0.0
1837,7.653680356156656e-09,0.0
1838,1.009945904684173e-08,0.0
1839,1.11863602825224e-08,0.0
1840,1.2102408852854296e-08,0.0
1841,1.3483152372373297e-08,0.0
1842,2.1466448174578545e-08,0.0
1843,1.1223130869097986e-08,0.0
1844,3.841992946007622e-09,0.0
1845,7.812318791877715e-09,0.0
1846,6.439951683034906e-09,0.0
1847,7.011190739092399e-09,0.0
1848,4.82713291560799e-09,0.0
1849,3.3517659758786067e-09,0.0
1850,5.431196825611551e-09,0.0
1851,3.2247193804124663e-09,0.0
1852,9.765818376195057e-09,0.0
1853,7.166318205520383e-09,0.0
1854,1.454786069388092e-08,0.0
1855,8.491099379170919e-09,0.0
1856,9.836659486950339e-09,0.0
1857,7.810414537345878e-09,0.0
1858,1.2234189661342043e-08,0.0
1859,6.110608019582742e-09,0.0
1860,1.0069804545764782e-08,0.0
1861,2.263662679524714e-08,0.0
1862,4.517986429419807e-09,0.0
1863,9.489779628779615e-09,0.0
1864,1.342523781033833e-08,0.0
1865,2.4946274379544775e-08,0.0
1866,5.838735717134114e-09,0.0
1867,3.88224918879132e-09,0.0
1868,1.1361710683388537e-08,0.0
1869,9.278686263769487e-09,0.0
1870,1.0321287824410774e-08,0.0
1871,3.823623728749226e-08,0.0
1872,1.1489944995446422e-08,0.0
1873,1.7958012854535355e-09,0.0
1874,5.974609140757536e-10,0.0
1875,9.154443425529735e-09,0.0
1876,1.6324239737741664e-08,0.0
1877,8.658742167710898e-09,0.0
1878,2.536417298415472e-08,0.0
1879,2.443730107160036e-09,0.0
1880,9.626769603698904e-09,0.0
1881,7.669758161910067e-09,0.0
1882,1.9966155395678697e-09,0.0
1883,2.5277355764075082e-09,0.0
1884,2.6406787867472303e-09,0.0
1885,1.160214413431504e-08,0.0
1886,1.2906927748801422e-09,0.0
1887,9.793386546164129e-09,0.0
1888,2.53624587998047e-09,0.0
1889,1.2530273707511697e-08,0.0
1890,7.865263995654459e-09,0.0
1891,4.461953917456185e-09,0.0
1892,8.775916882086676e-09,0.0
1893,2.463366621796581e-09,0.0
1894,4.411077725308132e-09,0.0
1895,4.814891596538473e-09,6.018614495673091e-10
1896,4.717623180994224e-09,0.0
1897,6.409385022720926e-09,0.0
1898,2.8291773368493978e-09,0.0
1899,3.8693048765026106e-09,0.0
1900,2.595526460424935e-09,0.0
1901,7.824234593556412e-09,0.0
1902,3.928227076954727e-09,0.0
1903,7.020286574288548e-09,0.0
1904,5.912087708281888e-09,0.0
1905,5.676835002077496e-09,0.0
1906,4.115347618238729e-09,0.0
1907,6.685696440911215e-09,0.0
1908,1.276961114626829e-08,0.0
1909,6.60118004702781e-09,5.500983557560346e-10
