year,ses_DET oies_NOUN,ses_DET rois_NOUN
1800,1.8864987794131594e-08,1.4494598516989754e-06
1801,5.714838380299625e-08,2.045435896436132e-06
1802,4.475680270843441e-09,2.1438508781557175e-06
1803,0.0,2.2526417637891427e-06
1804,7.4155526164076946e-09,2.1159043051000026e-06
1805,5.685755422035754e-09,2.695047982115284e-06
1806,1.729001475325731e-08,1.7520548425409288e-06
1807,2.562259604488304e-08,2.0583486186609434e-06
1808,6.798221985349073e-09,2.5810582471308408e-06
1809,5.421673421324158e-08,1.682977702088806e-06
1810,4.680253518074551e-09,1.8650810105214077e-06
1811,2.757784400841956e-08,1.431540889385019e-06
1812,1.0668832928217853e-08,1.2375846125678436e-06
1813,0.0,1.932498435053276e-06
1814,9.440030979135372e-09,4.732602469914582e-06
1815,1.0788894222457657e-08,3.3202821461131293e-06
1816,2.3176038865813098e-09,2.509965014496629e-06
1817,1.556873407970727e-09,2.6295591624148074e-06
1818,3.5763532135746345e-09,2.0492503303159992e-06
1819,0.0,2.305178814054898e-06
1820,1.6613073583471305e-08,2.7577701970926682e-06
1821,9.861488403650753e-09,1.9870898526619385e-06
1822,2.0051231786055723e-09,1.9289285120294153e-06
1823,3.261286707356703e-08,2.0704228660406443e-06
1824,1.9368560089105813e-08,1.7086437225088957e-06
1825,7.044354433105582e-09,1.9257504497716127e-06
1826,3.5231937367541377e-09,1.929829402058658e-06
1827,2.8573547083965423e-08,2.1356420596418957e-06
1828,1.3758452155343548e-08,1.7289787637153609e-06
1829,8.57317605795771e-10,1.9949780920569538e-06
1830,7.305785310052215e-09,2.020571372440827e-06
1831,1.091384405071949e-08,1.4187997603443137e-06
1832,1.7588959622116818e-08,1.5694764137208495e-06
1833,8.108539617524002e-09,1.7433361314544982e-06
1834,6.534171426153534e-09,1.7623593890903066e-06
1835,2.0420337421001022e-08,1.4165664126153388e-06
1836,1.68018754465038e-08,1.557197801815846e-06
1837,9.74104708006962e-09,1.2468540919741145e-06
1838,8.2058102535143e-09,1.380469798917261e-06
1839,7.690622583211848e-09,1.3255837192360787e-06
1840,8.280594876453051e-09,1.4057902397723865e-06
1841,2.5682194149112547e-09,1.42279350257013e-06
1842,4.695785538189057e-09,1.307440824049877e-06
1843,7.088293507706567e-09,1.13944314517056e-06
1844,1.0977122322231025e-08,1.3606143536293303e-06
1845,1.339254718235594e-08,1.0920505548739357e-06
1846,1.5807152919933287e-08,1.1521658471735918e-06
1847,7.011190739092399e-09,1.2690255477565415e-06
1848,1.045878850192139e-08,1.1472485734742577e-06
1849,1.5920887719289567e-08,9.116803436626242e-07
1850,8.146795238417326e-09,1.0434687141014365e-06
1851,1.870337307252612e-08,1.0280405926543779e-06
1852,1.3672145193766028e-08,1.0560104195533881e-06
1853,1.2541057081705276e-08,9.889519070327424e-07
1854,2.0782657927931325e-08,1.0625133235464546e-06
1855,1.3798036491152743e-08,1.128254794480199e-06
1856,2.174419400091665e-08,1.027672048792283e-06
1857,1.4644527368545823e-08,9.841122547982195e-07
1858,7.34051397444091e-09,1.1240774062670766e-06
1859,2.6479302084325695e-08,1.1742551420113045e-06
1860,2.380135608048839e-08,1.1969335771411238e-06
1861,2.5466203590340797e-08,1.060620290260772e-06
1862,1.3553958982948089e-08,1.298017425543918e-06
1863,2.2975255475898848e-08,1.1777315389593923e-06
1864,1.821996631345968e-08,1.012167050618018e-06
1865,2.7299698113214532e-08,1.034093727092511e-06
1866,7.784980660119345e-09,8.368854462759145e-07
1867,5.338092634588065e-09,8.414775276577302e-07
1868,1.1361710683388537e-08,9.316602334052959e-07
1869,1.9534076356464425e-08,1.011865190747585e-06
1870,7.454262984651905e-09,9.312095112790075e-07
1871,2.230447138096281e-08,7.604763192503583e-07
1872,3.205089793567595e-08,7.807114990043829e-07
1873,8.979006871356887e-09,8.751538800311209e-07
1874,3.226288780577846e-08,7.312921823654506e-07
1875,3.2612703648737806e-08,7.935758006283322e-07
1876,5.441413541973361e-09,7.884003174751797e-07
1877,2.22653372405901e-08,8.838101948072108e-07
1878,1.509772218355465e-08,1.052613187724205e-06
