year,pouvais_VERB ouvrir_VERB,pouvais_VERB rouvrir_VERB
1800,2.2009151834367913e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,1.035105001712111e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,7.88919063410276e-09,0.0
1822,1.0025615893027862e-09,0.0
1823,1.3835761869529506e-08,0.0
1824,5.052667617633233e-09,0.0
1825,8.805443041381977e-10,0.0
1826,9.688783109140786e-09,0.0
1827,5.530363722527909e-09,0.0
1828,8.255071293206129e-09,0.0
1829,3.429270423183084e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,9.354723218280014e-09,0.0
1832,0.0,0.0
1833,6.950177322551099e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,3.025235173481633e-09,0.0
1836,4.032449929525228e-09,0.0
1837,9.045257876039159e-09,0.0
1838,6.312161904276081e-09,0.0
1839,6.9914751765765e-10,0.0
1840,5.732719632334238e-09,0.0
1841,6.420548537278137e-09,0.0
1842,1.341653010911159e-09,0.0
1843,1.2995204023980023e-08,0.0
1844,2.195424508855126e-09,0.0
1845,7.812318791877715e-09,0.0
1846,1.7563503984519002e-09,0.0
1847,5.9325460100012606e-09,0.0
1848,1.6090443422100975e-09,0.0
1849,5.02764896381791e-09,0.0
1850,5.431196825611551e-09,0.0
1851,2.579775504329973e-09,6.449438760824933e-10
1852,6.510545436100301e-09,0.0
1853,2.388772735173461e-09,0.0
1854,1.0391328908454511e-09,0.0
1855,3.714855978387277e-09,0.0
1856,8.801221973442352e-09,0.0
1857,9.274867096564776e-09,0.0
1858,7.34051397444091e-09,0.0
1859,1.171199848215565e-08,0.0
1860,8.238931314963338e-09,0.0
1861,7.073945429425521e-09,0.0
1862,7.228778020618165e-09,0.0
1863,2.2975255475898848e-08,0.0
1864,1.0068928801842958e-08,0.0
1865,7.0602665935837194e-09,0.0
1866,1.1190909532388105e-08,0.0
1867,7.76449837758264e-09,0.0
1868,6.421836395986702e-09,0.0
1869,1.0255390314739543e-08,0.0
1870,5.734048791339319e-10,0.0
1871,6.37270636261178e-09,0.0
1872,7.861540751719076e-09,0.0
1873,1.1972008939764578e-09,0.0
1874,4.779687312606029e-09,0.0
1875,5.721527251978387e-09,0.0
1876,4.836811839936672e-09,0.0
1877,3.710889595609501e-09,0.0
1878,3.0195443923020093e-09,0.0
1879,2.443730107160036e-09,0.0
1880,4.492492600149944e-09,0.0
1881,6.2752567586699115e-09,0.0
1882,9.317538740560849e-09,0.0
1883,1.8958017378167824e-09,0.0
1884,4.621187876807653e-09,0.0
1885,7.090199094506033e-09,0.0
1886,1.2261581083805595e-08,0.0
1887,5.223139698529167e-09,0.0
1888,3.1703073499755874e-09,0.0
1889,8.771191772893872e-09,0.0
1890,0.0,0.0
1891,1.2748440081367107e-09,0.0
1892,1.8805537127519756e-09,0.0
1893,3.695050043717174e-09,0.0
1894,6.301539290376468e-10,0.0
1895,1.6852119699706236e-08,0.0
1896,0.0,0.0
1897,3.4960281336537946e-09,0.0
1898,3.960848538042683e-09,0.0
1899,7.738609753005221e-09,0.0
1900,6.748368974740515e-09,0.0
1901,3.912117296778206e-09,0.0
1902,1.0802624572647801e-08,1.4730852093691738e-09
1903,3.2401321625741275e-09,0.0
1904,2.1498500757388683e-09,0.0
1905,6.708986699521802e-09,1.5482277682110634e-09
1906,7.716276506641861e-09,0.0
1907,4.114274698707732e-09,0.0
1908,1.1296195090437777e-08,0.0
1909,2.2003934230241384e-09,0.0
1910,2.137660271017694e-09,0.0
1911,6.916486494645824e-09,0.0
1912,4.688478938419394e-09,0.0
1913,5.302989602995467e-09,0.0
1914,4.018046340092951e-09,0.0
1915,5.890381071793627e-09,0.0
1916,2.197492410260793e-09,0.0
1917,2.1932848870420685e-09,0.0
1918,3.44591288836682e-09,0.0
1919,3.6831393490643904e-09,0.0
1920,1.2872794385998532e-08,0.0
1921,6.058197943303867e-09,0.0
1922,3.6889677978990676e-09,0.0
1923,5.307974060286824e-09,0.0
1924,6.445812328337297e-09,0.0
1925,3.299453377181294e-09,1.0998177923937646e-09
1926,8.916910765321973e-09,1.1146138456652466e-09
1927,8.919379901328739e-09,0.0
1928,9.14083297942625e-09,1.1426041224282812e-09
1929,7.798284684668033e-09,0.0
1930,9.453243521306831e-09,0.0
1931,1.596749932275543e-08,0.0
1932,2.1919073223131136e-09,1.0959536611565568e-09
1933,2.2941324395731044e-09,0.0
1934,4.7926320689839486e-09,0.0
1935,2.393656828303392e-09,0.0
1936,1.2124714565686645e-09,0.0
1937,1.2591118148108649e-09,1.2591118148108649e-09
1938,5.186085783037697e-09,0.0
1939,4.588215141154706e-09,3.058810094103137e-09
1940,1.2678914806940611e-08,0.0
1941,1.4757512545315876e-08,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,9.639558484764166e-09,0.0
1945,8.714016175304096e-09,0.0
1946,8.352662561605939e-09,1.3921104269343232e-09
1947,7.152522574216391e-09,0.0
1948,3.2615663503321457e-09,1.0871887834440486e-09
1949,6.8719057111366055e-09,0.0
1950,6.381216888229346e-09,0.0
1951,1.3859822622919182e-08,0.0
1952,1.0544803918932644e-09,0.0
1953,4.3095309543161875e-09,0.0
1954,9.772536557761669e-09,0.0
1955,4.6928039232341234e-09,0.0
1956,5.232684952005684e-09,0.0
1957,8.835037590415595e-09,0.0
1958,9.926692356998501e-09,0.0
1959,6.975672928177801e-09,0.0
1960,2.7683333403416555e-09,6.920833350854139e-10
1961,2.08444772553662e-09,0.0
1962,1.7123282347597524e-08,6.341956404476434e-10
1963,8.405868889838075e-09,6.466053248388448e-10
1964,9.125952438182594e-09,1.8251904432275978e-09
1965,1.3132904541635071e-08,2.188817349590977e-09
1966,1.1078149952936656e-08,0.0
1967,6.409436092980059e-09,1.9721342336964653e-09
1968,7.186265360559219e-09,0.0
1969,4.541757636644661e-09,0.0
1970,2.2993624781975086e-09,2.7592350626548523e-09
1971,6.679916619845017e-09,0.0
1972,4.6171320100540925e-09,0.0
1973,6.064523994098181e-09,0.0
1974,3.937900228123681e-09,0.0
1975,5.711480177694739e-09,0.0
1976,7.998937512354587e-09,0.0
1977,8.815172591880582e-09,1.7630346071939584e-09
1978,7.128709622605811e-09,5.940591352171509e-10
1979,8.192762912528906e-09,0.0
1980,7.95921106799824e-09,0.0
1981,8.855769451088236e-09,6.325549528618524e-10
1982,7.449002747961231e-09,0.0
1983,2.5261264191556165e-09,0.0
1984,1.1598016769198694e-08,0.0
1985,5.414002135495366e-09,0.0
1986,8.991728250862252e-09,0.0
