year,seules_ADJ règles_NOUN
1800,8.174827570428533e-08
1801,6.667310969987739e-08
1802,7.608656460433849e-08
1803,2.145373123596528e-08
1804,6.921182915675672e-08
1805,7.960057502032214e-08
1806,1.181484350354367e-07
1807,2.0498076480635063e-07
1808,1.1783584596969376e-07
1809,5.6475762733043666e-08
1810,9.126494404654295e-08
1811,4.011322829455821e-08
1812,1.7336853375127248e-07
1813,6.039057609541487e-08
1814,7.552024783308298e-08
1815,4.5852800667489646e-08
1816,8.343373991692715e-08
1817,1.0275364559220179e-07
1818,5.48374146092101e-08
1819,1.2628281353954662e-07
1820,9.967844505354151e-08
1821,7.297501269931672e-08
1822,8.120748873352568e-08
1823,1.1760397455873317e-07
1824,9.936913158981042e-08
1825,4.6668848341369085e-08
1826,8.455664612938563e-08
1827,9.401618683568813e-08
1828,1.0456423638061096e-07
1829,9.087566610332942e-08
1830,1.5968359434737067e-07
1831,1.4811645598911127e-07
1832,1.610066391322107e-07
1833,6.02348677603004e-08
1834,9.241185949804276e-08
1835,8.773182003096736e-08
1836,1.1156445367532797e-07
1837,9.462731753728804e-08
1838,9.215756335834158e-08
1839,8.110111338055503e-08
1840,8.089504888175725e-08
1841,7.704657889462396e-08
1842,9.794067068469303e-08
1843,8.978504695278389e-08
1844,6.421616660645668e-08
1845,7.533307666562905e-08
1846,6.966856602730331e-08
1847,9.869599182366073e-08
1848,8.608387247477367e-08
1849,5.279031256577582e-08
1850,6.85688590351674e-08
1851,6.836405219701192e-08
1852,6.901178295493082e-08
1853,7.226037723739864e-08
1854,4.72805474771576e-08
1855,5.306937111981824e-08
1856,4.659470320689252e-08
1857,4.4421732070532016e-08
1858,5.9213480341213653e-08
1859,6.212451353349024e-08
1860,4.2567808833382514e-08
1861,7.215424346895816e-08
1862,4.834245359575107e-08
1863,5.244351797273339e-08
1864,6.520829742839851e-08
1865,5.17752880568878e-08
1866,5.54679857600604e-08
1867,4.124889585455094e-08
1868,4.742279102742941e-08
1869,5.4695412643468444e-08
1870,2.752343419842873e-08
1871,6.266494523288202e-08
1872,4.354084381930079e-08
1873,6.405024777222934e-08
1874,5.914862910572083e-08
1875,5.607096653648114e-08
1876,5.562333527109331e-08
1877,3.7727378554563984e-08
1878,3.0799352401800206e-08
1879,5.437299321897626e-08
1880,3.4656370218044685e-08
1881,2.719277958362909e-08
1882,5.590523599607877e-08
