year,veux_VERB appliquer_VERB
1800,0.0
1801,0.0
1802,8.951360541686881e-09
1803,5.265916058760922e-08
1804,1.4831105232815389e-08
1805,3.4114531644036106e-08
1806,5.76333825108577e-09
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,0.0
1817,2.3353100786493997e-08
1818,9.536941902865692e-09
1819,6.210630232317271e-09
1820,0.0
1821,7.88919063410276e-09
1822,1.604098542884458e-08
1823,6.917880934764753e-09
1824,1.0947446504872005e-08
1825,2.641632912414593e-09
1826,0.0
1827,2.7651818612639545e-09
1828,0.0
1829,6.858540846366168e-09
1830,6.262101504006523e-09
1831,1.5591206103948707e-09
1832,5.411987746839486e-09
1833,2.548398292390175e-08
1834,1.8669061851994684e-09
1835,0.0
1836,5.376600054063374e-09
1837,2.7831563720326358e-09
1838,6.312161904276081e-10
1839,6.9914751765765e-10
1840,2.5478754661634184e-09
1841,2.5682194149112547e-09
1842,2.683306021822318e-09
1843,5.906910960362666e-09
1844,4.9397050894128824e-09
1845,7.812318791877715e-09
1846,5.269050973311096e-09
1847,3.775256551818984e-09
1848,1.769948809737798e-08
1849,8.379414495607307e-09
1850,4.752297222410107e-09
1851,5.8044946626978344e-09
1852,7.812654523320361e-09
1853,1.7915795513800958e-09
1854,6.754363734984281e-09
1855,5.837630823180007e-09
1856,3.1063134287023786e-09
1857,1.513267733344037e-08
1858,8.808616946964776e-09
1859,9.165912473463322e-09
1860,7.323494255473406e-09
1861,3.3011746669586728e-09
1862,9.035972525772706e-10
1863,1.7980635647063536e-08
1864,1.0068928801842958e-08
1865,4.706844247692743e-09
1866,8.271541673821048e-09
1867,3.88224918879132e-09
1868,6.915823469455518e-09
1869,1.0255390314739543e-08
1870,5.160643912205387e-09
1871,5.3105884134652115e-09
1872,6.047339518033823e-09
1873,7.183205141814142e-09
1874,1.7923826867161097e-09
1875,1.1443054503956773e-08
1876,3.627608879952504e-09
1877,2.4739263970730008e-09
1878,6.039088784604019e-09
1879,3.0546627449723474e-09
1880,1.9253538763308597e-09
1881,2.7890030285249168e-09
1882,1.3310770263785798e-09
1883,4.423537092179686e-09
1884,2.6406787867472303e-09
1885,1.933690763067375e-09
1886,7.744156427236248e-09
1887,5.876032105334161e-09
1888,3.1703073499755874e-09
1889,5.012109394186837e-09
1890,2.6217545912032847e-09
1891,5.736798147637501e-09
1892,5.014809900671935e-09
1893,0.0
1894,5.041231432301174e-09
1895,6.018614495673091e-10
1896,5.89702897624278e-10
1897,4.078699600285063e-09
1898,5.092519295146758e-09
1899,4.9748205555033564e-09
1900,5.19105292084987e-09
1901,2.794369402536745e-09
1902,3.437198747846537e-09
1903,8.100330184390714e-09
1904,1.0749250378694342e-09
1905,6.192911072844254e-09
1906,3.0865106026567446e-09
1907,4.114274698707732e-09
1908,4.911389073214423e-10
1909,0.0
